table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..NHPI,"2,383","2,297","2,192","2,065","1,903","1,784","1,670","1,575","1,474","1,381","1,372","1,372"
.Two or More Races,"46,805","45,339","43,906","42,399","40,783","39,240","37,687","36,138","34,602","33,021","32,668","32,668"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,807,986","1,800,437","1,797,663","1,796,293","1,793,685","1,788,102","1,781,406","1,769,528","1,755,382","1,741,118","1,737,199","1,737,173"
..Black,"818,580","809,329","801,932","793,058","782,059","770,550","758,918","746,207","733,546","720,622","718,201","718,198"
..AIAN,"23,364","22,911","22,527","22,098","21,644","21,161","20,780","20,387","19,890","19,483","19,399","19,399"
..Asian,"160,183","155,492","151,292","146,812","142,259","137,176","132,098","127,009","121,946","116,927","115,649","115,649"
..NHPI,"4,832","4,677","4,498","4,300","4,063","3,846","3,690","3,499","3,327","3,157","3,128","3,128"
.NOT HISPANIC,"2,545,980","2,535,283","2,532,380","2,530,877","2,526,930","2,517,977","2,506,974","2,488,811","2,467,862","2,445,634","2,439,579","2,439,550"
..One Race,"2,504,278","2,494,802","2,493,035","2,492,699","2,489,999","2,482,292","2,472,569","2,455,729","2,436,112","2,415,291","2,409,551","2,409,522"
...White,"1,582,846","1,585,505","1,592,693","1,602,261","1,611,637","1,617,642","1,621,836","1,620,519","1,616,880","1,612,155","1,609,708","1,609,682"
...Black,"771,788","763,900","758,617","752,517","744,269","735,023","725,520","714,509","703,089","691,350","689,195","689,192"
...AIAN,"7,288","7,205","7,164","7,085","7,050","6,974","6,971","6,951","6,833","6,792","6,759","6,759"
...Asian,"140,948","136,826","133,238","129,541","125,812","121,461","117,099","112,656","108,281","104,013","102,913","102,913"
...NHPI,"1,408","1,366","1,323","1,295","1,231","1,192","1,143","1,094","1,029",981,976,976
..Two or More Races,"41,702","40,481","39,345","38,178","36,931","35,685","34,405","33,082","31,750","30,343","30,028","30,028"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,617,623","1,619,182","1,625,349","1,633,846","1,642,105","1,646,996","1,650,010","1,647,503","1,642,687","1,636,735","1,633,932","1,633,906"
...Black,"795,183","786,438","780,370","773,495","764,417","754,387","744,069","732,210","719,973","707,382","705,106","705,103"
