table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"1,168,032","1,160,574","1,151,829","1,140,808","1,126,111","1,114,184","1,104,588","1,097,384","1,092,183","1,087,534","1,085,674","1,085,681"
..Black,"223,044","220,370","217,397","215,454","211,608","209,413","207,404","205,658","204,126","202,472","201,781","201,781"
..AIAN,"24,262","23,535","22,823","22,103","21,466","20,618","19,976","19,408","18,886","18,354","18,274","18,274"
..Asian,"19,889","18,866","18,166","17,240","16,284","15,268","14,255","13,442","12,773","12,307","12,170","12,170"
..NHPI,"2,892","2,689","2,548","2,441","2,268","2,146","2,046","1,896","1,786","1,669","1,647","1,647"
.NOT HISPANIC,"1,322,403","1,315,775","1,307,937","1,299,466","1,285,961","1,276,516","1,268,594","1,263,761","1,260,811","1,258,022","1,255,834","1,255,841"
..One Race,"1,302,799","1,296,961","1,289,778","1,282,119","1,269,401","1,260,644","1,253,407","1,249,195","1,246,797","1,244,494","1,242,454","1,242,461"
...White,"1,062,791","1,060,098","1,056,189","1,050,825","1,042,262","1,036,410","1,031,710","1,029,601","1,029,073","1,028,650","1,027,359","1,027,366"
...Black,"212,215","210,260","207,935","206,694","203,540","201,942","200,544","199,334","198,239","197,017","196,414","196,414"
...AIAN,"10,984","10,642","10,255","9,929","9,732","9,295","9,006","8,810","8,589","8,319","8,277","8,277"
...Asian,"15,325","14,579","14,092","13,414","12,697","11,883","11,081","10,463","9,981","9,674","9,573","9,573"
...NHPI,"1,484","1,382","1,307","1,257","1,170","1,114","1,066",987,915,834,831,831
..Two or More Races,"19,604","18,814","18,159","17,347","16,560","15,872","15,187","14,566","14,014","13,528","13,380","13,380"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,081,000","1,077,576","1,073,045","1,066,920","1,057,612","1,051,115","1,045,768","1,043,089","1,042,042","1,041,160","1,039,751","1,039,758"
...Black,"218,918","216,548","213,848","212,186","208,634","206,704","204,944","203,421","202,071","200,576","199,902","199,902"
...AIAN,"21,768","21,191","20,629","20,049","19,590","18,912","18,415","18,010","17,605","17,208","17,128","17,128"
...Asian,"19,027","18,064","17,421","16,537","15,632","14,667","13,696","12,927","12,297","11,866","11,727","11,727"
...NHPI,"2,361","2,211","2,105","2,030","1,896","1,808","1,733","1,624","1,524","1,419","1,397","1,397"
.HISPANIC,"93,097","88,660","84,060","78,788","72,998","67,177","62,615","57,741","53,331","49,318","48,852","48,852"
..One Race,"91,454","87,146","82,658","77,491","71,832","66,142","61,689","56,916","52,587","48,653","48,190","48,190"
...White,"85,564","81,651","77,534","72,732","67,459","62,160","58,002","53,554","49,487","45,792","45,343","45,343"
...Black,"3,604","3,336","3,095","2,854","2,606","2,360","2,169","1,977","1,818","1,679","1,667","1,667"
...AIAN,"1,478","1,404","1,321","1,243","1,156","1,059",983,878,802,720,718,718
...Asian,452,427,406,383,359,336,323,310,295,281,281,281
...NHPI,356,328,302,279,252,227,212,197,185,181,181,181
..Two or More Races,"1,643","1,514","1,402","1,297","1,166","1,035",926,825,744,665,662,662
..Race alone or in combination:1,,,,,,,,,,,,
...White,"87,032","82,998","78,784","73,888","68,499","63,069","58,820","54,295","50,141","46,374","45,923","45,923"
...Black,"4,126","3,822","3,549","3,268","2,974","2,709","2,460","2,237","2,055","1,896","1,879","1,879"
...AIAN,"2,494","2,344","2,194","2,054","1,876","1,706","1,561","1,398","1,281","1,146","1,146","1,146"
...Asian,862,802,745,703,652,601,559,515,476,441,443,443
...NHPI,531,478,443,411,372,338,313,272,262,250,250,250
FEMALE,"1,473,950","1,463,329","1,450,197","1,436,843","1,417,262","1,402,468","1,391,082","1,383,230","1,376,926","1,370,948","1,368,700","1,368,707"
.One Race,"1,451,929","1,442,164","1,429,973","1,417,533","1,398,865","1,385,025","1,374,382","1,367,160","1,361,449","1,356,141","1,354,033","1,354,040"
..White,"1,179,992","1,173,335","1,165,188","1,155,494","1,142,290","1,131,521","1,124,081","1,118,978","1,115,157","1,111,853","1,110,479","1,110,485"
..Black,"239,628","237,917","235,004","233,536","229,584","228,042","226,080","225,104","224,151","223,020","222,436","222,436"
..AIAN,"12,733","12,288","11,881","11,456","10,993","10,548","10,247","9,901","9,590","9,258","9,221","9,221"
..Asian,"17,936","17,094","16,454","15,703","14,731","13,752","12,856","12,123","11,568","11,088","10,979","10,980"
..NHPI,"1,640","1,530","1,446","1,344","1,267","1,162","1,118","1,054",983,922,918,918
.Two or More Races,"22,021","21,165","20,224","19,310","18,397","17,443","16,700","16,070","15,477","14,807","14,667","14,667"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,200,225","1,192,776","1,183,755","1,173,216","1,159,184","1,147,518","1,139,388","1,133,701","1,129,335","1,125,399","1,123,918","1,123,924"
..Black,"247,166","245,034","241,673","239,752","235,345","233,335","231,000","229,747","228,483","227,025","226,383","226,383"
..AIAN,"24,939","24,214","23,503","22,763","21,980","21,200","20,637","20,067","19,566","19,002","18,916","18,916"
..Asian,"22,216","21,148","20,260","19,278","18,042","16,855","15,781","14,875","14,164","13,527","13,380","13,381"
..NHPI,"2,717","2,561","2,418","2,265","2,136","1,978","1,903","1,807","1,696","1,603","1,576","1,576"
.NOT HISPANIC,"1,394,056","1,387,540","1,378,987","1,370,663","1,357,005","1,347,680","1,340,506","1,336,994","1,334,691","1,332,583","1,330,686","1,330,693"
..One Race,"1,373,505","1,367,723","1,360,008","1,352,505","1,339,638","1,331,150","1,324,631","1,321,659","1,319,877","1,318,364","1,316,606","1,316,613"
...White,"1,106,958","1,103,946","1,099,952","1,094,866","1,087,055","1,081,282","1,077,700","1,076,561","1,076,448","1,076,727","1,075,693","1,075,699"
...Black,"236,206","234,736","232,043","230,800","227,121","225,803","224,011","223,218","222,402","221,414","220,839","220,839"
...AIAN,"11,455","11,064","10,717","10,361","9,987","9,626","9,398","9,127","8,880","8,605","8,569","8,569"
...Asian,"17,499","16,678","16,061","15,331","14,387","13,440","12,558","11,843","11,300","10,828","10,719","10,720"
...NHPI,"1,387","1,299","1,235","1,147","1,088",999,964,910,847,790,786,786
..Two or More Races,"20,551","19,817","18,979","18,158","17,367","16,530","15,875","15,335","14,814","14,219","14,080","14,080"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,125,901","1,122,206","1,117,435","1,111,580","1,103,035","1,096,481","1,092,287","1,090,636","1,090,042","1,089,762","1,088,621","1,088,627"
...Black,"243,286","241,423","238,317","236,657","232,562","230,816","228,675","227,624","226,530","225,235","224,605","224,605"
...AIAN,"22,753","22,161","21,555","20,945","20,322","19,695","19,272","18,824","18,425","17,965","17,878","17,878"
...Asian,"21,428","20,413","19,568","18,637","17,475","16,331","15,292","14,433","13,754","13,138","12,991","12,992"
