table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,820,442","2,808,515","2,792,481","2,775,165","2,757,153","2,742,779","2,730,485","2,718,118","2,710,149","2,698,092","2,693,393","2,693,376"
..Black,"302,588","298,340","293,697","288,668","283,154","278,174","273,519","269,251","265,511","260,794","259,815","259,815"
..AIAN,"24,118","23,664","23,257","22,802","22,217","21,798","21,364","20,977","20,527","20,039","19,932","19,932"
..Asian,"55,909","53,828","51,862","49,827","47,256","44,976","42,791","40,575","38,518","36,576","36,114","36,114"
..NHPI,"3,420","3,319","3,235","3,095","2,976","2,854","2,742","2,668","2,572","2,456","2,415","2,415"
.NOT HISPANIC,"2,976,064","2,964,993","2,950,720","2,935,494","2,919,770","2,907,891","2,897,192","2,886,514","2,880,028","2,869,916","2,865,177","2,865,162"
..One Race,"2,939,976","2,929,770","2,916,403","2,902,309","2,887,939","2,877,172","2,867,651","2,857,994","2,852,673","2,843,686","2,839,204","2,839,189"
...White,"2,609,870","2,604,670","2,596,586","2,588,141","2,580,201","2,575,220","2,571,128","2,566,643","2,565,834","2,562,143","2,558,828","2,558,813"
...Black,"275,602","272,449","268,908","265,021","260,805","257,005","253,460","250,221","247,523","243,909","243,135","243,135"
...AIAN,"8,302","8,178","8,034","7,917","7,765","7,651","7,552","7,464","7,333","7,221","7,186","7,186"
...Asian,"45,165","43,458","41,894","40,273","38,234","36,407","34,634","32,803","31,134","29,596","29,241","29,241"
...NHPI,"1,037","1,015",981,957,934,889,877,863,849,817,814,814
..Two or More Races,"36,088","35,223","34,317","33,185","31,831","30,719","29,541","28,520","27,355","26,230","25,973","25,973"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,643,582","2,637,540","2,628,595","2,619,081","2,609,851","2,603,814","2,598,590","2,593,131","2,591,203","2,586,464","2,582,949","2,582,934"
...Black,"294,220","290,463","286,286","281,639","276,572","272,000","267,675","263,758","260,309","255,971","255,030","255,030"
...AIAN,"20,176","19,956","19,728","19,446","19,077","18,821","18,557","18,321","18,017","17,728","17,638","17,638"
...Asian,"53,733","51,814","50,006","48,087","45,685","43,572","41,498","39,404","37,435","35,595","35,144","35,144"
...NHPI,"2,392","2,325","2,292","2,208","2,144","2,069","2,009","1,971","1,910","1,834","1,805","1,805"
