table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Vermont: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...NHPI,76,74,73,70,68,66,64,63,62,61,61,61
..Two or More Races,"3,540","3,460","3,421","3,314","3,256","3,196","3,122","3,033","2,944","2,906","2,879","2,879"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"293,712","293,729","293,779","293,805","293,688","293,532","293,040","292,657","291,380","290,520","290,041","290,044"
...Black,"3,996","3,799","3,623","3,447","3,260","3,075","2,920","2,724","2,573","2,392","2,372","2,372"
...AIAN,"3,113","3,080","3,077","3,063","3,058","3,053","3,044","3,023","3,021","3,028","3,025","3,026"
...Asian,"4,177","4,039","3,994","3,881","3,787","3,680","3,545","3,464","3,274","3,102","3,041","3,041"
...NHPI,158,166,161,157,155,145,141,139,135,135,135,135
.HISPANIC,"4,594","4,414","4,206","4,006","3,795","3,633","3,445","3,289","3,056","2,767","2,743","2,743"
..One Race,"4,453","4,275","4,072","3,874","3,665","3,505","3,320","3,166","2,934","2,647","2,623","2,623"
...White,"4,176","4,002","3,807","3,616","3,415","3,258","3,074","2,922","2,697","2,417","2,393","2,393"
...Black,153,149,144,138,134,131,130,129,125,120,120,120
...AIAN,75,75,74,73,69,69,69,69,67,66,66,66
...Asian,33,33,31,31,31,31,31,30,30,30,30,30
...NHPI,16,16,16,16,16,16,16,16,15,14,14,14
..Two or More Races,141,139,134,132,130,128,125,123,122,120,120,120
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,311","4,138","3,933","3,742","3,542","3,381","3,191","3,040","2,812","2,531","2,506","2,506"
...Black,224,219,222,208,205,197,192,191,195,181,181,181
...AIAN,156,150,149,138,145,136,138,135,135,142,143,143
...Asian,51,49,46,47,42,48,46,48,45,42,43,43
...NHPI,29,21,26,24,22,25,26,25,23,23,22,22
FEMALE,"315,736","315,463","315,224","315,110","314,496","314,387","313,704","312,832","311,806","311,009","310,488","310,490"
.One Race,"311,969","311,761","311,612","311,524","311,005","310,946","310,348","309,542","308,573","307,798","307,315","307,317"
..White,"303,953","303,965","304,002","304,148","303,937","304,105","303,845","303,350","302,668","302,188","301,763","301,765"
..Black,"2,698","2,555","2,413","2,267","2,083","1,929","1,755","1,608","1,474","1,347","1,347","1,347"
..AIAN,"1,214","1,210","1,232","1,241","1,225","1,228","1,230","1,230","1,235","1,224","1,216","1,216"
..Asian,"3,974","3,905","3,840","3,745","3,653","3,580","3,427","3,275","3,121","2,965","2,915","2,915"
..NHPI,130,126,125,123,107,104,91,79,75,74,74,74
.Two or More Races,"3,767","3,702","3,612","3,586","3,491","3,441","3,356","3,290","3,233","3,211","3,173","3,173"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"307,616","307,558","307,515","307,623","307,338","307,445","307,105","306,540","305,809","305,302","304,844","304,846"
..Black,"3,721","3,559","3,365","3,191","2,953","2,777","2,564","2,392","2,224","2,085","2,065","2,065"
..AIAN,"3,288","3,278","3,289","3,305","3,279","3,273","3,253","3,222","3,238","3,250","3,244","3,244"
..Asian,"4,869","4,776","4,673","4,569","4,444","4,345","4,166","3,995","3,809","3,631","3,559","3,559"
..NHPI,226,217,212,211,190,187,165,160,149,154,151,151
.NOT HISPANIC,"311,146","311,043","310,983","311,058","310,631","310,738","310,269","309,551","308,742","308,214","307,727","307,729"
..One Race,"307,542","307,502","307,528","307,625","307,291","307,446","307,063","306,409","305,660","305,154","304,694","304,696"
...White,"299,806","299,978","300,182","300,499","300,461","300,837","300,785","300,435","299,958","299,735","299,329","299,331"
...Black,"2,549","2,413","2,278","2,139","1,960","1,810","1,639","1,497","1,374","1,256","1,256","1,256"
...AIAN,"1,133","1,130","1,153","1,168","1,158","1,163","1,167","1,169","1,178","1,170","1,166","1,166"
...Asian,"3,934","3,865","3,800","3,706","3,615","3,542","3,391","3,239","3,085","2,929","2,879","2,879"
...NHPI,120,116,115,113,97,94,81,69,65,64,64,64
..Two or More Races,"3,604","3,541","3,455","3,433","3,340","3,292","3,206","3,142","3,082","3,060","3,033","3,033"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"303,315","303,423","303,547","303,835","303,716","304,034","303,905","303,487","302,955","302,707","302,279","302,281"
...Black,"3,493","3,337","3,154","2,989","2,753","2,589","2,376","2,207","2,051","1,918","1,902","1,902"
...AIAN,"3,139","3,124","3,138","3,167","3,147","3,139","3,127","3,106","3,112","3,121","3,119","3,119"
...Asian,"4,803","4,711","4,605","4,501","4,373","4,284","4,102","3,929","3,743","3,566","3,498","3,498"
...NHPI,196,188,184,179,161,160,143,135,125,127,128,128
.HISPANIC,"4,590","4,420","4,241","4,052","3,865","3,649","3,435","3,281","3,064","2,795","2,761","2,761"
..One Race,"4,427","4,259","4,084","3,899","3,714","3,500","3,285","3,133","2,913","2,644","2,621","2,621"
...White,"4,147","3,987","3,820","3,649","3,476","3,268","3,060","2,915","2,710","2,453","2,434","2,434"
...Black,149,142,135,128,123,119,116,111,100,91,91,91
...AIAN,81,80,79,73,67,65,63,61,57,54,50,50
...Asian,40,40,40,39,38,38,36,36,36,36,36,36
...NHPI,10,10,10,10,10,10,10,10,10,10,10,10
..Two or More Races,163,161,157,153,151,149,150,148,151,151,140,140
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,301","4,135","3,968","3,788","3,622","3,411","3,200","3,053","2,854","2,595","2,565","2,565"
...Black,228,222,211,202,200,188,188,185,173,167,163,163
...AIAN,149,154,151,138,132,134,126,116,126,129,125,125
...Asian,66,65,68,68,71,61,64,66,66,65,61,61
...NHPI,30,29,28,32,29,27,22,25,24,27,23,23
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""some other race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Vermont: April 1, 2000 to July 1, 2009 (SC-EST2009-03-50)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
