table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Two or More Races,"24,752","23,756","22,333","20,878","19,579","18,750","17,626","16,653","15,580","14,541","14,392","14,392"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,572,048","1,550,325","1,521,395","1,487,872","1,456,308","1,435,255","1,411,959","1,397,404","1,381,177","1,367,208","1,363,308","1,363,339"
..Black,"617,817","612,555","604,756","596,869","587,998","583,533","578,156","573,960","570,194","566,251","563,877","563,925"
..AIAN,"19,044","18,540","17,845","17,078","16,383","15,921","15,297","14,914","14,392","13,908","13,841","13,841"
..Asian,"35,886","34,342","32,567","30,620","28,754","27,244","25,550","24,135","22,783","21,726","21,483","21,483"
..NHPI,"3,353","3,261","3,072","2,846","2,706","2,595","2,462","2,330","2,188","2,038","2,007","2,007"
.NOT HISPANIC,"2,105,325","2,083,784","2,053,931","2,019,866","1,986,091","1,965,707","1,941,650","1,926,931","1,911,362","1,898,023","1,892,113","1,892,192"
..One Race,"2,082,540","2,061,866","2,033,293","2,000,500","1,967,840","1,948,175","1,925,143","1,911,315","1,896,705","1,884,299","1,878,544","1,878,623"
...White,"1,448,857","1,433,980","1,413,619","1,388,964","1,365,166","1,350,038","1,332,849","1,323,812","1,313,465","1,305,147","1,301,869","1,301,900"
...Black,"596,921","592,476","585,850","579,308","571,986","568,813","564,524","560,957","557,872","554,644","552,406","552,454"
...AIAN,"8,226","8,058","7,800","7,605","7,364","7,196","6,935","6,818","6,628","6,480","6,444","6,444"
...Asian,"27,578","26,400","25,122","23,754","22,457","21,269","20,009","18,941","17,976","17,317","17,115","17,115"
...NHPI,958,952,902,869,867,859,826,787,764,711,710,710
..Two or More Races,"22,785","21,918","20,638","19,366","18,251","17,532","16,507","15,616","14,657","13,724","13,569","13,569"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,468,453","1,452,827","1,431,315","1,405,563","1,380,793","1,365,010","1,346,918","1,337,114","1,325,924","1,316,781","1,313,352","1,313,383"
...Black,"608,615","603,617","596,213","588,909","580,898","577,279","572,421","568,312","564,655","560,877","558,539","558,587"
...AIAN,"16,491","16,119","15,549","15,084","14,599","14,262","13,749","13,423","12,999","12,646","12,589","12,589"
...Asian,"34,078","32,650","30,981","29,219","27,575","26,166","24,573","23,228","21,967","21,013","20,760","20,760"
...NHPI,"2,399","2,348","2,219","2,085","2,028","1,974","1,879","1,790","1,703","1,601","1,571","1,571"
.HISPANIC,"115,809","109,319","101,353","92,659","84,708","78,445","72,564","67,651","62,419","57,251","56,737","56,737"
..One Race,"113,842","107,481","99,658","91,147","83,380","77,227","71,445","66,614","61,496","56,434","55,914","55,914"
...White,"102,074","96,074","88,778","81,139","74,490","69,315","64,169","59,486","54,546","49,810","49,338","49,338"
...Black,"8,148","7,963","7,656","7,185","6,408","5,621","5,156","5,115","5,063","4,950","4,906","4,906"
...AIAN,"1,814","1,744","1,635","1,424","1,270","1,181","1,112","1,069","1,020",921,915,915
...Asian,"1,172","1,091","1,014",886,742,683,609,574,524,446,451,451
...NHPI,634,609,575,513,470,427,399,370,343,307,304,304
..Two or More Races,"1,967","1,838","1,695","1,512","1,328","1,218","1,119","1,037",923,817,823,823
