table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"1,321,115","1,295,346","1,267,029","1,229,096","1,189,553","1,161,252","1,133,867","1,111,903","1,091,570","1,069,728","1,064,661","1,064,642"
..Black,"26,652","24,919","23,403","21,564","19,731","18,416","17,310","16,373","15,393","14,266","14,109","14,109"
..AIAN,"26,884","26,106","25,327","24,223","23,226","22,575","22,109","21,664","21,156","20,760","20,574","20,574"
..Asian,"36,438","34,726","32,976","31,326","29,709","28,511","27,292","26,132","25,034","23,863","23,559","23,559"
..NHPI,"16,092","15,523","14,939","14,202","13,643","13,113","12,689","12,247","11,837","11,350","11,245","11,245"
.NOT HISPANIC,"1,219,318","1,198,107","1,176,504","1,146,191","1,113,015","1,089,249","1,066,047","1,048,338","1,032,655","1,015,324","1,011,133","1,011,114"
..One Race,"1,197,952","1,177,794","1,157,216","1,128,157","1,096,096","1,073,196","1,050,735","1,033,844","1,018,950","1,002,574","998,535","998,516"
...White,"1,129,499","1,112,041","1,093,926","1,067,791","1,038,637","1,017,822","997,208","981,845","968,518","953,680","950,091","950,072"
...Black,"16,297","15,425","14,743","13,747","12,638","11,883","11,222","10,754","10,229","9,618","9,573","9,573"
...AIAN,"15,949","15,538","15,190","14,632","14,131","13,833","13,675","13,521","13,320","13,273","13,193","13,193"
...Asian,"25,680","24,580","23,470","22,528","21,515","20,804","20,001","19,308","18,640","17,968","17,724","17,724"
...NHPI,"10,527","10,210","9,887","9,459","9,175","8,854","8,629","8,416","8,243","8,035","7,954","7,954"
..Two or More Races,"21,366","20,313","19,288","18,034","16,919","16,053","15,312","14,494","13,705","12,750","12,598","12,598"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,149,232","1,130,799","1,111,723","1,084,404","1,054,224","1,032,607","1,011,297","995,173","981,124","965,391","961,677","961,658"
...Black,"21,562","20,338","19,337","17,979","16,548","15,537","14,667","13,976","13,234","12,377","12,244","12,244"
