table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Black,"524,216","520,732","515,580","508,940","504,492","500,948","496,407","493,893","492,380","489,890","488,652","488,647"
..AIAN,"12,883","12,680","12,235","11,799","11,522","11,119","10,681","10,293","9,946","9,534","9,528","9,528"
..Asian,"16,191","15,682","15,008","14,322","14,074","13,410","12,738","12,237","11,635","11,217","11,071","11,071"
..NHPI,"1,665","1,580","1,520","1,413","1,370","1,307","1,216","1,143","1,085","1,007",992,992
.NOT HISPANIC,"1,388,796","1,385,009","1,378,529","1,368,362","1,371,297","1,366,369","1,359,141","1,355,958","1,354,482","1,352,524","1,350,688","1,350,682"
..One Race,"1,375,901","1,372,562","1,366,776","1,357,417","1,360,864","1,356,564","1,350,054","1,347,494","1,346,609","1,345,307","1,343,533","1,343,527"
...White,"842,746","842,863","842,321","839,604","847,333","846,774","845,007","845,148","846,021","847,240","846,760","846,759"
...Black,"513,965","510,912","506,272","500,225","496,126","492,996","488,901","486,700","485,499","483,361","482,188","482,183"
...AIAN,"6,904","6,816","6,638","6,497","6,376","6,221","6,034","5,848","5,709","5,569","5,551","5,551"
...Asian,"11,858","11,559","11,137","10,709","10,645","10,205","9,775","9,485","9,081","8,845","8,747","8,747"
...NHPI,428,412,408,382,384,368,337,313,299,292,287,287
..Two or More Races,"12,895","12,447","11,753","10,945","10,433","9,805","9,087","8,464","7,873","7,217","7,155","7,155"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"853,597","853,335","852,209","848,786","856,065","854,960","852,568","852,166","852,530","853,198","852,661","852,660"
...Black,"520,503","517,147","512,136","505,583","501,164","497,666","493,152","490,585","489,026","486,507","485,306","485,301"
...AIAN,"11,695","11,556","11,187","10,844","10,634","10,333","9,961","9,623","9,334","8,995","8,989","8,989"
...Asian,"15,596","15,136","14,480","13,830","13,583","12,951","12,308","11,817","11,229","10,816","10,671","10,671"
...NHPI,"1,330","1,269","1,217","1,151","1,101","1,058",977,920,873,811,796,796
.HISPANIC,"42,244","40,227","37,840","35,083","32,757","30,339","28,440","26,773","25,047","23,091","22,872","22,872"
..One Race,"41,499","39,517","37,176","34,459","32,150","29,767","27,889","26,241","24,543","22,614","22,397","22,397"
...White,"36,878","35,077","32,910","30,362","28,139","25,897","24,101","22,439","20,756","18,860","18,681","18,681"
...Black,"3,303","3,192","3,092","3,022","3,006","2,964","2,954","3,026","3,080","3,125","3,086","3,086"
...AIAN,874,821,762,693,635,554,496,446,395,336,337,337
...Asian,255,244,237,222,219,212,205,202,196,191,191,191
...NHPI,189,183,175,160,151,140,133,128,116,102,102,102
..Two or More Races,745,710,664,624,607,572,551,532,504,477,475,475
..Race alone or in combination:1,,,,,,,,,,,,
...White,"37,396","35,577","33,385","30,803","28,559","26,290","24,495","22,820","21,126","19,191","19,007","19,007"
...Black,"3,713","3,585","3,444","3,357","3,328","3,282","3,255","3,308","3,354","3,383","3,346","3,346"
...AIAN,"1,188","1,124","1,048",955,888,786,720,670,612,539,539,539
...Asian,595,546,528,492,491,459,430,420,406,401,400,400
...NHPI,335,311,303,262,269,249,239,223,212,196,196,196
FEMALE,"1,520,956","1,514,976","1,505,354","1,493,705","1,496,062","1,489,298","1,480,097","1,475,912","1,473,784","1,472,695","1,471,106","1,471,104"
.One Race,"1,506,999","1,501,565","1,492,607","1,481,714","1,484,532","1,478,483","1,469,987","1,466,402","1,464,972","1,464,435","1,462,911","1,462,909"
..White,"904,963","902,891","900,790","896,087","903,302","901,136","897,158","895,825","895,840","896,413","896,082","896,081"
..Black,"580,194","577,474","571,337","565,817","561,603","558,404","554,639","553,054","552,153","551,425","550,343","550,342"
..AIAN,"7,722","7,550","7,395","7,226","7,061","6,923","6,673","6,428","6,209","6,033","6,018","6,018"
..Asian,"13,613","13,155","12,605","12,124","12,102","11,576","11,092","10,677","10,383","10,199","10,101","10,101"
..NHPI,507,495,480,460,464,444,425,418,387,365,367,367
.Two or More Races,"13,957","13,411","12,747","11,991","11,530","10,815","10,110","9,510","8,812","8,260","8,195","8,195"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"916,329","913,786","911,154","905,782","912,617","909,843","905,269","903,432","902,860","902,954","902,581","902,580"
..Black,"587,386","584,314","577,759","571,808","567,323","563,699","559,504","557,578","556,273","555,233","554,116","554,115"
..AIAN,"13,302","13,005","12,687","12,335","12,057","11,742","11,288","10,907","10,472","10,154","10,120","10,120"
..Asian,"17,663","17,042","16,264","15,539","15,361","14,583","13,890","13,279","12,761","12,409","12,287","12,287"
..NHPI,"1,463","1,424","1,363","1,293","1,261","1,203","1,143","1,087","1,013",959,945,945
.NOT HISPANIC,"1,488,753","1,484,460","1,476,850","1,467,612","1,471,214","1,466,244","1,458,642","1,456,015","1,455,396","1,455,850","1,454,408","1,454,407"
..One Race,"1,475,549","1,471,763","1,464,778","1,456,249","1,460,294","1,456,002","1,449,074","1,447,018","1,447,073","1,448,055","1,446,679","1,446,678"
...White,"877,550","876,998","876,765","874,317","882,779","882,311","879,864","880,092","881,594","883,718","883,507","883,507"
...Black,"577,059","574,410","568,324","562,857","558,578","555,398","551,634","549,990","549,038","548,241","547,186","547,185"
...AIAN,"7,151","7,024","6,911","6,787","6,656","6,550","6,334","6,115","5,935","5,788","5,773","5,773"
...Asian,"13,365","12,918","12,379","11,906","11,893","11,374","10,892","10,477","10,190","10,010","9,913","9,913"
...NHPI,424,413,399,382,388,369,350,344,316,298,300,300
..Two or More Races,"13,204","12,697","12,072","11,363","10,920","10,242","9,568","8,997","8,323","7,795","7,729","7,729"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"888,395","887,403","886,656","883,578","891,671","890,619","887,599","887,339","888,280","889,944","889,686","889,686"
...Black,"583,847","580,882","574,388","568,519","563,963","560,389","556,212","554,248","552,905","551,803","550,714","550,713"
...AIAN,"12,392","12,165","11,914","11,613","11,391","11,109","10,708","10,359","9,978","9,696","9,659","9,659"
...Asian,"17,073","16,468","15,728","15,025","14,869","14,130","13,443","12,846","12,346","12,008","11,890","11,890"
...NHPI,"1,263","1,236","1,175","1,123","1,093","1,040",998,941,870,818,806,806
.HISPANIC,"32,203","30,516","28,504","26,093","24,848","23,054","21,455","19,897","18,388","16,845","16,698","16,697"
..One Race,"31,450","29,802","27,829","25,465","24,238","22,481","20,913","19,384","17,899","16,380","16,232","16,231"
...White,"27,413","25,893","24,025","21,770","20,523","18,825","17,294","15,733","14,246","12,695","12,575","12,574"
...Black,"3,135","3,064","3,013","2,960","3,025","3,006","3,005","3,064","3,115","3,184","3,157","3,157"
...AIAN,571,526,484,439,405,373,339,313,274,245,245,245
...Asian,248,237,226,218,209,202,200,200,193,189,188,188
...NHPI,83,82,81,78,76,75,75,74,71,67,67,67
..Two or More Races,753,714,675,628,610,573,542,513,489,465,466,466
..Race alone or in combination:1,,,,,,,,,,,,
...White,"27,934","26,383","24,498","22,204","20,946","19,224","17,670","16,093","14,580","13,010","12,895","12,894"
...Black,"3,539","3,432","3,371","3,289","3,360","3,310","3,292","3,330","3,368","3,430","3,402","3,402"
...AIAN,910,840,773,722,666,633,580,548,494,458,461,461
...Asian,590,574,536,514,492,453,447,433,415,401,397,397
...NHPI,200,188,188,170,168,163,145,146,143,141,139,139
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2009 (SC-EST2009-03-28)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
