table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maine: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...White,"609,983","611,539","611,734","611,924","611,159","610,772","609,363","605,957","602,682","600,116","599,060","599,061"
...Black,"8,222","7,948","7,550","7,154","6,632","6,104","5,653","4,927","4,408","3,946","3,937","3,937"
...AIAN,"3,740","3,699","3,620","3,582","3,576","3,519","3,537","3,483","3,458","3,414","3,394","3,394"
...Asian,"5,562","5,456","5,295","5,216","5,102","4,893","4,727","4,503","4,280","4,107","4,067","4,067"
...NHPI,200,194,192,184,190,188,177,167,163,162,162,162
..Two or More Races,"6,735","6,629","6,354","6,203","6,063","5,846","5,664","5,452","5,184","5,015","4,966","4,966"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"616,488","617,941","617,872","617,910","617,014","616,415","614,828","611,214","607,680","604,949","603,858","603,859"
...Black,"10,264","9,925","9,401","8,921","8,323","7,692","7,143","6,329","5,700","5,174","5,146","5,146"
...AIAN,"6,895","6,879","6,722","6,663","6,643","6,538","6,532","6,420","6,304","6,232","6,193","6,193"
...Asian,"7,427","7,271","7,024","6,881","6,712","6,409","6,189","5,886","5,585","5,336","5,267","5,267"
...NHPI,444,424,416,406,394,392,379,348,342,331,326,326
.HISPANIC,"9,138","8,829","8,382","7,899","7,404","6,962","6,436","5,833","5,329","4,758","4,722","4,722"
..One Race,"8,867","8,562","8,128","7,653","7,168","6,734","6,214","5,622","5,129","4,566","4,531","4,531"
...White,"8,130","7,852","7,440","6,988","6,533","6,124","5,628","5,075","4,609","4,078","4,043","4,043"
...Black,431,416,403,390,381,372,359,332,316,288,287,287
...AIAN,181,170,164,155,140,126,117,107,100,99,100,100
...Asian,93,92,89,88,82,80,78,77,75,72,72,72
...NHPI,32,32,32,32,32,32,32,31,29,29,29,29
..Two or More Races,271,267,254,246,236,228,222,211,200,192,191,191
..Race alone or in combination:1,,,,,,,,,,,,
...White,"8,370","8,092","7,669","7,205","6,739","6,326","5,822","5,263","4,787","4,243","4,207","4,207"
...Black,581,562,542,530,511,500,490,450,426,388,390,390
...AIAN,286,272,255,251,229,209,202,184,180,179,179,179
...Asian,162,157,152,149,146,138,134,128,123,124,120,120
...NHPI,50,48,50,49,50,47,50,49,39,47,47,47
FEMALE,"674,721","675,397","674,181","672,801","671,505","669,969","667,545","663,616","659,287","655,693","654,607","654,614"
.One Race,"667,505","668,303","667,268","666,087","664,948","663,651","661,427","657,716","653,628","650,215","649,182","649,189"
..White,"649,331","650,575","650,178","649,483","649,011","648,466","646,960","644,133","640,801","638,072","637,119","637,126"
..Black,"6,674","6,446","6,105","5,723","5,260","4,848","4,369","3,811","3,391","2,991","2,983","2,983"
..AIAN,"4,146","4,095","4,017","3,964","3,931","3,866","3,844","3,803","3,747","3,699","3,684","3,684"
..Asian,"7,102","6,935","6,722","6,671","6,504","6,231","6,015","5,744","5,470","5,245","5,188","5,188"
..NHPI,252,252,246,246,242,240,239,225,219,208,208,208
.Two or More Races,"7,216","7,094","6,913","6,714","6,557","6,318","6,118","5,900","5,659","5,478","5,425","5,425"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"656,290","657,423","656,843","655,964","655,335","654,556","652,859","649,830","646,257","643,352","642,359","642,366"
..Black,"8,789","8,481","8,040","7,567","7,021","6,507","5,921","5,283","4,780","4,283","4,254","4,254"
..AIAN,"7,630","7,565","7,474","7,381","7,333","7,209","7,149","7,045","6,924","6,832","6,803","6,803"
..Asian,"9,061","8,845","8,567","8,441","8,190","7,855","7,553","7,196","6,842","6,556","6,473","6,473"
..NHPI,563,552,534,528,528,502,495,467,437,434,424,424
.NOT HISPANIC,"665,594","666,611","665,841","664,928","664,077","663,047","661,204","657,915","654,074","651,014","649,969","649,976"
..One Race,"658,645","659,778","659,181","658,452","657,753","656,953","655,296","652,215","648,604","645,714","644,722","644,729"
...White,"641,247","642,795","642,798","642,516","642,443","642,359","641,377","639,132","636,257","634,021","633,106","633,113"
...Black,"6,264","6,054","5,731","5,366","4,923","4,527","4,073","3,545","3,136","2,759","2,754","2,754"
...AIAN,"3,903","3,862","3,801","3,767","3,750","3,700","3,696","3,670","3,621","3,580","3,565","3,565"
...Asian,"7,015","6,851","6,640","6,593","6,431","6,162","5,947","5,677","5,404","5,179","5,122","5,122"
...NHPI,216,216,211,210,206,205,203,191,186,175,175,175
..Two or More Races,"6,949","6,833","6,660","6,476","6,324","6,094","5,908","5,700","5,470","5,300","5,247","5,247"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"647,961","649,409","649,234","648,781","648,553","648,249","647,083","644,642","641,540","639,141","638,186","638,193"
...Black,"8,225","7,933","7,528","7,068","6,551","6,053","5,511","4,896","4,410","3,957","3,930","3,930"
...AIAN,"7,281","7,229","7,151","7,086","7,058","6,949","6,911","6,834","6,716","6,633","6,605","6,605"
...Asian,"8,914","8,705","8,429","8,311","8,065","7,730","7,441","7,090","6,735","6,447","6,366","6,366"
...NHPI,499,490,473,467,469,441,436,410,387,380,370,370
.HISPANIC,"9,127","8,786","8,340","7,873","7,428","6,922","6,341","5,701","5,213","4,679","4,638","4,638"
..One Race,"8,860","8,525","8,087","7,635","7,195","6,698","6,131","5,501","5,024","4,501","4,460","4,460"
...White,"8,084","7,780","7,380","6,967","6,568","6,107","5,583","5,001","4,544","4,051","4,013","4,013"
...Black,410,392,374,357,337,321,296,266,255,232,229,229
...AIAN,243,233,216,197,181,166,148,133,126,119,119,119
...Asian,87,84,82,78,73,69,68,67,66,66,66,66
...NHPI,36,36,35,36,36,35,36,34,33,33,33,33
..Two or More Races,267,261,253,238,233,224,210,200,189,178,178,178
..Race alone or in combination:1,,,,,,,,,,,,
...White,"8,329","8,014","7,609","7,183","6,782","6,307","5,776","5,188","4,717","4,211","4,173","4,173"
...Black,564,548,512,499,470,454,410,387,370,326,324,324
...AIAN,349,336,323,295,275,260,238,211,208,199,198,198
...Asian,147,140,138,130,125,125,112,106,107,109,107,107
...NHPI,64,62,61,61,59,61,59,57,50,54,54,54
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maine: April 1, 2000 to July 1, 2009 (SC-EST2009-03-23)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
