table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,013,040","5,014,066","5,013,712","5,012,489","5,009,762","5,015,642","5,020,644","5,021,426","5,024,533","5,032,031","5,032,611","5,032,596"
...Black,"656,084","650,906","645,241","636,991","628,245","621,670","614,329","607,918","600,749","595,186","594,190","594,190"
...AIAN,"25,626","25,365","25,037","24,599","24,186","23,824","23,401","22,958","22,538","22,105","22,133","22,133"
...Asian,"170,017","165,161","160,655","155,419","149,631","144,015","138,845","133,172","127,409","122,592","121,337","121,337"
...NHPI,"4,753","4,669","4,544","4,397","4,256","4,138","4,032","3,930","3,794","3,711","3,547","3,547"
.HISPANIC,"334,294","318,708","303,069","285,570","268,032","252,401","237,691","224,809","213,457","203,566","201,822","201,827"
..One Race,"326,674","311,441","296,175","279,097","261,974","246,713","232,388","219,805","208,711","199,076","197,379","197,384"
...White,"283,928","269,754","256,278","241,923","227,215","214,166","202,167","190,777","180,305","171,283","169,813","169,813"
...Black,"33,795","33,084","31,715","29,697","27,996","26,434","24,727","23,983","23,644","23,324","23,138","23,143"
...AIAN,"4,801","4,566","4,317","3,865","3,503","3,197","2,919","2,670","2,485","2,288","2,266","2,266"
...Asian,"2,794","2,707","2,568","2,385","2,126","1,872","1,648","1,504","1,425","1,354","1,343","1,343"
...NHPI,"1,356","1,330","1,297","1,227","1,134","1,044",927,871,852,827,819,819
..Two or More Races,"7,620","7,267","6,894","6,473","6,058","5,688","5,303","5,004","4,746","4,490","4,443","4,443"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"290,754","276,278","262,457","247,726","232,640","219,250","206,904","195,232","184,523","175,271","173,766","173,766"
...Black,"39,562","38,569","36,918","34,565","32,549","30,696","28,699","27,708","27,178","26,651","26,436","26,441"
