table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Connecticut: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,466,526","1,462,250","1,458,592","1,459,923","1,458,974","1,459,715","1,457,558","1,452,380","1,446,049","1,440,527","1,438,280","1,438,261"
..Black,"191,141","188,268","185,363","183,413","181,143","179,318","177,966","175,285","172,619","169,991","169,452","169,451"
..AIAN,"14,477","14,300","14,081","13,967","13,687","13,571","13,344","13,080","12,817","12,552","12,519","12,516"
..Asian,"69,990","67,963","65,747","63,740","61,293","58,845","56,506","53,573","50,426","48,078","47,497","47,497"
..NHPI,"3,001","2,934","2,847","2,838","2,757","2,686","2,588","2,529","2,416","2,342","2,247","2,247"
.NOT HISPANIC,"1,497,508","1,496,623","1,495,518","1,499,728","1,501,391","1,503,650","1,503,707","1,499,795","1,494,909","1,491,048","1,489,320","1,489,299"
..One Race,"1,476,470","1,476,092","1,475,532","1,480,099","1,482,339","1,485,105","1,485,625","1,482,277","1,477,967","1,474,616","1,473,046","1,473,027"
...White,"1,250,946","1,254,148","1,257,553","1,265,318","1,271,395","1,277,750","1,281,360","1,282,697","1,283,314","1,284,205","1,283,385","1,283,368"
...Black,"158,746","156,953","154,998","153,663","152,156","150,825","149,968","148,070","146,146","144,129","143,808","143,807"
...AIAN,"4,221","4,234","4,205","4,199","4,103","4,088","4,024","3,951","3,863","3,790","3,773","3,772"
...Asian,"61,832","60,041","58,067","56,209","53,996","51,774","49,643","46,950","44,071","41,947","41,536","41,536"
...NHPI,725,716,709,710,689,668,630,609,573,545,544,544
..Two or More Races,"21,038","20,531","19,986","19,629","19,052","18,545","18,082","17,518","16,942","16,432","16,274","16,272"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,268,621","1,271,364","1,274,282","1,281,705","1,287,262","1,293,142","1,296,335","1,297,153","1,297,266","1,297,705","1,296,831","1,296,812"
...Black,"170,153","167,984","165,659","164,028","162,124","160,455","159,286","157,004","154,714","152,364","151,969","151,968"
...AIAN,"10,680","10,674","10,610","10,619","10,475","10,452","10,350","10,218","10,068","9,953","9,958","9,955"
...Asian,"68,439","66,483","64,325","62,367","59,959","57,548","55,257","52,378","49,300","46,981","46,425","46,425"
...NHPI,"2,060","2,028","1,971","1,979","1,920","1,863","1,788","1,763","1,673","1,623","1,541","1,541"
.HISPANIC,"220,128","212,359","205,156","198,764","191,902","186,603","181,073","174,669","167,841","161,565","160,020","160,020"
..One Race,"215,552","207,975","200,966","194,757","188,084","182,919","177,554","171,339","164,695","158,585","157,073","157,073"
...White,"193,791","186,952","180,541","174,620","168,279","163,264","158,069","152,254","145,979","140,169","138,802","138,802"
...Black,"17,294","16,760","16,344","16,173","15,983","15,932","15,880","15,626","15,414","15,260","15,135","15,135"
...AIAN,"2,742","2,602","2,478","2,393","2,287","2,213","2,126","2,035","1,933","1,823","1,811","1,811"
...Asian,"1,033",988,951,927,901,879,855,823,789,766,760,760
...NHPI,692,673,652,644,634,631,624,601,580,567,565,565
..Two or More Races,"4,576","4,384","4,190","4,007","3,818","3,684","3,519","3,330","3,146","2,980","2,947","2,947"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"197,905","190,886","184,310","178,218","171,712","166,573","161,223","155,227","148,783","142,822","141,449","141,449"
