table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..NHPI,"2,393","2,303","2,212","2,120","2,028","1,929","1,808","1,733","1,641","1,577","1,569","1,569"
.Two or More Races,"76,100","74,420","72,489","70,418","68,516","66,745","64,911","63,039","61,277","59,335","58,760","58,762"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,854,352","4,850,381","4,850,077","4,840,900","4,837,240","4,836,026","4,830,736","4,822,735","4,815,685","4,805,036","4,801,391","4,801,379"
..Black,"707,608","703,503","699,356","692,557","685,961","680,690","675,945","670,144","663,701","656,676","654,780","654,782"
..AIAN,"40,884","40,523","40,242","39,862","39,449","39,121","38,762","38,295","37,871","37,296","37,196","37,196"
..Asian,"106,946","104,024","101,320","98,485","95,683","92,248","89,050","85,327","81,904","79,145","78,306","78,317"
..NHPI,"5,124","4,986","4,803","4,653","4,477","4,329","4,153","4,015","3,858","3,720","3,621","3,621"
.NOT HISPANIC,"5,463,193","5,459,769","5,460,531","5,450,460","5,445,494","5,443,352","5,437,433","5,427,387","5,417,688","5,404,868","5,399,998","5,399,997"
..One Race,"5,391,448","5,389,541","5,392,065","5,383,863","5,380,632","5,380,136","5,375,923","5,367,602","5,359,533","5,348,510","5,344,182","5,344,179"
...White,"4,636,600","4,639,801","4,646,825","4,645,458","4,649,149","4,654,954","4,656,540","4,655,878","4,655,997","4,652,947","4,650,718","4,650,704"
...Black,"651,387","648,983","646,808","642,334","637,829","634,582","631,688","627,477","622,436","617,017","615,611","615,613"
...AIAN,"12,595","12,448","12,381","12,320","12,218","12,105","11,987","11,824","11,689","11,445","11,404","11,404"
...Asian,"89,268","86,751","84,535","82,270","79,987","77,081","74,366","71,122","68,182","65,925","65,281","65,290"
...NHPI,"1,598","1,558","1,516","1,481","1,449","1,414","1,342","1,301","1,229","1,176","1,168","1,168"
..Two or More Races,"71,745","70,228","68,466","66,597","64,862","63,216","61,510","59,785","58,155","56,358","55,816","55,818"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,702,032","4,703,787","4,709,112","4,705,976","4,707,987","4,712,243","4,712,210","4,709,895","4,708,480","4,703,719","4,701,061","4,701,049"
...Black,"692,443","688,771","685,206","679,232","673,371","668,856","664,638","659,162","652,930","646,202","644,396","644,398"
...AIAN,"36,308","36,106","35,988","35,843","35,645","35,452","35,208","34,895","34,616","34,198","34,124","34,124"
...Asian,"104,925","102,077","99,473","96,756","94,062","90,728","87,619","83,941","80,573","77,859","77,040","77,051"
...NHPI,"3,946","3,875","3,767","3,694","3,608","3,523","3,424","3,324","3,200","3,088","2,993","2,993"
.HISPANIC,"170,210","163,937","157,583","150,540","143,930","137,526","131,624","125,547","119,614","113,352","112,265","112,265"
..One Race,"165,855","159,745","153,560","146,719","140,276","133,997","128,223","122,293","116,492","110,375","109,321","109,321"
...White,"148,508","142,921","137,439","131,586","126,057","120,701","115,559","110,002","104,484","98,724","97,759","97,759"
...Black,"12,572","12,230","11,744","11,067","10,433","9,764","9,310","9,086","8,952","8,754","8,680","8,680"
...AIAN,"2,782","2,685","2,575","2,402","2,256","2,141","2,064","1,972","1,871","1,743","1,734","1,734"
...Asian,"1,198","1,164","1,106","1,025",951,876,824,801,773,753,747,747
...NHPI,795,745,696,639,579,515,466,432,412,401,401,401
..Two or More Races,"4,355","4,192","4,023","3,821","3,654","3,529","3,401","3,254","3,122","2,977","2,944","2,944"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"152,320","146,594","140,965","134,924","129,253","123,783","118,526","112,840","107,205","101,317","100,330","100,330"
...Black,"15,165","14,732","14,150","13,325","12,590","11,834","11,307","10,982","10,771","10,474","10,384","10,384"
...AIAN,"4,576","4,417","4,254","4,019","3,804","3,669","3,554","3,400","3,255","3,098","3,072","3,072"
...Asian,"2,021","1,947","1,847","1,729","1,621","1,520","1,431","1,386","1,331","1,286","1,266","1,266"
...NHPI,"1,178","1,111","1,036",959,869,806,729,691,658,632,628,628
FEMALE,"5,909,242","5,904,366","5,902,701","5,891,495","5,885,838","5,883,715","5,876,123","5,868,047","5,859,572","5,845,624","5,840,887","5,840,878"
.One Race,"5,829,035","5,825,835","5,826,037","5,816,891","5,812,974","5,812,684","5,807,003","5,800,748","5,793,982","5,782,062","5,777,890","5,777,880"
..White,"4,986,697","4,988,397","4,994,260","4,992,662","4,995,626","5,002,066","5,003,300","5,004,323","5,005,497","5,002,530","5,000,577","5,000,554"
..Black,"731,409","729,083","726,168","721,386","717,369","713,836","710,040","706,097","701,109","695,195","693,711","693,720"
..AIAN,"14,631","14,465","14,202","13,858","13,649","13,420","13,199","13,020","12,817","12,485","12,436","12,436"
..Asian,"94,140","91,768","89,335","86,994","84,428","81,510","78,700","75,583","72,909","70,260","69,592","69,596"
..NHPI,"2,158","2,122","2,072","1,991","1,902","1,852","1,764","1,725","1,650","1,592","1,574","1,574"
.Two or More Races,"80,207","78,531","76,664","74,604","72,864","71,031","69,120","67,299","65,590","63,562","62,997","62,998"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,058,951","5,059,044","5,063,154","5,059,609","5,060,926","5,065,626","5,065,043","5,064,354","5,063,907","5,059,043","5,056,613","5,056,591"
..Black,"778,150","774,470","770,121","763,712","758,377","753,429","748,219","742,887","736,653","729,326","727,459","727,468"
..AIAN,"42,868","42,601","42,236","41,688","41,419","41,071","40,676","40,376","40,016","39,388","39,309","39,309"
..Asian,"111,074","108,329","105,424","102,607","99,571","96,196","92,895","89,321","86,183","83,022","82,153","82,158"
..NHPI,"4,748","4,660","4,539","4,404","4,248","4,134","3,993","3,911","3,747","3,613","3,533","3,533"
.NOT HISPANIC,"5,753,039","5,753,829","5,758,038","5,753,181","5,753,384","5,756,841","5,754,672","5,751,798","5,748,453","5,739,801","5,736,031","5,736,020"
..One Race,"5,677,339","5,679,650","5,685,548","5,682,572","5,684,368","5,689,537","5,689,157","5,687,986","5,686,225","5,679,478","5,676,234","5,676,222"
...White,"4,852,118","4,858,885","4,869,778","4,873,442","4,881,334","4,892,383","4,898,337","4,904,158","4,910,111","4,912,029","4,910,898","4,910,873"
...Black,"718,467","716,433","714,009","709,871","706,418","703,513","700,151","696,386","691,500","685,728","684,321","684,330"
...AIAN,"12,164","12,099","11,942","11,776","11,697","11,588","11,451","11,348","11,225","10,991","10,954","10,954"
...Asian,"92,960","90,619","88,232","85,947","83,439","80,592","77,826","74,732","72,090","69,480","68,819","68,823"
...NHPI,"1,630","1,614","1,587","1,536","1,480","1,461","1,392","1,362","1,299","1,250","1,242","1,242"
..Two or More Races,"75,700","74,179","72,490","70,609","69,016","67,304","65,515","63,812","62,228","60,323","59,797","59,798"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,920,502","4,925,809","4,935,084","4,936,961","4,943,326","4,952,751","4,956,992","4,961,187","4,965,627","4,965,756","4,964,182","4,964,158"
...Black,"762,465","759,165","755,420","749,772","745,100","740,869","736,141","731,075","725,030","717,924","716,154","716,163"
...AIAN,"38,484","38,370","38,174","37,881","37,783","37,601","37,322","37,138","36,903","36,417","36,362","36,362"
...Asian,"108,991","106,313","103,503","100,753","97,834","94,540","91,345","87,807","84,737","81,643","80,792","80,797"
...NHPI,"3,890","3,842","3,767","3,672","3,566","3,486","3,388","3,324","3,196","3,076","3,014","3,014"
.HISPANIC,"156,203","150,537","144,663","138,314","132,454","126,874","121,451","116,249","111,119","105,823","104,856","104,858"
..One Race,"151,696","146,185","140,489","134,319","128,606","123,147","117,846","112,762","107,757","102,584","101,656","101,658"
...White,"134,579","129,512","124,482","119,220","114,292","109,683","104,963","100,165","95,386","90,501","89,679","89,681"
