table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Hawaii: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Asian,"329,680","329,847","330,639","331,466","333,335","334,437","334,538","334,660","337,074","340,863","340,349","340,349"
..NHPI,"141,522","141,316","141,445","141,296","141,534","141,230","140,687","140,239","140,736","141,636","142,322","142,322"
.NOT HISPANIC,"593,050","590,266","585,812","587,951","583,783","576,398","572,537","569,939","567,189","564,573","564,370","564,373"
..One Race,"487,865","486,142","481,883","484,270","479,845","472,431","468,906","466,397","462,673","458,533","458,365","458,368"
...White,"177,342","176,385","172,880","174,239","169,905","163,990","160,864","159,177","155,722","151,449","151,919","151,922"
...Black,"21,586","20,680","19,463","19,866","18,805","17,052","16,985","16,671","15,203","13,175","13,077","13,077"
...AIAN,"3,028","2,866","2,702","2,571","2,337","2,134","1,923","1,741","1,586","1,372","1,363","1,363"
...Asian,"229,014","229,497","230,170","231,061","232,410","233,301","233,512","233,613","235,024","237,270","236,694","236,694"
...NHPI,"56,895","56,714","56,668","56,533","56,388","55,954","55,622","55,195","55,138","55,267","55,312","55,312"
..Two or More Races,"105,185","104,124","103,929","103,681","103,938","103,967","103,631","103,542","104,516","106,040","106,005","106,005"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"254,067","252,056","248,201","249,202","244,869","238,792","235,208","233,231","230,313","226,992","227,092","227,095"
...Black,"26,579","25,515","24,250","24,634","23,559","21,788","21,730","21,448","20,076","18,284","17,822","17,822"
...AIAN,"10,528","10,347","10,199","10,117","9,943","9,773","9,609","9,522","9,498","9,551","9,279","9,279"
...Asian,"313,458","313,000","313,412","314,032","315,501","316,349","316,192","316,121","318,126","321,415","320,926","320,926"
...NHPI,"128,487","127,777","127,651","127,363","127,363","126,928","126,354","125,891","126,266","127,000","127,665","127,665"
.HISPANIC,"61,371","60,074","58,009","57,154","55,157","52,860","51,006","49,141","46,710","44,594","44,300","44,298"
..One Race,"48,069","46,261","43,913","42,850","40,474","37,914","35,789","33,635","30,713","27,957","27,727","27,725"
...White,"36,572","34,534","32,092","30,951","28,547","26,114","24,091","22,136","19,464","16,938","16,761","16,759"
