table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,310,899","2,272,176","2,230,578","2,191,554","2,150,826","2,127,151","2,103,985","2,088,450","2,057,513","2,009,700","1,997,662","1,997,297"
..Black,"133,065","128,175","123,643","120,208","116,006","114,562","110,698","109,455","106,360","102,141","101,386","101,384"
..AIAN,"51,494","50,070","48,745","47,474","46,427","45,599","44,853","44,338","43,320","41,942","41,536","41,524"
..Asian,"81,493","78,345","75,551","73,183","70,636","68,652","66,425","64,508","61,927","58,759","57,938","57,938"
..NHPI,"7,754","7,467","7,193","6,928","6,700","6,611","6,374","6,244","5,961","5,603","5,528","5,528"
.NOT HISPANIC,"1,998,993","1,969,423","1,936,997","1,908,410","1,877,518","1,864,629","1,847,469","1,842,308","1,824,303","1,789,864","1,781,498","1,781,177"
..One Race,"1,958,448","1,930,525","1,899,627","1,872,484","1,842,825","1,830,955","1,814,882","1,810,456","1,793,528","1,760,442","1,752,438","1,752,119"
...White,"1,771,434","1,749,308","1,723,857","1,700,915","1,676,559","1,666,783","1,655,420","1,652,929","1,640,118","1,612,885","1,606,146","1,605,836"
...Black,"103,585","100,615","97,727","95,735","92,843","92,482","89,709","89,405","87,648","84,888","84,359","84,357"
...AIAN,"19,371","18,835","18,288","17,752","17,244","16,873","16,523","16,265","15,894","15,260","15,168","15,161"
...Asian,"61,364","59,161","57,226","55,647","53,815","52,432","50,898","49,512","47,620","45,289","44,670","44,670"
...NHPI,"2,694","2,606","2,529","2,435","2,364","2,385","2,332","2,345","2,248","2,120","2,095","2,095"
..Two or More Races,"40,545","38,898","37,370","35,926","34,693","33,674","32,587","31,852","30,775","29,422","29,060","29,058"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,808,347","1,784,686","1,757,800","1,733,531","1,708,024","1,697,290","1,684,909","1,681,724","1,667,917","1,639,440","1,632,368","1,632,056"
...Black,"118,254","114,439","110,836","108,142","104,657","103,799","100,532","99,819","97,561","94,239","93,586","93,584"
...AIAN,"33,725","32,877","32,050","31,242","30,542","30,011","29,476","29,183","28,607","27,698","27,497","27,488"
...Asian,"76,572","73,701","71,155","68,970","66,607","64,785","62,779","61,048","58,687","55,747","54,974","54,974"
...NHPI,"5,823","5,623","5,436","5,241","5,071","5,020","4,879","4,828","4,637","4,375","4,321","4,321"
.HISPANIC,"532,092","515,485","499,439","483,634","467,466","453,752","442,163","429,075","410,753","390,098","384,862","384,806"
..One Race,"523,144","506,974","491,293","475,830","459,982","446,546","435,221","422,407","404,425","384,112","378,974","378,918"
...White,"494,442","479,763","465,376","450,921","436,006","423,301","412,759","400,661","383,836","364,819","359,932","359,879"
...Black,"12,255","11,313","10,508","9,872","9,249","8,754","8,234","7,797","7,058","6,262","6,182","6,182"
...AIAN,"12,345","12,007","11,687","11,426","11,236","11,092","11,025","10,913","10,674","10,395","10,251","10,248"
...Asian,"2,847","2,686","2,558","2,471","2,376","2,301","2,156","2,043","1,923","1,778","1,760","1,760"
...NHPI,"1,255","1,205","1,164","1,140","1,115","1,098","1,047",993,934,858,849,849
..Two or More Races,"8,948","8,511","8,146","7,804","7,484","7,206","6,942","6,668","6,328","5,986","5,888","5,888"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"502,552","487,490","472,778","458,023","442,802","429,861","419,076","406,726","389,596","370,260","365,294","365,241"
...Black,"14,811","13,736","12,807","12,066","11,349","10,763","10,166","9,636","8,799","7,902","7,800","7,800"
...AIAN,"17,769","17,193","16,695","16,232","15,885","15,588","15,377","15,155","14,713","14,244","14,039","14,036"
...Asian,"4,921","4,644","4,396","4,213","4,029","3,867","3,646","3,460","3,240","3,012","2,964","2,964"
...NHPI,"1,931","1,844","1,757","1,687","1,629","1,591","1,495","1,416","1,324","1,228","1,207","1,207"
FEMALE,"2,493,663","2,450,305","2,405,823","2,361,000","2,315,796","2,281,300","2,259,143","2,232,882","2,198,012","2,148,108","2,135,655","2,135,278"
.One Race,"2,442,812","2,401,532","2,358,911","2,316,040","2,272,395","2,239,403","2,218,340","2,193,383","2,159,990","2,111,784","2,099,772","2,099,401"
..White,"2,229,691","2,195,237","2,158,745","2,121,358","2,084,166","2,055,748","2,038,794","2,017,464","1,989,481","1,948,348","1,937,817","1,937,451"
..Black,"106,079","102,771","99,845","97,319","94,025","92,239","90,350","89,128","86,636","83,410","82,880","82,878"
..AIAN,"30,515","29,623","28,746","28,016","27,329","26,689","26,239","25,849","25,238","24,379","24,163","24,161"
..Asian,"72,773","70,310","68,119","65,987","63,663","61,619","59,974","58,061","55,862","53,044","52,338","52,337"
..NHPI,"3,754","3,591","3,456","3,360","3,212","3,108","2,983","2,881","2,773","2,603","2,574","2,574"
.Two or More Races,"50,851","48,773","46,912","44,960","43,401","41,897","40,803","39,499","38,022","36,324","35,883","35,877"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,275,853","2,239,476","2,201,271","2,162,100","2,123,470","2,093,660","2,075,681","2,053,149","2,023,814","1,981,119","1,970,192","1,969,820"
..Black,"123,876","119,612","115,872","112,504","108,558","106,116","103,746","101,958","98,848","94,979","94,274","94,271"
..AIAN,"50,957","49,546","48,231","46,980","45,897","44,876","44,211","43,507","42,496","41,152","40,790","40,783"
