table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oklahoma: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"1,490,398","1,473,546","1,461,948","1,447,192","1,431,239","1,425,376","1,416,944","1,413,560","1,405,826","1,401,541","1,400,707","1,400,717"
..Black,"162,676","158,686","156,409","152,327","149,149","147,931","145,584","145,604","143,675","141,678","141,282","141,282"
..AIAN,"204,131","202,083","200,401","198,325","196,423","195,425","194,534","193,735","193,120","192,970","192,512","192,512"
..Asian,"38,455","36,863","35,710","34,519","33,311","32,778","31,813","30,985","29,861","29,021","28,560","28,560"
..NHPI,"4,298","4,141","4,018","3,822","3,712","3,555","3,155","3,165","3,092","2,951","2,760","2,760"
.NOT HISPANIC,"1,661,263","1,647,386","1,638,364","1,625,320","1,611,577","1,609,762","1,604,135","1,604,863","1,600,525","1,599,844","1,599,055","1,599,065"
..One Race,"1,591,761","1,579,344","1,571,176","1,558,837","1,545,626","1,543,891","1,538,680","1,539,520","1,535,063","1,534,150","1,533,904","1,533,913"
...White,"1,280,398","1,272,825","1,268,028","1,260,994","1,252,147","1,251,999","1,249,575","1,251,090","1,249,536","1,251,146","1,251,440","1,251,450"
...Black,"141,941","139,370","138,056","134,919","132,588","132,011","130,389","130,904","129,554","128,049","127,968","127,968"
...AIAN,"138,106","137,023","135,848","134,626","133,518","132,887","132,499","131,913","131,312","131,016","130,773","130,772"
...Asian,"29,621","28,474","27,637","26,784","25,873","25,582","24,988","24,354","23,425","22,793","22,589","22,589"
...NHPI,"1,695","1,652","1,607","1,514","1,500","1,412","1,229","1,259","1,236","1,146","1,134","1,134"
..Two or More Races,"69,502","68,042","67,188","66,483","65,951","65,871","65,455","65,343","65,462","65,694","65,151","65,152"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,344,764","1,335,852","1,330,263","1,322,594","1,313,258","1,313,049","1,310,314","1,311,700","1,310,223","1,312,047","1,311,972","1,311,983"
...Black,"155,611","152,287","150,466","146,882","144,163","143,302","141,369","141,621","140,055","138,406","138,053","138,053"
...AIAN,"192,877","191,192","189,799","188,443","187,321","187,039","186,745","186,419","186,267","186,499","186,094","186,094"
...Asian,"36,626","35,184","34,136","33,074","31,973","31,512","30,677","29,917","28,884","28,126","27,694","27,694"
...NHPI,"3,389","3,307","3,231","3,082","3,026","2,920","2,585","2,620","2,601","2,481","2,316","2,316"
.HISPANIC,"160,711","151,975","145,431","137,379","129,773","123,300","116,751","111,449","104,469","97,692","96,831","96,830"
..One Race,"155,337","146,998","140,792","133,111","125,854","119,733","113,501","108,430","101,669","95,053","94,232","94,231"
...White,"140,891","133,286","127,575","120,817","114,508","109,170","103,727","99,184","93,112","87,155","86,408","86,407"
...Black,"5,530","4,991","4,634","4,243","3,896","3,633","3,325","3,149","2,850","2,555","2,532","2,532"
...AIAN,"7,543","7,436","7,359","6,885","6,336","5,858","5,463","5,137","4,818","4,526","4,489","4,489"
...Asian,947,879,837,788,754,722,661,638,587,533,528,528
...NHPI,426,406,387,378,360,350,325,322,302,284,275,275
..Two or More Races,"5,374","4,977","4,639","4,268","3,919","3,567","3,250","3,019","2,800","2,639","2,599","2,599"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"145,634","137,694","131,685","124,598","117,981","112,327","106,630","101,860","95,603","89,494","88,735","88,734"
...Black,"7,065","6,399","5,943","5,445","4,986","4,629","4,215","3,983","3,620","3,272","3,229","3,229"
...AIAN,"11,254","10,891","10,602","9,882","9,102","8,386","7,789","7,316","6,853","6,471","6,418","6,418"
...Asian,"1,829","1,679","1,574","1,445","1,338","1,266","1,136","1,068",977,895,866,866
...NHPI,909,834,787,740,686,635,570,545,491,470,444,444
FEMALE,"1,865,076","1,844,664","1,828,391","1,811,635","1,791,419","1,781,387","1,777,801","1,768,442","1,759,735","1,756,407","1,754,752","1,754,759"
