table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"2,351,886","2,339,051","2,325,633","2,312,384","2,299,811","2,292,547","2,283,428","2,273,168","2,261,972","2,244,729","2,238,466","2,238,454"
..Black,"150,070","146,597","142,203","136,487","130,438","125,935","121,109","116,293","111,699","106,246","105,700","105,701"
..AIAN,"47,016","46,631","45,799","44,746","43,820","43,108","42,386","41,759","41,149","40,427","40,263","40,263"
..Asian,"110,888","107,972","104,639","100,983","97,039","94,053","91,054","88,126","84,757","81,203","80,224","80,224"
..NHPI,"4,799","4,700","4,566","4,378","3,973","3,997","3,847","3,632","3,497","3,365","3,230","3,230"
.NOT HISPANIC,"2,499,213","2,484,676","2,468,533","2,450,928","2,433,671","2,423,950","2,411,987","2,398,799","2,384,683","2,364,485","2,357,719","2,357,708"
..One Race,"2,461,255","2,447,791","2,432,887","2,416,482","2,400,414","2,391,545","2,380,597","2,368,352","2,355,188","2,335,999","2,329,566","2,329,555"
...White,"2,209,243","2,201,110","2,192,586","2,183,869","2,176,183","2,173,095","2,168,717","2,163,449","2,157,434","2,146,406","2,141,248","2,141,236"
...Black,"124,626","122,100","119,026","114,863","110,278","107,117","103,364","99,319","95,492","90,859","90,527","90,528"
...AIAN,"29,016","28,808","28,332","27,909","27,591","27,411","27,137","26,807","26,490","26,113","25,992","25,992"
...Asian,"96,879","94,320","91,515","88,472","85,193","82,687","80,187","77,675","74,721","71,610","70,795","70,795"
...NHPI,"1,491","1,453","1,428","1,369","1,169","1,235","1,192","1,102","1,051","1,011","1,004","1,004"
..Two or More Races,"37,958","36,885","35,646","34,446","33,257","32,405","31,390","30,447","29,495","28,486","28,153","28,153"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,243,203","2,234,042","2,224,377","2,214,546","2,205,802","2,201,892","2,196,576","2,190,444","2,183,566","2,171,614","2,166,185","2,166,173"
...Black,"142,128","138,881","135,038","130,119","124,860","121,102","116,742","112,155","107,769","102,573","102,072","102,073"
...AIAN,"41,318","41,037","40,414","39,859","39,431","39,195","38,811","38,387","37,965","37,449","37,308","37,308"
...Asian,"108,849","105,971","102,748","99,300","95,553","92,779","89,907","87,041","83,726","80,239","79,277","79,277"
...NHPI,"4,107","4,017","3,907","3,781","3,424","3,499","3,390","3,186","3,075","2,965","2,845","2,845"
.HISPANIC,"121,357","117,438","112,978","108,228","103,098","98,441","93,811","89,266","84,558","78,815","77,923","77,923"
..One Race,"118,083","114,274","109,974","105,434","100,509","96,021","91,510","87,050","82,422","76,766","75,905","75,905"
...White,"105,723","102,137","98,530","95,294","91,648","88,450","84,762","80,707","76,464","71,254","70,445","70,445"
