table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,749,143","1,731,340","1,711,280","1,688,452","1,664,031","1,646,560","1,637,568","1,624,555","1,605,173","1,589,392","1,585,133","1,585,114"
..Black,"53,478","51,540","49,631","47,863","45,846","44,318","43,456","42,376","40,755","39,396","39,131","39,131"
..AIAN,"52,678","51,351","50,168","48,879","47,606","46,540","45,670","44,877","43,992","43,332","43,036","43,036"
..Asian,"83,352","80,631","78,286","75,720","72,809","70,488","68,928","66,745","64,223","61,713","61,065","61,065"
..NHPI,"11,131","10,806","10,453","10,159","9,821","9,446","9,298","9,050","8,727","8,376","8,317","8,317"
.NOT HISPANIC,"1,667,020","1,652,921","1,637,794","1,620,376","1,600,844","1,587,768","1,583,249","1,574,253","1,559,179","1,548,041","1,544,506","1,544,487"
..One Race,"1,624,113","1,611,422","1,597,335","1,580,971","1,562,563","1,550,416","1,546,507","1,538,223","1,524,031","1,513,696","1,510,489","1,510,470"
...White,"1,495,958","1,486,487","1,475,475","1,462,383","1,447,733","1,438,443","1,436,054","1,430,115","1,419,146","1,411,863","1,409,401","1,409,382"
...Black,"36,175","35,372","34,378","33,481","32,344","31,538","31,303","30,804","29,842","29,114","29,022","29,022"
...AIAN,"21,874","21,544","21,233","20,924","20,661","20,491","20,389","20,344","20,164","19,978","19,900","19,900"
...Asian,"65,004","63,074","61,408","59,495","57,251","55,551","54,406","52,698","50,745","48,773","48,231","48,231"
...NHPI,"5,102","4,945","4,841","4,688","4,574","4,393","4,355","4,262","4,134","3,968","3,935","3,935"
..Two or More Races,"42,907","41,499","40,459","39,405","38,281","37,352","36,742","36,030","35,148","34,345","34,017","34,017"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,535,824","1,525,034","1,513,028","1,498,951","1,483,244","1,473,070","1,470,112","1,463,510","1,451,719","1,443,682","1,440,912","1,440,893"
...Black,"46,751","45,344","43,925","42,593","41,028","39,861","39,332","38,536","37,256","36,240","36,018","36,018"
...AIAN,"40,589","39,998","39,555","39,058","38,579","38,273","38,136","37,999","37,698","37,425","37,191","37,191"
...Asian,"80,377","77,841","75,685","73,275","70,520","68,363","66,915","64,836","62,448","60,042","59,415","59,415"
...NHPI,"9,719","9,449","9,199","8,942","8,695","8,396","8,288","8,086","7,823","7,525","7,477","7,477"
.HISPANIC,"230,034","221,901","212,714","202,906","193,078","184,788","177,824","170,535","162,097","153,640","152,063","152,063"
..One Race,"224,530","216,718","207,840","198,346","188,833","180,827","174,100","167,018","158,776","150,480","148,939","148,939"
...White,"208,344","201,622","193,826","185,379","176,929","169,901","164,068","157,849","150,433","142,820","141,358","141,358"
...Black,"5,027","4,617","4,229","3,897","3,557","3,275","3,032","2,792","2,519","2,228","2,207","2,207"
...AIAN,"9,027","8,446","7,850","7,215","6,582","5,952","5,356","4,788","4,310","3,996","3,951","3,951"
...Asian,"1,468","1,389","1,313","1,250","1,184","1,128","1,082","1,038",983,927,918,918
...NHPI,664,644,622,605,581,571,562,551,531,509,505,505
..Two or More Races,"5,504","5,183","4,874","4,560","4,245","3,961","3,724","3,517","3,321","3,160","3,124","3,124"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"213,319","206,306","198,252","189,501","180,787","173,490","167,456","161,045","153,454","145,710","144,221","144,221"
...Black,"6,727","6,196","5,706","5,270","4,818","4,457","4,124","3,840","3,499","3,156","3,113","3,113"
...AIAN,"12,089","11,353","10,613","9,821","9,027","8,267","7,534","6,878","6,294","5,907","5,845","5,845"
...Asian,"2,975","2,790","2,601","2,445","2,289","2,125","2,013","1,909","1,775","1,671","1,650","1,650"
...NHPI,"1,412","1,357","1,254","1,217","1,126","1,050","1,010",964,904,851,840,840
FEMALE,"1,928,603","1,908,169","1,882,449","1,854,263","1,823,947","1,800,949","1,789,107","1,772,323","1,749,106","1,729,210","1,724,868","1,724,849"
.One Race,"1,879,197","1,860,435","1,835,981","1,809,259","1,780,394","1,758,508","1,747,420","1,731,460","1,709,456","1,690,633","1,686,649","1,686,630"
..White,"1,731,427","1,716,827","1,696,704","1,674,865","1,650,747","1,633,174","1,624,857","1,612,286","1,594,393","1,579,726","1,576,578","1,576,559"
..Black,"37,146","35,891","34,679","33,324","32,010","31,084","30,429","29,664","28,545","27,337","27,247","27,247"
..AIAN,"28,764","28,293","27,586","26,934","26,382","25,674","25,296","24,759","24,315","23,883","23,776","23,776"
..Asian,"76,256","73,997","71,718","68,982","66,225","63,752","62,114","60,230","57,838","55,485","54,883","54,883"
..NHPI,"5,604","5,427","5,294","5,154","5,030","4,824","4,724","4,521","4,365","4,202","4,165","4,165"
.Two or More Races,"49,406","47,734","46,468","45,004","43,553","42,441","41,687","40,863","39,650","38,577","38,219","38,219"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,777,418","1,761,248","1,739,932","1,716,726","1,691,266","1,672,631","1,663,631","1,650,305","1,631,274","1,615,612","1,612,137","1,612,118"
..Black,"48,831","46,971","45,294","43,448","41,662","40,354","39,389","38,320","36,843","35,288","35,078","35,078"
..AIAN,"51,465","50,572","49,596","48,561","47,652","46,664","46,175","45,501","44,723","44,067","43,841","43,841"
..Asian,"93,629","90,636","87,789","84,385","80,976","77,989","75,956","73,654","70,730","67,833","67,077","67,077"
..NHPI,"10,978","10,602","10,320","9,969","9,631","9,296","9,071","8,716","8,385","8,042","7,973","7,973"
.NOT HISPANIC,"1,730,168","1,717,233","1,700,360","1,681,991","1,661,003","1,646,522","1,641,439","1,631,811","1,616,380","1,604,754","1,601,617","1,601,598"
..One Race,"1,685,421","1,673,922","1,658,100","1,640,969","1,621,230","1,607,683","1,603,216","1,594,274","1,579,911","1,569,212","1,566,396","1,566,377"
...White,"1,550,737","1,542,561","1,530,227","1,517,186","1,501,420","1,491,426","1,489,083","1,482,789","1,471,855","1,464,663","1,462,634","1,462,615"
...Black,"32,279","31,439","30,623","29,630","28,689","28,069","27,660","27,167","26,360","25,501","25,423","25,423"
...AIAN,"22,346","22,231","21,906","21,628","21,430","21,134","21,127","21,009","20,873","20,666","20,587","20,587"
...Asian,"75,009","72,801","70,570","67,877","65,159","62,718","61,100","59,252","56,907","54,612","54,014","54,014"
...NHPI,"5,050","4,890","4,774","4,648","4,532","4,336","4,246","4,057","3,916","3,770","3,738","3,738"
..Two or More Races,"44,747","43,311","42,260","41,022","39,773","38,839","38,223","37,537","36,469","35,542","35,221","35,221"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,592,495","1,582,969","1,569,632","1,555,435","1,538,497","1,527,610","1,524,705","1,517,773","1,505,834","1,497,782","1,495,451","1,495,432"
...Black,"42,688","41,311","40,093","38,677","37,311","36,362","35,696","34,931","33,798","32,640","32,453","32,453"
...AIAN,"42,441","42,021","41,504","40,962","40,492","40,019","39,953","39,773","39,368","39,008","38,824","38,824"
...Asian,"91,006","88,153","85,451","82,174","78,873","75,965","74,014","71,808","68,967","66,186","65,448","65,448"
...NHPI,"9,731","9,422","9,184","8,909","8,631","8,330","8,154","7,854","7,560","7,261","7,205","7,205"
.HISPANIC,"198,435","190,936","182,089","172,272","162,944","154,427","147,668","140,512","132,726","124,456","123,251","123,251"
..One Race,"193,776","186,513","177,881","168,290","159,164","150,825","144,204","137,186","129,545","121,421","120,253","120,253"
...White,"180,690","174,266","166,477","157,679","149,327","141,748","135,774","129,497","122,538","115,063","113,944","113,944"
...Black,"4,867","4,452","4,056","3,694","3,321","3,015","2,769","2,497","2,185","1,836","1,824","1,824"
...AIAN,"6,418","6,062","5,680","5,306","4,952","4,540","4,169","3,750","3,442","3,217","3,189","3,189"
...Asian,"1,247","1,196","1,148","1,105","1,066","1,034","1,014",978,931,873,869,869
...NHPI,554,537,520,506,498,488,478,464,449,432,427,427
..Two or More Races,"4,659","4,423","4,208","3,982","3,780","3,602","3,464","3,326","3,181","3,035","2,998","2,998"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"184,923","178,279","170,300","161,291","152,769","145,021","138,926","132,532","125,440","117,830","116,686","116,686"
...Black,"6,143","5,660","5,201","4,771","4,351","3,992","3,693","3,389","3,045","2,648","2,625","2,625"
...AIAN,"9,024","8,551","8,092","7,599","7,160","6,645","6,222","5,728","5,355","5,059","5,017","5,017"
...Asian,"2,623","2,483","2,338","2,211","2,103","2,024","1,942","1,846","1,763","1,647","1,629","1,629"
...NHPI,"1,247","1,180","1,136","1,060","1,000",966,917,862,825,781,768,768
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2009 (SC-EST2009-03-41)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
