table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Tennessee: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.Two or More Races,"36,238","35,075","33,719","31,927","30,446","29,031","27,657","26,401","25,189","23,868","23,612","23,612"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,512,472","2,491,147","2,468,194","2,431,906","2,400,149","2,370,944","2,346,369","2,329,187","2,313,437","2,294,105","2,289,125","2,289,130"
..Black,"514,156","507,862","502,583","495,564","486,311","478,314","470,280","464,796","458,979","452,120","450,297","450,297"
..AIAN,"25,658","25,072","24,678","23,512","22,854","22,253","21,564","21,147","20,663","19,971","19,886","19,886"
..Asian,"51,590","49,864","48,236","45,932","43,700","41,344","39,099","37,190","35,353","33,877","33,485","33,485"
..NHPI,"3,700","3,547","3,456","3,222","3,062","2,923","2,749","2,667","2,536","2,407","2,377","2,377"
.NOT HISPANIC,"2,924,142","2,903,332","2,881,781","2,847,394","2,813,802","2,784,645","2,758,497","2,740,615","2,724,083","2,703,250","2,696,959","2,696,964"
..One Race,"2,890,456","2,870,632","2,850,293","2,817,456","2,785,181","2,757,241","2,732,313","2,715,604","2,700,189","2,680,590","2,674,542","2,674,547"
...White,"2,350,246","2,337,337","2,322,206","2,296,442","2,273,417","2,253,298","2,236,912","2,226,401","2,217,579","2,205,287","2,201,175","2,201,180"
...Black,"488,735","483,426","479,488","474,253","466,906","461,067","454,625","450,088","445,199","439,303","437,711","437,711"
...AIAN,"8,916","8,708","8,651","8,453","8,252","8,093","7,857","7,751","7,573","7,273","7,239","7,239"
...Asian,"41,234","39,906","38,702","37,116","35,457","33,644","31,848","30,313","28,836","27,769","27,465","27,465"
...NHPI,"1,325","1,255","1,246","1,192","1,149","1,139","1,071","1,051","1,002",958,952,952
..Two or More Races,"33,686","32,700","31,488","29,938","28,621","27,404","26,184","25,011","23,894","22,660","22,417","22,417"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,381,271","2,367,437","2,351,152","2,323,941","2,299,688","2,278,416","2,260,887","2,249,286","2,239,396","2,225,956","2,221,665","2,221,670"
...Black,"503,613","497,772","493,080","486,974","478,865","472,337","465,235","460,018","454,484","447,884","446,089","446,089"
...AIAN,"22,268","21,851","21,587","21,042","20,570","20,153","19,638","19,278","18,879","18,311","18,229","18,229"
...Asian,"49,716","48,069","46,541","44,490","42,450","40,274","38,113","36,245","34,466","33,039","32,669","32,669"
...NHPI,"2,707","2,592","2,538","2,410","2,324","2,271","2,137","2,082","1,990","1,886","1,865","1,865"
.HISPANIC,"145,101","137,078","129,716","119,017","110,129","100,506","92,383","86,497","80,296","74,044","73,311","73,311"
..One Race,"142,549","134,703","127,485","117,028","108,304","98,879","90,910","85,107","79,001","72,836","72,116","72,116"
...White,"129,049","121,712","115,154","106,288","98,926","91,157","84,230","78,731","72,948","67,138","66,449","66,449"
...Black,"9,280","8,918","8,425","7,606","6,565","5,180","4,333","4,096","3,881","3,652","3,629","3,629"
...AIAN,"2,383","2,289","2,200","1,664","1,540","1,431","1,319","1,285","1,227","1,143","1,139","1,139"
...Asian,"1,146","1,115","1,060",884,750,635,579,566,538,512,510,510
...NHPI,691,669,646,586,523,476,449,429,407,391,389,389
..Two or More Races,"2,552","2,375","2,231","1,989","1,825","1,627","1,473","1,390","1,295","1,208","1,195","1,195"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"131,201","123,710","117,042","107,965","100,461","92,528","85,482","79,901","74,041","68,149","67,460","67,460"
...Black,"10,543","10,090","9,503","8,590","7,446","5,977","5,045","4,778","4,495","4,236","4,208","4,208"
...AIAN,"3,390","3,221","3,091","2,470","2,284","2,100","1,926","1,869","1,784","1,660","1,657","1,657"
...Asian,"1,874","1,795","1,695","1,442","1,250","1,070",986,945,887,838,816,816
...NHPI,993,955,918,812,738,652,612,585,546,521,512,512
FEMALE,"3,227,011","3,200,046","3,161,365","3,123,042","3,071,817","3,031,611","3,005,642","2,976,194","2,951,064","2,925,949","2,919,006","2,919,008"
.One Race,"3,189,304","3,163,667","3,126,569","3,089,757","3,040,334","3,001,793","2,977,017","2,948,887","2,925,032","2,901,394","2,894,710","2,894,712"
..White,"2,569,383","2,551,832","2,523,102","2,494,810","2,458,685","2,430,705","2,414,021","2,394,591","2,378,998","2,363,392","2,358,841","2,358,844"
..Black,"562,245","556,111","549,552","543,399","532,606","524,354","518,249","511,563","505,089","498,633","496,876","496,875"
..AIAN,"10,438","10,219","9,899","9,317","8,987","8,627","8,379","8,106","7,880","7,576","7,539","7,539"
..Asian,"45,389","43,722","42,295","40,592","38,508","36,684","35,029","33,351","31,839","30,623","30,288","30,288"
..NHPI,"1,849","1,783","1,721","1,639","1,548","1,423","1,339","1,276","1,226","1,170","1,166","1,166"
.Two or More Races,"37,707","36,379","34,796","33,285","31,483","29,818","28,625","27,307","26,032","24,555","24,296","24,296"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,603,623","2,584,843","2,554,640","2,524,961","2,487,194","2,457,680","2,439,904","2,419,237","2,402,495","2,385,526","2,380,738","2,380,741"
..Black,"579,106","572,209","564,751","557,749","545,952","536,774","530,006","522,541","515,350","508,080","506,205","506,204"
..AIAN,"25,620","25,088","24,429","23,496","22,740","21,992","21,474","20,914","20,384","19,723","19,646","19,646"
..Asian,"54,873","52,825","50,933","48,750","46,137","43,830","41,810","39,760","37,876","36,231","35,783","35,783"
..NHPI,"3,708","3,580","3,433","3,276","3,095","2,872","2,731","2,594","2,458","2,334","2,318","2,318"
.NOT HISPANIC,"3,110,319","3,090,406","3,059,550","3,030,417","2,988,424","2,956,545","2,937,427","2,914,132","2,894,633","2,874,905","2,868,479","2,868,481"
..One Race,"3,075,086","3,056,327","3,026,869","2,999,036","2,958,628","2,928,223","2,910,165","2,888,079","2,869,748","2,851,406","2,845,227","2,845,229"
...White,"2,467,230","2,456,104","2,434,309","2,413,670","2,385,155","2,363,745","2,352,938","2,339,200","2,328,801","2,318,175","2,314,089","2,314,092"
...Black,"553,615","547,804","541,727","536,330","526,585","519,639","514,197","507,770","501,512","495,269","493,548","493,547"
...AIAN,"8,544","8,414","8,221","8,032","7,853","7,614","7,455","7,246","7,075","6,838","6,803","6,803"
...Asian,"44,273","42,637","41,292","39,733","37,809","36,095","34,502","32,847","31,377","30,188","29,855","29,855"
...NHPI,"1,424","1,368","1,320","1,271","1,226","1,130","1,073","1,016",983,936,932,932
..Two or More Races,"35,233","34,079","32,681","31,381","29,796","28,322","27,262","26,053","24,885","23,499","23,252","23,252"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,499,375","2,487,182","2,464,067","2,442,221","2,412,253","2,389,464","2,377,674","2,362,799","2,351,330","2,339,426","2,335,114","2,335,117"
...Black,"569,267","562,807","555,922","549,785","539,133","531,357","525,317","518,173","511,254","504,239","502,407","502,406"
...AIAN,"22,725","22,351","21,880","21,420","20,895","20,339","19,967","19,513","19,078","18,505","18,434","18,434"
...Asian,"53,054","51,070","49,319","47,358","44,963","42,822","40,911","38,911","37,097","35,512","35,065","35,065"
...NHPI,"3,038","2,927","2,817","2,713","2,597","2,420","2,322","2,207","2,100","1,985","1,966","1,966"
.HISPANIC,"116,692","109,640","101,815","92,625","83,393","75,066","68,215","62,062","56,431","51,044","50,527","50,527"
..One Race,"114,218","107,340","99,700","90,721","81,706","73,570","66,852","60,808","55,284","49,988","49,483","49,483"
...White,"102,153","95,728","88,793","81,140","73,530","66,960","61,083","55,391","50,197","45,217","44,752","44,752"
