table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..AIAN,"23,689","22,892","22,184","21,703","21,209","20,834","20,177","19,810","19,350","18,747","18,628","18,628"
..Asian,"278,154","271,489","265,330","257,735","250,374","244,230","237,507","230,800","223,299","215,790","213,743","213,729"
..NHPI,"4,715","4,562","4,425","4,318","4,241","4,188","4,049","4,003","3,883","3,713","3,686","3,686"
.Two or More Races,"81,867","78,992","76,072","73,164","70,506","67,998","65,209","62,797","60,443","57,790","57,262","57,259"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,138,574","5,114,254","5,088,729","5,065,228","5,049,613","5,038,504","5,016,065","5,000,820","4,981,329","4,952,547","4,945,651","4,945,486"
..Black,"944,730","939,346","935,159","932,711","929,946","928,001","924,111","924,029","922,285","918,480","916,685","916,685"
..AIAN,"46,112","44,969","43,862","43,021","42,188","41,484","40,415","39,736","39,006","37,989","37,802","37,800"
..Asian,"308,505","300,821","293,609","284,898","276,519","269,460","261,619","253,976","245,534","236,949","234,707","234,693"
..NHPI,"8,767","8,519","8,242","7,987","7,784","7,608","7,335","7,206","6,983","6,660","6,559","6,559"
.NOT HISPANIC,"5,324,708","5,313,343","5,303,298","5,294,025","5,292,284","5,295,452","5,285,246","5,286,791","5,284,309","5,274,231","5,271,011","5,270,861"
..One Race,"5,254,321","5,245,171","5,237,437","5,230,499","5,230,806","5,235,945","5,228,046","5,231,564","5,231,004","5,223,120","5,220,339","5,220,192"
...White,"4,087,000","4,086,996","4,086,907","4,087,715","4,095,943","4,107,106","4,108,017","4,116,571","4,123,632","4,125,365","4,126,029","4,125,895"
...Black,"880,368","878,013","876,645","876,698","876,291","876,520","874,898","876,678","876,693","874,862","873,467","873,468"
...AIAN,"11,526","11,234","10,977","10,727","10,491","10,305","9,857","9,680","9,499","9,215","9,183","9,183"
...Asian,"273,079","266,655","260,709","253,254","246,051","240,033","233,427","226,820","219,450","212,072","210,065","210,051"
...NHPI,"2,348","2,273","2,199","2,105","2,030","1,981","1,847","1,815","1,730","1,606","1,595","1,595"
..Two or More Races,"70,387","68,172","65,861","63,526","61,478","59,507","57,200","55,227","53,305","51,111","50,672","50,669"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,149,561","4,147,481","4,145,260","4,143,899","4,150,221","4,159,555","4,158,335","4,165,052","4,170,323","4,170,067","4,170,286","4,170,149"
...Black,"913,559","909,757","907,001","905,651","904,039","903,103","900,169","900,806","899,718","896,690","895,103","895,103"
...AIAN,"29,421","29,000","28,547","28,139","27,758","27,424","26,739","26,395","26,084","25,556","25,488","25,486"
...Asian,"300,819","293,554","286,699","278,286","270,210","263,389","255,797","248,362","240,156","231,815","229,624","229,610"
...NHPI,"5,734","5,597","5,420","5,240","5,066","4,939","4,708","4,616","4,446","4,208","4,128","4,128"
.HISPANIC,"1,034,918","1,010,577","985,409","962,019","938,791","917,275","894,979","872,196","846,545","816,936","809,503","809,475"
..One Race,"1,023,438","999,757","975,198","952,381","929,763","908,784","886,970","864,626","839,407","810,257","802,913","802,885"
...White,"978,613","956,982","934,224","912,582","891,218","871,254","850,472","828,901","804,534","776,428","769,397","769,369"
...Black,"25,220","23,994","22,920","22,129","21,293","20,597","19,896","19,427","19,020","18,472","18,302","18,302"
...AIAN,"12,163","11,658","11,207","10,976","10,718","10,529","10,320","10,130","9,851","9,532","9,445","9,445"
...Asian,"5,075","4,834","4,621","4,481","4,323","4,197","4,080","3,980","3,849","3,718","3,678","3,678"
...NHPI,"2,367","2,289","2,226","2,213","2,211","2,207","2,202","2,188","2,153","2,107","2,091","2,091"
..Two or More Races,"11,480","10,820","10,211","9,638","9,028","8,491","8,009","7,570","7,138","6,679","6,590","6,590"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"989,013","966,773","943,469","921,329","899,392","878,949","857,730","835,768","811,006","782,480","775,365","775,337"
...Black,"31,171","29,589","28,158","27,060","25,907","24,898","23,942","23,223","22,567","21,790","21,582","21,582"
