table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"1,261,050","1,252,742","1,242,942","1,235,738","1,228,555","1,224,323","1,220,846","1,218,590","1,215,074","1,211,441","1,209,841","1,209,676"
..Black,"99,311","97,759","94,870","93,607","91,436","90,706","89,537","88,818","87,803","86,966","86,704","86,680"
..AIAN,"26,617","26,221","25,858","25,617","25,334","25,086","24,754","24,445","24,168","23,891","23,812","23,808"
..Asian,"37,935","36,611","35,332","34,347","33,678","32,755","31,813","30,547","29,186","28,154","27,850","27,847"
..NHPI,"2,356","2,267","2,156","2,099","2,027","1,955","1,935","1,879","1,827","1,724","1,682","1,682"
.NOT HISPANIC,"1,260,116","1,254,035","1,245,418","1,240,875","1,235,258","1,233,812","1,231,951","1,231,713","1,229,952","1,228,913","1,227,826","1,227,655"
..One Race,"1,236,773","1,231,461","1,223,461","1,219,400","1,214,108","1,213,098","1,211,770","1,212,016","1,210,838","1,210,221","1,209,298","1,209,127"
...White,"1,108,638","1,105,234","1,100,555","1,097,897","1,094,750","1,094,726","1,094,929","1,096,612","1,097,077","1,097,824","1,097,294","1,097,153"
...Black,"83,882","83,172","81,048","80,425","78,830","78,654","77,991","77,771","77,349","77,007","76,887","76,863"
...AIAN,"12,086","11,972","11,853","11,835","11,784","11,728","11,615","11,506","11,455","11,345","11,314","11,311"
...Asian,"31,300","30,224","29,227","28,478","27,986","27,261","26,515","25,431","24,278","23,433","23,193","23,190"
...NHPI,867,859,778,765,758,729,720,696,679,612,610,610
..Two or More Races,"23,343","22,574","21,957","21,475","21,150","20,714","20,181","19,697","19,114","18,692","18,528","18,528"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,130,075","1,125,927","1,120,665","1,117,558","1,114,115","1,113,670","1,113,359","1,114,571","1,114,491","1,114,834","1,114,188","1,114,047"
...Black,"93,804","92,597","90,089","89,112","87,286","86,816","85,836","85,297","84,495","83,879","83,646","83,622"
...AIAN,"22,390","22,150","21,948","21,904","21,846","21,772","21,568","21,395","21,263","21,124","21,069","21,066"
...Asian,"36,641","35,377","34,182","33,283","32,683","31,821","30,922","29,701","28,372","27,389","27,086","27,083"
...NHPI,"1,843","1,799","1,698","1,669","1,625","1,576","1,554","1,519","1,487","1,389","1,352","1,352"
.HISPANIC,"139,707","135,073","130,048","125,509","121,252","117,077","113,625","109,886","106,135","101,838","100,844","100,819"
..One Race,"137,177","132,657","127,774","123,368","119,235","115,172","111,804","108,151","104,481","100,271","99,292","99,267"
...White,"128,748","124,688","120,275","116,296","112,667","108,978","105,889","102,489","99,125","95,223","94,282","94,258"
...Black,"4,435","4,143","3,832","3,596","3,319","3,107","2,946","2,808","2,636","2,450","2,430","2,430"
...AIAN,"2,882","2,767","2,671","2,545","2,388","2,265","2,174","2,084","1,978","1,881","1,866","1,865"
...Asian,807,768,721,667,612,578,558,534,512,489,488,488
...NHPI,305,291,275,264,249,244,237,236,230,228,226,226
..Two or More Races,"2,530","2,416","2,274","2,141","2,017","1,905","1,821","1,735","1,654","1,567","1,552","1,552"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"130,975","126,815","122,277","118,180","114,440","110,653","107,487","104,019","100,583","96,607","95,653","95,629"
...Black,"5,507","5,162","4,781","4,495","4,150","3,890","3,701","3,521","3,308","3,087","3,058","3,058"
...AIAN,"4,227","4,071","3,910","3,713","3,488","3,314","3,186","3,050","2,905","2,767","2,743","2,742"
...Asian,"1,294","1,234","1,150","1,064",995,934,891,846,814,765,764,764
...NHPI,513,468,458,430,402,379,381,360,340,335,330,330
FEMALE,"1,418,924","1,408,267","1,400,120","1,389,316","1,385,261","1,379,876","1,376,379","1,370,999","1,365,369","1,362,059","1,360,141","1,359,944"
