Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2011,Florida,2075645,132403,29984,17855,6015,5701813,1609984,62443,308414,16673,2020998,130374,34103,17343,6530,5480704,1490689,59732,268625,15941
2012,Florida,2131636,138316,31278,18766,6316,5728056,1642915,63436,320080,17336,2073892,135955,35329,18165,6879,5508093,1518291,60822,278542,16561
2013,Florida,2195874,144070,32390,19537,6573,5749806,1667516,64016,332161,17834,2136663,141898,36653,18915,7135,5531935,1540899,61474,288894,17082
2014,Florida,2261287,150420,33740,20313,6900,5791821,1695594,65042,345036,18334,2199690,147922,37779,19711,7382,5573427,1565732,62362,300043,17632
2010,Georgia,340311,44046,17045,5773,3021,2824340,1605426,34202,187370,6121,402118,44067,21054,6109,3649,2729068,1411243,31234,175692,5976
2011,Georgia,350102,46419,17335,6154,3133,2829055,1626788,34816,195482,6330,410041,46108,21268,6529,3765,2742932,1436947,31931,183374,6183
2012,Georgia,359388,48347,17741,6593,3187,2843408,1649917,35564,204434,6580,416012,47915,21502,6827,3836,2759412,1457704,32737,191537,6403
2013,Georgia,366775,49955,18003,6822,3238,2848594,1672876,36124,213039,6812,419786,49260,21563,6970,3898,2763633,1475339,33281,199418,6623
2014,Georgia,376676,51817,18407,7044,3344,2857202,1701653,36726,222367,7051,427516,51086,21801,7115,4067,2772611,1497713,33794,207827,6911
2010,Hawaii,38585,3157,6095,30088,23983,236759,14402,11615,379864,154322,40380,3356,6251,29133,23734,263342,20445,12103,346863,156831
2011,Hawaii,40549,3385,6247,30950,24717,238127,15926,11655,380574,155267,43140,3588,6414,29983,24547,266709,22340,12123,346726,157942
2012,Hawaii,42331,3468,6349,31676,25379,239291,16824,11619,380588,155808,46240,3858,6633,30696,25270,272197,24314,12228,346263,158552
2013,Hawaii,44206,3579,6560,32261,25789,241264,17796,11592,382233,156502,49023,4048,6794,31344,25834,277131,25978,12241,347384,159305
2014,Hawaii,45614,3606,6643,32561,26016,242585,18581,11678,384215,157328,51072,4167,6889,31777,26198,279113,27421,12364,348774,160146
2010,Idaho,78861,1547,5958,1292,532,674545,6220,14903,15161,2154,85449,1641,6338,1355,568,670485,7849,14684,12981,2285
2011,Idaho,80955,1606,6290,1331,527,677768,6623,15068,15632,2231,87459,1693,6591,1384,568,674184,8308,14906,13599,2359
2012,Idaho,82934,1663,6619,1391,548,681688,6981,15218,16269,2319,89021,1799,6778,1416,576,676676,8604,15097,14213,2423
2013,Idaho,85326,1751,6815,1447,589,686450,7452,15489,16895,2424,91366,1902,7033,1479,600,682075,9179,15426,14797,2554
2014,Idaho,87928,1854,7024,1507,603,693328,7810,15788,17585,2577,93890,1966,7225,1544,637,689493,9648,15767,15564,2743
2010,Illinois,915313,42482,35413,11674,2910,4250760,1023233,31662,340560,5038,977545,41008,38824,11846,3140,4082190,900961,29857,318891,5053
2011,Illinois,931816,43174,35687,11875,2967,4235218,1022349,31794,350789,5105,992399,41942,39249,12074,3205,4070495,900045,29301,328096,5054
2012,Illinois,947735,43902,35995,12089,3020,4217733,1021643,32121,361706,5304,1004995,42776,39505,12381,3257,4056877,900955,29592,338234,5207
2013,Illinois,962274,44862,36437,12353,3101,4199058,1021375,32160,373492,5479,1017168,43707,39886,12587,3307,4044749,901783,29822,349219,5452
2014,Illinois,975737,45868,36952,12682,3174,4173014,1019166,32268,383872,5559,1028223,44705,40410,12874,3375,4021210,900768,29669,358149,5528
2010,Indiana,169093,12692,7433,2319,1069,2740975,334170,21313,64847,2718,188299,12439,8445,2316,1197,2644730,308120,20264,61166,2534
2011,Indiana,174381,13098,7640,2422,1113,2742071,337991,21641,68023,2797,192335,12826,8636,2434,1239,2647763,312336,20528,64741,2639
2012,Indiana,178741,13341,7808,2472,1166,2741476,341606,21935,71152,2899,196404,13128,8836,2531,1287,2649039,316244,20826,68266,2702
2013,Indiana,183998,13776,8002,2606,1207,2744352,346218,22308,75093,3016,201077,13616,9140,2652,1354,2653212,321443,21159,72439,2821
2014,Indiana,188678,14318,8277,2707,1232,2745679,350005,22577,78518,3094,205364,14148,9432,2732,1389,2655993,325454,21449,76084,2887
2010,Iowa,66922,2985,3677,918,425,1392111,52476,10071,32296,1634,74787,3198,4027,952,472,1350150,57812,9892,32031,1698
2011,Iowa,69136,3150,3911,1002,424,1391667,54153,10197,34029,1738,77201,3362,4271,1017,489,1353602,59771,10056,34076,1800
2012,Iowa,71624,3311,4161,1075,438,1392036,55769,10296,35869,1790,79195,3553,4567,1087,485,1353147,61542,10224,36179,1838
2013,Iowa,74095,3503,4381,1130,469,1392743,58301,10498,37795,1867,81642,3736,4726,1137,515,1355434,64215,10437,38296,1936
2014,Iowa,76226,3693,4537,1177,487,1393319,60470,10634,39704,1974,83883,3916,4874,1193,524,1357549,66754,10601,40209,2059
2010,Kansas,133185,7346,7416,1849,625,1164115,95108,25457,42655,2040,145473,7258,8065,1894,708,1130164,98478,24362,39841,2120
2011,Kansas,136575,7539,7628,1892,636,1163439,96400,25468,44146,2037,148553,7479,8291,1949,706,1130797,99604,24454,41228,2140
2012,Kansas,139902,7848,7830,1986,640,1163237,97742,25539,45678,2101,152095,7695,8484,2010,712,1133946,101787,24608,42810,2185
2013,Kansas,142617,7973,8033,2051,668,1161131,98526,25672,47182,2190,155061,7879,8719,2075,735,1135242,103295,24835,44445,2341
2014,Kansas,145351,8201,8262,2127,696,1159829,99488,25861,48716,2262,157912,8152,8982,2164,777,1134358,104689,25042,46215,2392
2010,Kentucky,52919,4950,2553,1056,602,1947213,188698,14369,32389,2133,66716,5774,3249,1181,848,1868211,183716,13909,29020,2171
2011,Kentucky,54696,5164,2641,1136,619,1951549,192026,14583,33871,2217,67938,5890,3272,1233,842,1873156,187013,14078,30622,2233
2012,Kentucky,56789,5377,2698,1190,644,1951513,194625,14712,35372,2314,69549,6059,3311,1288,829,1875527,190271,14095,32106,2323
