Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2012,Oregon,206549,7123,18107,5134,1709,1597545,44805,46930,104269,12787,223763,7708,20042,5234,1912,1542914,50327,44990,91292,12574
2013,Oregon,211776,7462,18539,5363,1780,1603136,45773,47321,108059,13112,228468,7970,20493,5473,1972,1548646,51411,45397,94440,12912
2014,Oregon,217689,7826,19068,5586,1880,1612258,47151,47989,112615,13623,234142,8300,20944,5690,2045,1559161,53097,45955,98712,13472
2010,Pennsylvania,286017,63012,16982,5816,3001,5258030,752663,32594,207025,4557,302344,61141,17813,6274,2971,4998435,686865,29811,193236,4398
2011,Pennsylvania,297566,66513,17611,6219,3138,5243058,759514,33016,215194,4741,314255,64674,18543,6610,3106,4991531,694218,30274,200316,4548
2012,Pennsylvania,308620,69963,18258,6580,3265,5225140,764723,33362,223294,4930,326472,68311,19273,6950,3218,4981479,701895,30707,207771,4715
2013,Pennsylvania,317742,72693,18995,6856,3393,5202368,769133,33679,231468,5110,336234,70970,19860,7157,3320,4969391,708637,31022,215414,4874
2014,Pennsylvania,328457,75152,19526,7123,3519,5179199,772787,33842,239218,5272,346922,73536,20440,7404,3409,4953295,713604,31261,222509,5036
2010,Rhode Island,53128,11846,3388,1019,651,428835,34095,5651,19096,778,52335,11025,3260,1003,628,396963,33537,5193,17106,767
2011,Rhode Island,54348,12322,3519,1051,672,424641,34563,5661,19762,810,54045,11506,3346,1055,665,393823,34347,5236,17747,777
2012,Rhode Island,55718,12782,3676,1089,703,422125,34921,5654,20447,814,55671,11922,3570,1100,689,391476,34419,5218,18305,776
2013,Rhode Island,57003,13307,3747,1117,715,419357,35402,5704,21018,834,57312,12419,3614,1108,723,389322,34880,5193,18823,786
2014,Rhode Island,58611,13866,3843,1132,729,416749,35946,5725,21764,853,59088,12886,3650,1150,743,387234,35464,5197,19525,797
2010,South Carolina,90075,11751,4680,1731,962,1547499,701439,19179,39496,2383,113522,12682,6387,1907,1307,1480895,619585,17989,35103,2464
2011,South Carolina,92755,12172,4869,1820,950,1558095,704943,19413,41275,2488,115218,13136,6596,1991,1303,1493221,623003,18347,36845,2550
2012,South Carolina,96073,12743,5046,1940,992,1573106,711013,19783,43257,2596,117182,13578,6525,2091,1307,1509369,627726,18701,38573,2599
2013,South Carolina,99273,13260,5148,2036,1012,1588916,717217,20210,45280,2738,119135,14120,6630,2181,1319,1523421,633189,19149,40249,2801
2014,South Carolina,102728,13838,5254,2099,1030,1608585,723873,20606,47593,2855,121956,14566,6741,2236,1380,1542424,639028,19595,42276,2938
2010,South Dakota,8362,398,2061,183,130,353267,6167,40174,5226,377,9859,523,2281,161,169,351383,8261,38732,4910,415
2011,South Dakota,8993,415,2283,197,134,354402,6622,40495,5591,410,10663,542,2576,188,163,353830,9117,39096,5369,432
2012,South Dakota,9919,471,2643,229,135,355888,7819,40796,6051,425,11735,611,2862,216,170,356168,10556,39410,5864,462
2013,South Dakota,10885,543,2768,246,152,358792,8497,41167,6524,437,12642,701,3000,226,180,359278,11541,39880,6414,464
2014,South Dakota,11285,571,2810,256,146,361567,8391,41373,6770,455,13229,752,3025,224,189,362588,11869,40065,6683,487
2010,Tennessee,117884,10191,6504,2162,1425,2506598,581682,24497,58892,3130,141440,10729,8157,2272,1854,2385594,517819,23642,53062,3018
2011,Tennessee,121911,10836,6710,2367,1465,2515239,587923,24924,61583,3251,144398,11384,8394,2437,1857,2394614,524419,24001,55682,3146
2012,Tennessee,127637,11469,6993,2524,1516,2526271,595887,25314,64394,3391,148861,11926,8775,2585,1892,2408678,533561,24554,58451,3356
2013,Tennessee,131632,11925,7213,2630,1561,2537592,602042,25688,67097,3500,151189,12277,8965,2713,1947,2417941,539425,24982,60700,3473
2014,Tennessee,136439,12375,7440,2737,1585,2550701,608339,26142,69845,3643,154829,12772,9325,2790,1934,2431816,545791,25430,63115,3651
2010,Texas,4524011,109467,106368,34192,9821,5922999,1574245,91496,553249,18082,4586038,105873,114341,34265,10516,5789959,1467293,87882,526065,17054
2011,Texas,4633783,114327,108804,35720,10282,5965421,1605648,93649,580542,18893,4692075,110646,117024,35701,10959,5828371,1496650,90023,551955,17937
2012,Texas,4735014,119474,111270,37205,10664,6008286,1642034,95946,608529,19525,4792532,116236,119681,37314,11431,5887490,1535135,92358,579948,18679
2013,Texas,4840107,124569,114555,38784,11057,6042839,1677907,97904,638387,20211,4896822,121362,123134,38924,11825,5922003,1569056,94345,608932,19629
2014,Texas,4946397,129836,118127,40399,11507,6087373,1717132,99868,670419,21042,5003099,126721,126801,40485,12252,5970614,1606878,96457,640148,20461
2010,Utah,161649,5126,9441,2860,1480,1138410,16621,20167,39408,16842,171886,5534,10455,2948,1674,1138791,21013,19533,35652,18314
2011,Utah,166017,5242,9880,2968,1555,1151674,17355,20368,41353,17201,176067,5732,10834,3078,1713,1152685,21730,19758,37334,18738
2012,Utah,169505,5429,10382,3091,1602,1164067,18291,20568,43239,17721,179844,5977,11417,3225,1814,1166701,22770,19947,39098,19270
2013,Utah,174551,5642,10727,3262,1700,1179159,19251,21051,45350,18371,184494,6235,11780,3406,1881,1182655,23762,20281,41191,19922
2014,Utah,178861,5840,10998,3344,1777,1191251,20158,21567,47645,18932,188630,6504,12084,3517,1970,1195817,24640,20715,43306,20554
2010,Vermont,4198,395,303,123,25,304586,4083,3483,5727,210,4161,424,326,103,33,295417,4766,3352,4685,227
2011,Vermont,4356,416,325,134,28,304393,4270,3523,5939,220,4383,468,341,109,31,295118,4996,3366,4924,238
2012,Vermont,4561,449,336,137,29,303627,4427,3522,6178,225,4545,496,343,127,36,294555,5133,3375,5180,250
2013,Vermont,4794,451,350,153,33,303214,4713,3526,6432,233,4820,524,356,135,41,294332,5391,3396,5401,256
2014,Vermont,4941,463,376,154,34,302585,4843,3549,6705,240,4968,539,374,144,44,293716,5570,3430,5651,258
2010,Virginia,265234,31513,14633,7106,2045,2718220,847219,33114,272242,6624,289264,31205,16663,7225,2483,2641803,773085,30607,247047,6374
2011,Virginia,277088,32583,15104,7430,2095,2731273,854360,33601,283443,6874,301026,32255,17116,7574,2575,2657973,780684,31255,256894,6699
2012,Virginia,288295,33799,15533,7819,2194,2742304,862198,34102,294162,7133,312119,33357,17535,7891,2649,2674651,789201,31924,266480,6937
2013,Virginia,299109,35237,16110,8261,2293,2749293,870552,34563,305491,7386,323944,34916,18196,8332,2724,2684709,798013,32653,277371,7237
2014,Virginia,308216,36722,16704,8631,2337,2750557,878256,35007,316342,7580,333159,36282,18686,8592,2790,2687185,805497,33263,287586,7493
2010,Washington,328166,16354,26211,12420,4212,2574539,144330,86715,315726,32568,357627,17235,28355,12344,4253,2537339,161923,82935,277933,32744
2011,Washington,338503,17024,27701,12930,4356,2583848,148765,87322,326580,33434,368091,17831,29847,12863,4390,2555087,168270,83606,288658,33665
2012,Washington,349117,17775,29110,13459,4542,2594980,153931,88065,337917,34306,377324,18604,31286,13313,4551,2565491,173397,84218,299462,34700
2013,Washington,358934,18310,29981,13931,4705,2603103,158533,88796,350474,35350,388493,19355,32194,13822,4732,2580216,179218,84850,311519,36056
2014,Washington,369874,18997,30790,14448,4937,2617102,162527,89693,363916,36569,399982,20210,33210,14387,4884,2598553,184728,86030,324595,37338
2010,West Virginia,9357,921,447,188,93,891620,35619,6296,8530,564,10777,1158,574,251,103,859955,40282,6293,7777,558
2011,West Virginia,9953,977,476,201,103,890301,36156,6417,8948,594,11361,1200,594,262,98,859474,41010,6409,8086,586
2012,West Virginia,10483,1030,526,222,112,889317,36705,6491,9365,590,11882,1253,619,274,104,859388,41646,6519,8348,597
2013,West Virginia,10933,1070,555,236,116,886291,37379,6594,9765,613,12326,1298,649,279,110,857109,42436,6615,8646,618
2014,West Virginia,11329,1091,579,265,116,883204,37839,6656,10112,622,12694,1387,655,288,107,854909,43004,6681,8909,632
2010,Wisconsin,145586,10608,8546,2122,635,2430627,199094,38476,76755,2065,160987,10585,9198,2117,734,2382481,191553,37217,73249,2217
2011,Wisconsin,149914,10857,9000,2175,663,2430469,201781,38868,79615,2139,164800,10803,9567,2196,766,2384164,193909,37639,76097,2281
2012,Wisconsin,153977,11221,9430,2239,682,2429464,204031,39206,82497,2231,168272,11127,9988,2265,779,2384737,195843,37965,78820,2353
2013,Wisconsin,158031,11566,9729,2308,700,2429756,205529,39529,85539,2312,171830,11497,10276,2331,803,2386497,197822,38492,81615,2411
2014,Wisconsin,161992,11918,9993,2389,725,2428377,207165,39897,88438,2381,175058,11880,10513,2421,842,2387238,199424,38892,84274,2481
2010,Wyoming,22096,629,1807,323,114,242413,2778,7975,3465,447,24466,625,1988,285,149,250078,3754,8021,2893,449
2011,Wyoming,22596,624,1877,351,115,242979,3027,8029,3640,457,24982,639,2067,306,151,250646,4213,8168,3066,473
2012,Wyoming,24011,702,2011,359,117,244191,4286,8153,3833,487,26447,742,2181,321,167,252144,5821,8319,3336,485
2013,Wyoming,24719,754,2047,390,131,245545,5230,8305,4062,510,26982,806,2226,345,171,253653,6523,8492,3548,518
2014,Wyoming,24900,768,2126,389,138,246165,4548,8378,4214,523,27268,844,2287,373,177,254192,6200,8567,3662,530
