table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Idaho: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Asian,"13,047","12,570","12,077","11,461","10,843","10,212","9,680","9,173","8,843","8,398","8,266","8,266"
..NHPI,"2,345","2,279","2,170","2,048","1,929","1,848","1,796","1,688","1,624","1,532","1,530","1,530"
.NOT HISPANIC,"688,419","682,990","673,083","659,797","645,321","632,483","620,902","612,315","604,969","596,309","594,098","594,098"
..One Race,"676,908","671,964","662,498","649,846","635,847","623,463","612,261","604,077","597,050","588,841","586,720","586,720"
...White,"651,826","647,545","638,863","627,256","614,362","603,117","592,804","585,490","579,072","571,734","569,755","569,755"
...Black,"6,413","6,186","5,821","5,386","4,859","4,412","4,034","3,685","3,397","3,044","3,029","3,029"
...AIAN,"9,846","9,639","9,466","9,200","9,011","8,714","8,522","8,365","8,196","7,950","7,899","7,899"
...Asian,"7,865","7,651","7,440","7,142","6,823","6,436","6,131","5,811","5,667","5,434","5,367","5,367"
...NHPI,958,943,908,862,792,784,770,726,718,679,670,670
..Two or More Races,"11,511","11,026","10,585","9,951","9,474","9,020","8,641","8,238","7,919","7,468","7,378","7,378"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"662,832","658,078","648,988","636,765","623,416","611,737","601,061","593,362","586,635","578,852","576,798","576,798"
...Black,"8,562","8,183","7,693","7,113","6,456","5,907","5,425","4,958","4,602","4,156","4,113","4,113"
...AIAN,"15,080","14,743","14,465","13,983","13,655","13,214","12,920","12,637","12,389","11,985","11,892","11,892"
...Asian,"12,124","11,703","11,272","10,694","10,160","9,576","9,088","8,605","8,288","7,874","7,767","7,767"
