State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
California,2000,"8,188,024","1,169,051","190,941","1,974,210","95,991","5,388,528","102,752","150,205","76,659","22,746","8,387,238","1,217,430","202,817","2,116,263","97,300","5,120,627","108,186","142,921","80,198","22,765"
Colorado,2005,"1,710,878","103,615","28,663","67,191","4,832","453,836","10,958","14,699","4,215","1,578","1,715,812","95,246","28,136","73,213","4,550","407,341","11,327","13,977","4,263","1,393"
Colorado,2004,"1,695,228","102,095","28,426","65,159","4,739","438,707","10,411","14,656","3,915","1,475","1,701,893","94,258","28,037","71,239","4,467","395,012","10,779","13,934","4,033","1,328"
Colorado,2003,"1,685,869","100,457","28,372","63,023","4,670","424,316","9,926","14,621","3,661","1,401","1,691,315","92,735","27,893","69,287","4,391","382,411","10,301","13,946","3,775","1,270"
Colorado,2002,"1,679,130","98,879","28,176","60,863","4,578","408,895","9,388","14,541","3,410","1,328","1,684,544","91,387","27,765","67,167","4,301","368,694","9,729","13,867","3,523","1,200"
Colorado,2001,"1,665,066","97,080","27,950","58,399","4,451","389,845","8,661","14,330","3,208","1,248","1,671,171","89,574","27,509","64,680","4,209","352,795","9,008","13,752","3,309","1,136"
Colorado,2000,"1,638,927","94,393","27,395","55,642","4,300","370,618","7,914","14,093","2,980","1,159","1,644,620","86,874","26,986","61,786","4,061","336,171","8,268","13,553","3,097","1,068"
Connecticut,2005,"1,297,201","163,290","10,320","60,528","1,784","172,545","18,991","3,016","1,228",796,"1,382,971","180,377","10,588","61,851","1,794","169,325","19,221","2,755","1,321",800
Connecticut,2004,"1,300,097","161,205","10,301","58,014","1,726","167,277","18,708","2,919","1,201",758,"1,386,916","178,463","10,530","59,318","1,738","164,785","19,036","2,698","1,292",768
Connecticut,2003,"1,301,876","159,548","10,245","55,525","1,681","161,838","18,483","2,846","1,153",748,"1,390,283","176,829","10,505","56,725","1,684","159,670","18,797","2,605","1,252",751
Connecticut,2002,"1,300,104","157,207","10,170","52,417","1,628","155,443","18,112","2,764","1,101",723,"1,387,787","174,146","10,425","53,582","1,623","153,752","18,508","2,499","1,184",714
Connecticut,2001,"1,298,575","154,661","10,067","49,182","1,568","148,931","17,772","2,652","1,065",688,"1,386,740","171,374","10,361","50,479","1,572","148,072","18,303","2,412","1,123",694
Connecticut,2000,"1,297,870","152,441","10,032","46,886","1,503","142,913","17,602","2,580","1,036",666,"1,387,003","169,143","10,268","48,146","1,521","142,750","18,189","2,325","1,113",666
District of Columbia,2005,"86,927","141,673","1,819","8,663",316,"21,054","4,164",508,309,62,"89,082","169,687","2,279","10,562",361,"17,745","4,008",433,248,53
District of Columbia,2004,"84,670","144,897","1,832","8,452",308,"21,461","3,897",506,270,59,"87,324","173,741","2,282","10,524",363,"18,250","3,795",437,242,47
District of Columbia,2003,"83,096","148,348","1,824","8,231",293,"21,411","3,588",501,249,62,"85,414","177,996","2,319","10,411",367,"18,368","3,507",453,207,45
District of Columbia,2002,"83,395","151,300","1,863","8,179",295,"21,106","3,506",493,257,57,"85,467","182,029","2,370","10,324",357,"18,182","3,440",453,213,51
District of Columbia,2001,"83,247","153,435","1,830","8,042",289,"20,719","3,691",501,259,73,"85,052","185,417","2,339","10,131",358,"18,066","3,681",466,225,48
