State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Missouri,2002,"2,347,274","314,727","27,348","39,355","3,189","66,051","3,472","1,977",794,303,"2,455,863","354,539","28,035","41,730","3,117","58,656","3,585","1,952",752,299
Missouri,2001,"2,334,732","310,462","27,293","37,715","3,100","62,574","3,330","1,912",751,277,"2,447,456","350,684","28,011","40,166","3,028","55,411","3,459","1,910",717,283
Missouri,2000,"2,322,230","306,849","27,201","36,309","3,039","58,824","3,212","1,846",707,275,"2,439,104","346,851","27,900","38,798","2,978","52,184","3,347","1,854",686,275
Montana,2005,"421,803","2,970","33,348","3,217",487,"10,584",321,"1,041",119,22,"423,163","2,194","34,365","4,145",480,"10,151",325,"1,112",156,40
Montana,2004,"418,266","2,910","33,092","3,176",482,"10,031",303,"1,073",122,23,"419,826","2,153","33,851","4,078",486,"9,750",301,"1,135",150,36
Montana,2003,"414,502","2,808","32,621","3,085",487,"9,603",292,"1,086",122,18,"416,691","2,035","33,376","4,001",469,"9,260",272,"1,131",144,33
Montana,2002,"411,469","2,726","32,238","2,982",482,"9,100",255,"1,112",129,21,"414,225","1,957","32,936","3,875",451,"8,860",260,"1,146",139,36
Montana,2001,"410,345","2,604","31,847","2,968",468,"8,587",232,"1,118",117,24,"412,926","1,873","32,468","3,848",454,"8,539",234,"1,177",133,31
Montana,2000,"409,849","2,515","31,686","2,950",470,"8,070",209,"1,152",121,26,"412,634","1,782","32,110","3,789",460,"7,964",215,"1,182",132,36
Nebraska,2005,"745,045","40,033","9,665","15,419",732,"64,454","1,880","1,630",456,265,"773,036","41,214","10,203","16,246",723,"54,107","1,669","1,536",449,189
Nebraska,2004,"742,463","39,504","9,512","14,990",729,"62,081","1,778","1,595",436,260,"771,004","40,568","10,019","15,732",708,"52,196","1,559","1,513",419,187
Nebraska,2003,"741,207","38,977","9,369","14,425",726,"59,263","1,649","1,564",404,244,"769,995","40,043","9,841","15,190",691,"49,877","1,449","1,476",397,177
Nebraska,2002,"739,847","38,154","9,306","13,715",698,"56,138","1,497","1,509",381,225,"768,988","39,342","9,777","14,505",668,"47,067","1,327","1,419",368,162
Nebraska,2001,"740,179","37,714","9,190","12,977",680,"52,685","1,349","1,457",348,214,"769,772","38,745","9,645","13,876",651,"44,110","1,172","1,365",338,150
Nebraska,2000,"740,796","36,957","9,181","12,620",671,"49,544","1,192","1,419",324,197,"771,555","38,053","9,602","13,573",648,"41,245","1,029","1,334",327,142
Nevada,2005,"757,577","95,251","19,579","74,004","9,784","286,463","8,417","6,465","3,555","1,463","738,105","95,215","20,239","84,470","9,529","252,263","8,282","5,748","3,801","1,397"
Nevada,2004,"744,571","90,406","19,016","68,786","9,226","268,775","7,552","6,109","3,334","1,362","725,547","89,654","19,675","78,826","9,042","236,254","7,412","5,437","3,548","1,306"
Nevada,2003,"726,449","85,561","18,421","63,717","8,698","251,266","6,704","5,778","3,084","1,272","707,573","84,325","19,086","73,434","8,546","220,712","6,582","5,118","3,293","1,245"
Nevada,2002,"712,644","81,733","18,055","59,384","8,247","236,265","6,035","5,495","2,886","1,208","693,569","80,652","18,640","68,769","8,109","207,222","5,888","4,835","3,081","1,175"
Nevada,2001,"700,212","77,885","17,638","54,922","7,771","220,502","5,295","5,178","2,699","1,158","681,717","76,400","18,160","63,979","7,679","192,848","5,161","4,576","2,890","1,099"
Nevada,2000,"686,853","73,833","17,131","50,690","7,305","203,999","4,552","4,874","2,492","1,059","668,319","72,036","17,618","59,477","7,233","177,697","4,407","4,293","2,678","1,014"
New Hampshire,2005,"611,360","7,894","3,935","13,051",381,"13,826","1,210",296,172,46,"632,174","6,652","3,737","13,298",437,"12,875","1,101",270,167,37
New Hampshire,2004,"607,400","7,623","3,898","12,372",356,"13,073","1,127",278,158,43,"628,488","6,390","3,714","12,663",422,"12,188","1,040",256,139,41
New Hampshire,2003,"603,512","7,358","3,866","11,704",338,"12,345","1,040",277,140,41,"623,666","6,160","3,710","12,089",408,"11,583",971,260,137,36
New Hampshire,2002,"598,510","6,987","3,826","10,992",321,"11,564",992,261,136,36,"619,158","5,784","3,648","11,400",396,"10,905",909,245,135,28
New Hampshire,2001,"592,391","6,606","3,785","10,259",308,"10,526",907,240,121,36,"613,058","5,501","3,576","10,646",370,"10,045",841,236,110,33
New Hampshire,2000,"585,066","6,199","3,745","9,326",291,"9,641",862,242,115,38,"606,393","5,140","3,503","9,788",351,"9,230",768,222,121,33
New Jersey,2005,"2,704,902","564,688","18,353","327,594","4,157","606,697","63,437","10,276","5,279","2,516","2,876,675","632,737","19,571","333,265","4,191","583,983","63,072","9,200","5,321","2,334"
New Jersey,2004,"2,715,851","561,477","18,279","315,962","4,072","591,092","61,601","10,043","5,123","2,438","2,892,042","630,733","19,519","321,363","4,108","569,533","61,588","9,018","5,159","2,288"
New Jersey,2003,"2,725,061","557,966","18,136","303,395","3,964","573,152","59,796","9,792","4,938","2,352","2,904,975","627,209","19,359","308,613","3,986","553,303","59,992","8,785","4,994","2,230"
New Jersey,2002,"2,729,784","553,670","18,015","289,841","3,855","552,466","57,828","9,501","4,757","2,279","2,913,267","622,480","19,201","294,874","3,863","534,433","58,186","8,526","4,818","2,121"
New Jersey,2001,"2,732,638","548,521","17,814","275,271","3,716","532,106","55,957","9,231","4,618","2,193","2,918,532","617,424","18,962","279,909","3,732","516,163","56,515","8,264","4,648","2,062"
New Jersey,2000,"2,735,900","543,209","17,537","260,597","3,584","511,193","54,050","8,912","4,434","2,085","2,925,619","611,622","18,766","265,230","3,614","497,214","54,795","7,999","4,468","1,990"
New Mexico,2005,"415,373","22,141","91,719","12,797","1,075","400,044","6,316","10,596","2,196",820,"435,276","19,388","99,155","14,735","1,051","404,880","7,047","10,463","2,232",830
New Mexico,2004,"411,971","21,588","90,628","12,354","1,056","393,602","5,870","10,496","2,101",804,"431,400","18,767","97,905","14,234","1,028","398,358","6,571","10,406","2,170",805
New Mexico,2003,"409,097","21,024","89,493","11,909","1,029","386,903","5,425","10,419","2,013",757,"428,638","18,245","96,372","13,788","1,015","392,265","6,092","10,362","2,068",785
New Mexico,2002,"406,715","20,444","87,928","11,448","1,009","380,476","4,999","10,402","1,938",726,"425,930","17,801","94,489","13,345",989,"385,942","5,637","10,345","2,007",745
New Mexico,2001,"405,451","19,758","86,401","11,008",976,"373,320","4,533","10,374","1,846",697,"424,044","17,239","92,745","12,866",957,"379,480","5,154","10,320","1,930",707
New Mexico,2000,"409,065","19,321","84,340","10,873",979,"367,296","4,123","10,410","1,785",672,"426,645","16,920","90,414","12,758",964,"374,197","4,739","10,350","1,870",673
New York,2005,"5,766,049","1,389,624","60,915","671,541","11,020","1,281,977","242,913","31,480","13,652","7,103","6,108,365","1,614,677","67,134","683,344","12,074","1,281,382","268,578","30,640","14,453","7,235"
New York,2004,"5,791,658","1,389,549","60,809","657,752","10,849","1,267,385","244,299","31,594","13,610","7,065","6,146,207","1,620,954","67,052","668,411","11,879","1,271,144","270,649","30,821","14,471","7,282"
New York,2003,"5,797,226","1,386,569","60,695","640,576","10,687","1,245,244","244,236","31,510","13,475","7,020","6,159,437","1,621,374","67,041","650,068","11,707","1,252,674","271,149","30,804","14,414","7,194"
New York,2002,"5,802,379","1,383,258","60,509","622,510","10,479","1,219,810","243,008","31,314","13,306","6,938","6,173,558","1,620,471","66,764","631,082","11,451","1,232,221","270,817","30,696","14,289","7,151"
New York,2001,"5,806,936","1,379,291","60,316","604,657","10,278","1,192,991","241,396","31,043","13,153","6,856","6,185,872","1,618,008","66,576","611,502","11,224","1,209,588","269,530","30,543","14,197","7,129"
New York,2000,"5,805,455","1,373,299","60,020","586,364","10,097","1,165,641","238,333","30,787","12,908","6,706","6,192,653","1,614,087","66,379","591,320","10,963","1,187,514","267,184","30,390","14,048","7,019"
North Carolina,2005,"2,943,213","895,588","64,601","85,667","4,171","296,479","17,497","6,080","2,465","1,418","3,053,241","1,007,277","68,146","88,793","3,900","215,096","14,745","4,222","2,227","1,045"
North Carolina,2004,"2,906,364","881,684","63,788","81,411","4,049","279,101","16,882","5,863","2,350","1,371","3,018,778","991,415","67,318","84,719","3,792","199,388","14,164","4,016","2,114",994
North Carolina,2003,"2,879,940","869,439","62,940","77,324","3,941","261,862","16,330","5,604","2,245","1,302","2,993,789","977,870","66,424","80,866","3,690","184,190","13,671","3,819","1,988",942
North Carolina,2002,"2,855,343","857,745","61,999","73,159","3,791","244,853","15,706","5,322","2,120","1,242","2,973,852","965,211","65,640","76,834","3,567","169,261","13,176","3,617","1,867",904
North Carolina,2001,"2,829,674","844,331","61,362","69,412","3,669","227,036","15,128","5,042","2,013","1,175","2,952,226","952,178","64,942","73,161","3,456","154,078","12,731","3,425","1,749",853
North Carolina,2000,"2,802,929","830,705","60,576","65,337","3,530","210,177","14,629","4,794","1,923","1,124","2,927,179","938,248","64,238","68,922","3,344","138,845","12,306","3,209","1,635",805
North Dakota,2005,"291,009","3,603","17,727","2,766",204,"5,072",208,292,46,11,"292,909","2,629","18,690","2,797",191,"4,318",165,277,82,6
North Dakota,2004,"291,645","3,439","17,456","2,713",197,"4,887",186,308,50,3,"293,242","2,504","18,367","2,735",185,"4,156",156,292,70,3
North Dakota,2003,"290,757","3,259","17,184","2,543",197,"4,514",178,308,46,10,"292,590","2,366","18,049","2,596",185,"3,906",148,302,70,2
North Dakota,2002,"291,658","3,216","16,988","2,465",187,"4,216",175,322,44,7,"293,418","2,323","17,793","2,543",179,"3,702",128,316,64,8
North Dakota,2001,"293,708","3,123","16,726","2,365",185,"3,892",161,319,45,4,"295,428","2,255","17,473","2,514",176,"3,436",121,332,67,1
North Dakota,2000,"296,448","3,122","16,737","2,321",186,"3,653",163,370,52,10,"298,177","2,233","17,307","2,485",182,"3,266",123,368,78,7
Ohio,2005,"4,713,101","678,405","33,433","93,609","3,308","123,625","10,982","3,254","1,427",640,"4,941,118","749,730","35,669","96,568","3,369","111,765","11,944","2,948","1,484",504
Ohio,2004,"4,712,661","672,478","33,486","90,595","3,245","119,740","10,855","3,190","1,352",632,"4,948,097","744,434","35,755","93,549","3,319","108,580","11,851","2,936","1,464",482
Ohio,2003,"4,711,165","666,732","33,548","87,287","3,189","115,431","10,704","3,128","1,324",603,"4,952,751","738,856","35,878","90,754","3,247","104,861","11,681","2,889","1,426",485
Ohio,2002,"4,707,588","660,159","33,584","83,329","3,118","110,853","10,566","3,053","1,280",579,"4,954,992","732,063","35,905","86,874","3,172","101,011","11,545","2,864","1,381",474
Ohio,2001,"4,706,848","652,906","33,656","79,894","3,041","106,437","10,495","2,991","1,237",560,"4,961,015","725,078","36,025","83,800","3,108","97,382","11,424","2,795","1,338",442
Ohio,2000,"4,704,628","646,393","33,649","77,514","3,001","101,668","10,400","2,909","1,212",548,"4,965,707","717,993","36,028","81,230","3,055","93,568","11,329","2,769","1,294",439
Oklahoma,2005,"1,325,504","145,508","190,071","32,205","2,563","117,103","4,267","6,244","1,096",499,"1,374,226","149,150","198,754","33,790","2,290","99,494","4,324","6,020","1,097",395
Oklahoma,2004,"1,320,520","144,058","189,213","31,548","2,529","112,013","4,038","6,221","1,053",486,"1,370,779","147,650","197,815","33,101","2,274","94,666","4,098","6,004","1,050",385
Oklahoma,2003,"1,317,581","142,443","188,596","30,590","2,495","106,878","3,845","6,192",981,438,"1,371,022","146,568","197,028","32,255","2,251","89,999","3,915","5,996","1,003",375
Oklahoma,2002,"1,315,047","141,884","187,893","29,680","2,466","101,594","3,674","6,173",938,440,"1,370,773","145,153","196,225","31,398","2,218","85,500","3,731","6,008",955,353
Oklahoma,2001,"1,312,133","140,278","187,178","28,677","2,418","95,465","3,448","6,177",872,401,"1,369,993","143,861","195,470","30,520","2,191","80,219","3,524","5,988",892,327
Oklahoma,2000,"1,311,824","139,192","186,777","28,022","2,405","89,788","3,267","6,181",823,382,"1,373,510","143,089","195,155","29,921","2,169","75,490","3,337","5,999",841,318
Oregon,2005,"1,496,174","40,746","37,555","72,128","8,259","187,068","4,554","6,778","1,991",961,"1,546,698","37,056","38,932","78,648","7,930","154,301","4,204","5,740","2,004",911
Oregon,2004,"1,482,303","39,829","37,341","69,646","8,120","178,737","4,240","6,583","1,914",918,"1,533,214","36,236","38,691","76,073","7,782","146,958","3,879","5,585","1,915",874
Oregon,2003,"1,476,769","39,342","37,458","67,767","8,009","170,996","3,963","6,386","1,842",902,"1,529,133","35,640","38,918","74,206","7,702","139,924","3,591","5,419","1,852",843
Oregon,2002,"1,466,951","38,556","37,512","65,259","7,849","162,895","3,696","6,175","1,768",867,"1,519,999","34,904","38,860","71,684","7,558","132,808","3,282","5,213","1,760",788
Oregon,2001,"1,453,608","37,478","37,431","62,718","7,676","154,680","3,434","5,964","1,688",837,"1,506,763","33,873","38,777","68,989","7,381","125,734","2,956","5,084","1,680",776
Oregon,2000,"1,443,495","36,459","37,211","60,119","7,479","146,043","3,158","5,823","1,624",791,"1,497,713","32,895","38,675","66,342","7,218","118,067","2,629","4,928","1,610",730
Pennslyvania,2005,"5,021,979","628,018","22,718","148,314","4,032","226,449","32,261","4,521","2,822","1,429","5,333,291","698,441","24,537","151,617","4,051","211,062","33,036","4,547","2,829","1,399"
Pennslyvania,2004,"5,022,511","621,663","22,566","143,283","3,943","215,147","30,099","4,260","2,519","1,322","5,342,302","692,120","24,415","146,973","3,949","200,941","31,099","4,308","2,523","1,258"
Pennslyvania,2003,"5,026,875","614,307","22,438","137,951","3,844","204,342","28,180","4,022","2,219","1,215","5,354,522","684,957","24,306","141,709","3,859","191,159","29,391","4,091","2,220","1,122"
Pennslyvania,2002,"5,024,464","607,439","22,219","131,969","3,758","193,641","27,175","3,804","2,031","1,140","5,361,310","678,199","24,120","135,870","3,746","181,057","28,461","3,903","2,038","1,054"
Pennslyvania,2001,"5,026,146","600,396","22,142","126,468","3,660","183,938","26,765","3,630","1,946","1,070","5,371,797","672,307","24,011","130,249","3,635","172,098","28,145","3,746","1,950","1,003"
Pennslyvania,2000,"5,032,774","595,403","22,039","122,258","3,587","175,606","26,526","3,470","1,877","1,006","5,387,226","667,600","23,886","125,776","3,547","164,826","27,975","3,648","1,877",963
Rhode Island,2005,"418,356","29,949","4,465","15,633",660,"49,187","7,790","1,177",377,423,"453,779","30,109","4,933","16,511",710,"49,004","8,229","1,161",502,421
Rhode Island,2004,"421,831","29,498","4,431","15,458",646,"47,456","7,751","1,121",374,405,"458,291","29,710","4,967","16,246",715,"47,505","8,196","1,145",506,403
Rhode Island,2003,"422,427","28,668","4,423","15,114",645,"45,189","7,667","1,069",365,394,"459,846","29,071","4,944","15,874",684,"45,442","8,090","1,107",495,406
Rhode Island,2002,"422,510","27,862","4,416","14,610",625,"42,538","7,514","1,015",340,371,"460,275","28,243","4,904","15,404",684,"42,993","7,949","1,068",471,382
Rhode Island,2001,"421,007","26,942","4,390","14,078",614,"39,938","7,396",975,339,352,"459,427","27,461","4,840","14,787",667,"40,566","7,802","1,026",451,362
Rhode Island,2000,"420,643","26,191","4,403","13,704",596,"37,406","7,281",936,325,347,"459,166","26,725","4,845","14,410",647,"38,239","7,665",981,449,353
South Carolina,2005,"1,381,876","588,155","13,176","25,898","1,744","73,292","5,761","1,560","1,002",551,"1,433,722","663,581","13,516","28,059","1,633","52,285","5,594","1,052",805,454
South Carolina,2004,"1,364,127","583,028","12,973","24,746","1,706","68,532","5,607","1,480",917,532,"1,415,742","658,060","13,348","26,911","1,609","48,108","5,483","1,002",751,427
South Carolina,2003,"1,348,969","576,941","12,827","23,610","1,653","64,157","5,500","1,426",886,490,"1,401,925","652,160","13,206","25,731","1,567","44,148","5,386",973,703,375
South Carolina,2002,"1,336,494","570,569","12,612","22,413","1,591","59,472","5,423","1,355",802,454,"1,391,593","647,794","13,021","24,571","1,513","40,135","5,322",900,660,366
South Carolina,2001,"1,325,561","565,845","12,485","21,417","1,558","55,130","5,407","1,287",741,411,"1,379,249","642,290","12,879","23,694","1,484","36,331","5,301",855,614,343
South Carolina,2000,"1,316,590","560,783","12,416","20,802","1,528","50,691","5,357","1,220",668,377,"1,370,933","637,421","12,784","23,054","1,433","32,697","5,269",802,532,297
South Dakota,2005,"337,771","5,037","35,122","3,356",246,"7,528",284,884,66,19,"343,640","3,428","36,270","3,619",218,"6,636",293,902,70,19
South Dakota,2004,"336,434","4,808","34,691","3,256",234,"7,086",259,859,54,23,"341,870","3,252","35,882","3,542",227,"6,242",262,890,62,15
South Dakota,2003,"334,581","4,573","34,093","3,152",236,"6,626",228,867,47,27,"340,599","3,090","35,169","3,422",202,"5,696",243,862,65,15
South Dakota,2002,"333,583","4,399","33,580","2,959",220,"6,060",208,846,51,10,"340,006","2,978","34,696","3,272",198,"5,198",204,864,54,12
South Dakota,2001,"333,724","4,227","33,054","2,841",228,"5,578",183,848,36,12,"340,039","2,800","34,132","3,187",192,"4,803",182,857,54,17
South Dakota,2000,"333,397","4,129","32,845","2,760",224,"5,014",170,837,56,24,"340,161","2,646","33,637","3,067",200,"4,270",167,858,67,22
Tennessee,2005,"2,301,399","480,318","18,719","41,678","2,091","97,151","5,247","2,063",997,562,"2,392,825","536,736","18,829","43,844","2,225","70,393","4,722","1,447",924,399
Tennessee,2004,"2,279,182","473,168","18,465","39,681","2,026","90,379","4,952","1,921",936,540,"2,374,966","530,002","18,656","41,846","2,146","64,809","4,475","1,358",857,374
Tennessee,2003,"2,264,851","466,959","18,301","37,541","1,948","84,281","4,708","1,833",862,530,"2,364,540","523,797","18,539","39,848","2,084","59,739","4,242","1,282",811,350
Tennessee,2002,"2,249,744","460,678","18,163","35,605","1,900","78,943","4,509","1,744",834,484,"2,354,525","517,025","18,411","37,824","2,007","55,067","4,058","1,224",765,333
Tennessee,2001,"2,239,337","454,573","18,038","33,868","1,836","73,727","4,356","1,664",781,465,"2,346,649","510,312","18,201","36,119","1,936","50,570","3,929","1,158",694,300
Tennessee,2000,"2,227,186","447,650","17,846","32,588","1,793","68,462","4,208","1,575",750,446,"2,339,391","503,985","18,062","34,960","1,899","46,287","3,794","1,100",655,291
Texas,2005,"5,624,758","1,276,158","77,440","392,425","12,650","3,998,890","58,628","49,317","17,402","7,694","5,798,907","1,369,194","79,530","401,174","12,527","3,810,985","60,179","45,875","17,288","6,970"
Texas,2004,"5,591,924","1,255,737","76,417","376,937","12,320","3,872,354","55,407","48,148","16,731","7,417","5,765,399","1,346,673","78,500","385,316","12,174","3,693,964","57,095","44,911","16,649","6,736"
Texas,2003,"5,566,320","1,237,724","75,353","362,002","12,013","3,743,112","52,420","47,036","16,062","7,088","5,737,318","1,327,564","77,323","370,160","11,867","3,575,933","54,146","44,007","16,005","6,511"
Texas,2002,"5,543,562","1,218,836","74,341","345,808","11,660","3,610,182","49,345","45,858","15,420","6,784","5,713,164","1,307,070","76,272","353,653","11,509","3,455,621","51,144","43,027","15,309","6,215"
Texas,2001,"5,516,818","1,199,724","73,079","328,600","11,261","3,473,362","45,984","44,584","14,642","6,434","5,689,497","1,285,748","74,966","336,202","11,077","3,334,267","48,066","41,985","14,640","5,941"
Texas,2000,"5,487,767","1,177,978","71,585","311,462","10,830","3,343,601","42,861","43,315","13,977","6,128","5,662,896","1,263,652","73,500","319,209","10,689","3,218,379","45,057","40,917","13,952","5,653"
Utah,2005,"1,040,850","14,753","17,452","27,105","11,523","137,381","2,991","3,564","1,212",675,"1,048,980","12,159","17,938","29,858","10,723","119,125","2,796","2,884","1,162",551
Utah,2004,"1,023,713","14,268","17,274","26,270","11,371","131,171","2,743","3,472","1,142",655,"1,031,857","11,805","17,829","28,981","10,592","113,799","2,559","2,837","1,093",553
Utah,2003,"1,009,547","13,965","17,351","25,443","11,180","125,203","2,534","3,411","1,079",629,"1,017,966","11,385","17,721","27,951","10,392","108,655","2,368","2,781","1,037",540
Utah,2002,"996,183","13,561","17,204","24,643","11,015","118,629","2,308","3,330","1,014",603,"1,004,821","10,986","17,536","27,021","10,231","102,806","2,163","2,723","1,001",517
Utah,2001,"980,183","13,112","17,046","23,815","10,840","111,281","2,086","3,243",974,583,"988,711","10,500","17,293","26,035","10,026","96,656","1,934","2,665",936,507
Utah,2000,"965,017","12,722","17,001","22,997","10,629","104,530","1,882","3,180",938,548,"974,827","10,071","17,312","25,014","9,776","90,719","1,728","2,619",885,488
Virginia,2005,"2,589,773","732,664","23,666","187,119","4,861","221,997","17,567","4,137","3,425","1,139","2,669,593","795,124","24,584","199,793","5,135","190,010","17,286","3,742","3,450",922
Virginia,2004,"2,575,485","723,442","23,527","178,730","4,730","210,158","16,889","3,937","3,207","1,076","2,653,927","785,067","24,459","190,991","4,988","179,749","16,613","3,585","3,229",878
Virginia,2003,"2,556,166","713,350","23,324","170,218","4,593","198,044","16,061","3,757","2,932","1,023","2,632,965","775,240","24,233","182,249","4,835","169,420","15,880","3,449","2,971",802
Virginia,2002,"2,536,759","702,564","23,142","162,019","4,464","184,822","15,403","3,553","2,731",956,"2,614,024","765,297","24,120","173,679","4,706","158,899","15,325","3,296","2,759",761
Virginia,2001,"2,516,686","691,391","22,928","154,133","4,327","172,196","14,952","3,370","2,525",927,"2,596,728","755,618","23,923","165,852","4,573","148,678","15,093","3,168","2,587",716
Virginia,2000,"2,497,392","683,677","22,720","146,218","4,181","160,497","14,782","3,207","2,390",870,"2,579,328","746,934","23,733","157,886","4,424","138,716","14,860","3,038","2,448",679
Washington,2005,"2,481,292","136,882","72,826","222,342","22,587","274,490","10,485","9,924","6,439","2,218","2,517,183","122,664","74,395","248,423","21,776","238,391","9,997","9,231","6,423","2,162"
Washington,2004,"2,458,655","134,047","72,332","214,893","22,124","264,384","9,570","9,480","5,816","2,080","2,497,990","120,322","74,052","240,903","21,411","229,968","9,138","8,768","5,836","2,016"
Washington,2003,"2,440,270","131,464","72,085","207,686","21,715","254,198","8,699","9,067","5,195","1,913","2,479,734","117,791","73,543","233,291","21,036","220,954","8,288","8,351","5,211","1,876"
Washington,2002,"2,425,792","129,031","71,829","200,693","21,313","243,871","8,072","8,797","4,825","1,817","2,467,374","115,157","73,298","225,738","20,663","212,084","7,662","8,151","4,849","1,778"
Washington,2001,"2,408,022","125,681","71,423","192,991","20,812","233,482","7,625","8,649","4,704","1,787","2,451,255","112,059","72,929","217,697","20,214","202,955","7,236","8,041","4,725","1,744"
Washington,2000,"2,386,517","122,648","70,937","185,277","20,292","223,220","7,199","8,531","4,557","1,761","2,431,903","109,066","72,522","209,041","19,710","193,807","6,845","7,949","4,611","1,711"
Vermont,2005,"297,032","2,887","2,870","3,703",135,"3,252",180,122,19,12,"306,810","2,317","2,960","3,968",121,"3,176",173,109,44,12
Vermont,2004,"296,135","2,767","2,861","3,567",130,"3,152",173,119,19,12,"306,519","2,194","2,944","3,916",120,"3,003",175,101,33,8
Vermont,2003,"295,211","2,642","2,880","3,451",130,"3,029",166,118,22,9,"305,842","2,132","2,966","3,780",119,"2,907",168,100,42,5
Vermont,2002,"293,820","2,563","2,867","3,323",125,"2,887",175,120,21,11,"304,934","2,046","2,930","3,680",120,"2,826",152,101,38,9
Vermont,2001,"292,267","2,473","2,902","3,124",118,"2,753",168,117,24,6,"303,643","1,963","2,982","3,539",110,"2,742",146,100,33,9
Vermont,2000,"290,825","2,391","2,900","2,955",116,"2,555",169,120,33,16,"302,798","1,894","2,980","3,412",113,"2,609",147,111,50,12
West Virginia,2005,"844,694","32,496","4,861","6,163",371,"7,596",403,155,77,62,"884,850","31,465","5,056","6,264",393,"6,924",371,168,65,43
West Virginia,2004,"842,195","32,126","4,834","6,069",361,"7,170",397,151,73,51,"884,255","31,293","5,040","6,142",393,"6,600",340,159,74,39
West Virginia,2003,"840,707","31,903","4,825","5,793",351,"6,920",355,131,71,49,"884,534","31,241","5,053","6,004",375,"6,327",321,152,63,29
West Virginia,2002,"837,519","31,641","4,759","5,526",336,"6,567",352,126,61,48,"883,333","30,967","5,015","5,776",377,"6,006",292,137,63,37
West Virginia,2001,"835,172","31,445","4,713","5,463",350,"6,291",323,122,53,49,"883,249","30,851","5,014","5,729",373,"5,812",275,135,51,28
West Virginia,2000,"837,211","31,375","4,753","5,467",336,"5,981",320,133,61,50,"887,231","30,981","5,039","5,791",378,"5,548",267,135,65,37
Wisconsin,2005,"2,372,858","168,827","32,404","59,764","2,020","125,411","5,506","3,408","1,025",393,"2,434,313","178,862","33,062","60,547","2,000","105,623","5,789","3,262",975,311
Wisconsin,2004,"2,364,316","166,304","31,943","58,188","1,993","120,699","5,309","3,348","1,003",361,"2,427,090","176,564","32,623","58,954","1,959","101,314","5,587","3,204",930,306
Wisconsin,2003,"2,356,154","164,001","31,697","56,425","1,958","115,604","5,145","3,275",958,356,"2,420,554","174,531","32,337","57,072","1,914","96,928","5,392","3,131",889,281
Wisconsin,2002,"2,347,949","161,681","31,365","54,456","1,900","110,277","4,961","3,197",907,334,"2,414,522","172,118","32,098","54,932","1,871","92,391","5,213","3,041",847,270
Wisconsin,2001,"2,340,846","158,350","30,978","52,286","1,855","104,605","4,727","3,083",875,306,"2,408,102","168,939","31,653","52,836","1,835","87,472","4,989","2,942",814,254
Wisconsin,2000,"2,333,640","155,944","30,879","50,688","1,824","99,017","4,564","3,018",839,296,"2,403,419","166,543","31,467","51,122","1,799","82,690","4,764","2,876",768,239
Illinois,2005,"4,152,581","910,666","25,686","274,162","4,549","929,107","24,498","13,728","5,633","2,722","4,349,395","1,034,077","27,797","283,183","4,761","822,558","25,072","12,100","5,465","2,476"
Illinois,2004,"4,158,276","907,788","25,595","266,583","4,467","903,437","23,973","13,534","5,536","2,675","4,359,124","1,031,619","27,738","275,581","4,683","799,448","24,563","11,950","5,394","2,418"
Illinois,2003,"4,161,579","905,419","25,483","258,523","4,389","874,929","23,473","13,285","5,416","2,629","4,367,009","1,028,443","27,576","267,247","4,597","774,193","24,047","11,782","5,304","2,390"
Illinois,2002,"4,167,404","903,457","25,492","250,110","4,301","844,522","22,931","13,018","5,326","2,566","4,375,564","1,025,405","27,538","258,332","4,499","747,237","23,469","11,571","5,227","2,362"
Illinois,2001,"4,169,542","901,494","25,404","240,755","4,217","814,176","22,362","12,726","5,232","2,510","4,383,846","1,022,117","27,515","248,936","4,416","720,872","22,910","11,410","5,136","2,319"
Illinois,2000,"4,170,389","896,944","25,290","232,081","4,111","782,822","21,774","12,400","5,112","2,427","4,389,181","1,016,737","27,372","239,676","4,316","693,367","22,333","11,180","5,026","2,277"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
