table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"1,125,733","1,116,799","1,099,113","1,071,893","1,040,190","1,009,285","973,164","946,389","920,003","891,011","882,362","882,360"
..Black,"120,670","118,155","114,289","109,078","102,816","97,208","91,579","87,236","82,885","78,264","77,497","77,497"
..AIAN,"30,106","29,773","29,112","28,029","26,858","25,702","24,628","23,727","22,910","21,959","21,688","21,688"
..Asian,"96,481","94,050","89,808","84,143","78,177","72,312","66,852","62,362","57,706","53,198","52,310","52,310"
..NHPI,"13,665","13,414","12,893","12,286","11,578","10,880","10,233","9,690","9,115","8,431","8,338","8,338"
.NOT HISPANIC,"974,492","972,549","961,767","945,048","923,983","902,604","874,728","854,786","835,828","814,741","807,931","807,929"
..One Race,"943,732","942,438","932,742","917,415","897,794","877,905","851,492","832,798","814,921","795,170","788,679","788,677"
...White,"749,223","751,369","748,118","741,646","732,262","721,921","704,711","693,160","682,760","670,480","665,435","665,433"
...Black,"98,025","96,633","94,066","90,443","85,791","81,738","77,590","74,486","71,370","68,070","67,480","67,480"
...AIAN,"13,486","13,406","13,170","12,766","12,369","11,957","11,599","11,386","11,149","10,820","10,709","10,709"
...Asian,"76,922","75,006","71,570","66,969","62,064","57,276","52,833","49,217","45,323","41,754","41,063","41,063"
...NHPI,"6,076","6,024","5,818","5,591","5,308","5,013","4,759","4,549","4,319","4,046","3,992","3,992"
..Two or More Races,"30,760","30,111","29,025","27,633","26,189","24,699","23,236","21,988","20,907","19,571","19,252","19,252"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"775,840","777,389","773,163","765,460","754,806","743,140","724,643","712,003","700,655","687,229","681,887","681,885"
...Black,"107,909","106,183","103,160","98,972","93,790","89,201","84,531","80,964","77,466","73,709","73,018","73,018"
...AIAN,"21,485","21,392","21,027","20,426","19,774","19,124","18,489","18,054","17,654","17,077","16,885","16,885"
...Asian,"91,609","89,363","85,378","80,057","74,427","68,849","63,675","59,407","54,962","50,692","49,849","49,849"
