table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Black,"51,856","50,162","48,125","46,203","44,398","42,946","41,584","40,529","39,312","38,204","38,073","38,073"
..AIAN,"12,061","11,829","11,470","11,124","10,786","10,532","10,193","9,864","9,566","9,180","9,155","9,155"
..Asian,"28,735","27,680","26,724","25,933","25,111","24,408","23,527","22,738","22,113","21,749","21,512","21,512"
..NHPI,"1,703","1,613","1,548","1,472","1,408","1,368","1,317","1,265","1,201","1,179","1,160","1,160"
.NOT HISPANIC,"1,413,445","1,409,298","1,403,452","1,398,229","1,393,276","1,390,970","1,388,883","1,388,698","1,389,738","1,391,392","1,390,600","1,390,576"
..One Race,"1,397,578","1,393,916","1,388,696","1,384,054","1,379,737","1,378,012","1,376,478","1,376,803","1,378,323","1,380,522","1,379,818","1,379,794"
...White,"1,326,883","1,325,358","1,322,548","1,319,970","1,317,657","1,317,504","1,317,675","1,319,378","1,322,245","1,325,400","1,324,966","1,324,942"
...Black,"41,072","39,938","38,475","37,112","35,887","34,935","34,048","33,483","32,727","32,109","32,042","32,042"
...AIAN,"5,199","5,095","4,919","4,790","4,651","4,549","4,390","4,244","4,121","3,967","3,954","3,954"
...Asian,"23,752","22,890","22,151","21,612","21,000","20,506","19,847","19,214","18,775","18,578","18,393","18,393"
...NHPI,672,635,603,570,542,518,518,484,455,468,463,463
..Two or More Races,"15,867","15,382","14,756","14,175","13,539","12,958","12,405","11,895","11,415","10,870","10,782","10,782"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,341,834","1,339,845","1,336,435","1,333,308","1,330,381","1,329,659","1,329,311","1,330,518","1,332,940","1,335,557","1,335,062","1,335,038"
...Black,"48,972","47,526","45,681","43,933","42,327","41,008","39,799","38,903","37,857","36,934","36,812","36,812"
...AIAN,"10,010","9,844","9,577","9,380","9,133","8,960","8,711","8,483","8,298","8,040","8,017","8,017"
...Asian,"27,969","26,983","26,054","25,344","24,570","23,906","23,069","22,312","21,720","21,375","21,138","21,138"
...NHPI,"1,448","1,378","1,322","1,258","1,198","1,160","1,122","1,079","1,019","1,007",989,989
.HISPANIC,"72,164","68,677","65,943","62,747","59,545","56,674","53,846","51,244","48,458","45,346","44,940","44,939"
..One Race,"70,926","67,508","64,829","61,706","58,563","55,731","52,957","50,404","47,669","44,618","44,217","44,216"
...White,"66,476","63,348","60,925","58,142","55,261","52,643","50,109","47,790","45,310","42,530","42,135","42,134"
...Black,"2,324","2,125","1,964","1,806","1,654","1,523","1,390","1,262","1,113",959,955,955
...AIAN,"1,445","1,400","1,341","1,219","1,146","1,096","1,022",941,859,760,758,758
...Asian,520,482,450,397,362,329,300,280,257,242,242,242
...NHPI,161,153,149,142,140,140,136,131,130,127,127,127
..Two or More Races,"1,238","1,169","1,114","1,041",982,943,889,840,789,728,723,723
..Race alone or in combination:1,,,,,,,,,,,,
...White,"67,625","64,442","61,962","59,104","56,176","53,521","50,925","48,576","46,048","43,202","42,802","42,801"
...Black,"2,884","2,636","2,444","2,270","2,071","1,938","1,785","1,626","1,455","1,270","1,261","1,261"
...AIAN,"2,051","1,985","1,893","1,744","1,653","1,572","1,482","1,381","1,268","1,140","1,138","1,138"
...Asian,766,697,670,589,541,502,458,426,393,374,374,374
...NHPI,255,235,226,214,210,208,195,186,182,172,171,171
FEMALE,"1,522,247","1,516,012","1,509,324","1,503,415","1,496,629","1,493,714","1,490,070","1,489,322","1,491,228","1,491,446","1,490,840","1,490,809"
.One Race,"1,505,105","1,499,384","1,493,404","1,488,160","1,482,055","1,479,709","1,476,684","1,476,530","1,478,971","1,479,773","1,479,252","1,479,221"
..White,"1,431,364","1,428,228","1,424,857","1,422,112","1,418,353","1,418,196","1,417,084","1,418,657","1,422,549","1,424,879","1,424,602","1,424,572"
..Black,"40,658","39,363","37,789","36,241","34,814","33,584","32,671","31,835","31,231","30,419","30,371","30,370"
..AIAN,"6,604","6,453","6,253","5,995","5,874","5,645","5,408","5,234","5,054","4,798","4,792","4,792"
..Asian,"25,703","24,612","23,812","23,142","22,359","21,658","20,912","20,242","19,597","19,120","18,931","18,931"
..NHPI,776,728,693,670,655,626,609,562,540,557,556,556
.Two or More Races,"17,142","16,628","15,920","15,255","14,574","14,005","13,386","12,792","12,257","11,673","11,588","11,588"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,447,495","1,443,864","1,439,822","1,436,438","1,432,040","1,431,334","1,429,629","1,430,630","1,434,004","1,435,779","1,435,438","1,435,408"
..Black,"48,919","47,326","45,308","43,387","41,571","39,999","38,744","37,566","36,641","35,503","35,403","35,402"
..AIAN,"12,126","11,885","11,577","11,179","10,938","10,632","10,274","9,986","9,714","9,358","9,336","9,336"
..Asian,"30,207","28,985","27,981","27,115","26,126","25,254","24,322","23,483","22,690","22,033","21,810","21,810"
..NHPI,"1,625","1,540","1,486","1,421","1,369","1,310","1,257","1,195","1,144","1,128","1,107","1,107"
.NOT HISPANIC,"1,460,009","1,456,775","1,452,975","1,449,803","1,445,765","1,445,361","1,444,446","1,446,159","1,450,501","1,453,604","1,453,306","1,453,275"
..One Race,"1,444,091","1,441,305","1,438,149","1,435,585","1,432,170","1,432,289","1,431,943","1,434,197","1,439,025","1,442,648","1,442,432","1,442,401"
...White,"1,374,303","1,373,845","1,373,036","1,372,702","1,371,436","1,373,550","1,374,890","1,378,678","1,384,763","1,389,670","1,389,696","1,389,666"
...Black,"38,514","37,408","36,018","34,597","33,297","32,182","31,400","30,685","30,204","29,541","29,494","29,493"
...AIAN,"5,332","5,219","5,072","4,915","4,848","4,683","4,526","4,409","4,282","4,106","4,101","4,101"
...Asian,"25,294","24,225","23,445","22,813","22,045","21,359","20,626","19,968","19,337","18,874","18,685","18,685"
...NHPI,648,608,578,558,544,515,501,457,439,457,456,456
..Two or More Races,"15,918","15,470","14,826","14,218","13,595","13,072","12,503","11,962","11,476","10,956","10,874","10,874"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,389,328","1,388,429","1,387,004","1,386,091","1,384,240","1,385,838","1,386,636","1,389,900","1,395,512","1,399,926","1,399,889","1,399,859"
...Black,"46,251","44,861","43,072","41,294","39,628","38,204","37,089","36,053","35,288","34,323","34,224","34,223"
...AIAN,"10,263","10,090","9,864","9,600","9,432","9,198","8,949","8,743","8,542","8,291","8,270","8,270"
...Asian,"29,529","28,346","27,373","26,559","25,603","24,760","23,858","23,043","22,270","21,645","21,425","21,425"
...NHPI,"1,409","1,352","1,298","1,246","1,195","1,144","1,105","1,045",999,987,970,970
.HISPANIC,"62,238","59,237","56,349","53,612","50,864","48,353","45,624","43,163","40,727","37,842","37,534","37,534"
..One Race,"61,014","58,079","55,255","52,575","49,885","47,420","44,741","42,333","39,946","37,125","36,820","36,820"
...White,"57,061","54,383","51,821","49,410","46,917","44,646","42,194","39,979","37,786","35,209","34,906","34,906"
...Black,"2,144","1,955","1,771","1,644","1,517","1,402","1,271","1,150","1,027",878,877,877
...AIAN,"1,272","1,234","1,181","1,080","1,026",962,882,825,772,692,691,691
...Asian,409,387,367,329,314,299,286,274,260,246,246,246
...NHPI,128,120,115,112,111,111,108,105,101,100,100,100
..Two or More Races,"1,224","1,158","1,094","1,037",979,933,883,830,781,717,714,714
..Race alone or in combination:1,,,,,,,,,,,,
...White,"58,167","55,435","52,818","50,347","47,800","45,496","42,993","40,730","38,492","35,853","35,549","35,549"
...Black,"2,668","2,465","2,236","2,093","1,943","1,795","1,655","1,513","1,353","1,180","1,179","1,179"
...AIAN,"1,863","1,795","1,713","1,579","1,506","1,434","1,325","1,243","1,172","1,067","1,066","1,066"
...Asian,678,639,608,556,523,494,464,440,420,388,385,385
...NHPI,216,188,188,175,174,166,152,150,145,141,137,137
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2009 (SC-EST2009-03-19)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
