table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for District of Columbia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Asian,"8,376","7,970","7,759","7,496","7,280","7,144","7,029","7,052","6,978","6,838","6,798","6,798"
...NHPI,195,184,173,170,162,152,147,145,137,131,131,131
..Two or More Races,"3,972","3,750","3,565","3,472","3,388","3,285","3,174","3,115","3,021","2,870","2,855","2,855"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"102,800","99,105","96,913","94,063","91,212","88,098","85,821","85,204","84,347","81,857","82,046","82,048"
...Black,"144,955","145,659","146,937","148,850","150,694","152,651","154,514","156,112","156,529","156,960","157,060","157,060"
...AIAN,"1,924","1,921","1,847","1,870","1,828","1,790","1,775","1,789","1,779","1,732","1,732","1,732"
...Asian,"9,802","9,304","9,036","8,724","8,494","8,320","8,159","8,160","8,030","7,838","7,788","7,788"
...NHPI,416,402,376,366,348,340,323,326,309,307,289,289
.HISPANIC,"27,612","26,343","25,389","25,185","25,315","25,294","24,999","24,789","24,710","23,819","23,667","23,667"
..One Race,"26,921","25,679","24,758","24,591","24,749","24,752","24,485","24,283","24,201","23,318","23,166","23,166"
...White,"22,277","20,986","20,195","20,263","20,550","20,674","20,655","20,475","20,231","19,235","19,110","19,110"
...Black,"3,879","3,965","3,875","3,649","3,526","3,421","3,205","3,192","3,357","3,474","3,452","3,452"
...AIAN,394,369,349,352,357,355,350,347,345,335,335,335
...Asian,264,255,244,236,229,215,199,195,199,201,201,201
...NHPI,107,104,95,91,87,87,76,74,69,73,68,68
..Two or More Races,691,664,631,594,566,542,514,506,509,501,501,501
..Race alone or in combination:1,,,,,,,,,,,,
...White,"22,877","21,563","20,754","20,780","21,046","21,150","21,107","20,922","20,686","19,676","19,552","19,552"
...Black,"4,374","4,453","4,326","4,076","3,932","3,807","3,566","3,558","3,719","3,827","3,805","3,805"
...AIAN,591,551,527,522,519,522,510,495,500,499,501,501
...Asian,406,380,370,342,343,315,294,286,283,286,285,285
...NHPI,158,141,138,130,127,128,108,106,100,97,92,92
FEMALE,"316,594","311,571","309,906","308,827","307,983","306,990","305,762","306,714","305,739","302,469","302,691","302,693"
.One Race,"311,527","306,830","305,304","304,301","303,540","302,640","301,495","302,547","301,648","298,439","298,681","298,683"
..White,"121,396","116,190","113,128","110,243","107,594","105,014","102,698","102,160","100,897","97,791","97,924","97,927"
..Black,"177,823","178,932","180,901","183,068","185,254","187,080","188,401","190,084","190,615","190,607","190,768","190,768"
..AIAN,"1,223","1,150","1,117","1,096","1,103","1,087","1,065","1,072","1,039","1,012","1,012","1,012"
..Asian,"10,797","10,276","9,891","9,635","9,336","9,200","9,095","9,002","8,883","8,816","8,764","8,763"
..NHPI,288,282,267,259,253,259,236,229,214,213,213,213
.Two or More Races,"5,067","4,741","4,602","4,526","4,443","4,350","4,267","4,167","4,091","4,030","4,010","4,010"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"124,998","119,543","116,363","113,396","110,663","108,019","105,618","104,981","103,633","100,454","100,578","100,581"
..Black,"181,374","182,262","184,132","186,239","188,364","190,094","191,359","192,967","193,452","193,414","193,562","193,562"
..AIAN,"2,881","2,752","2,697","2,688","2,692","2,685","2,663","2,705","2,667","2,683","2,667","2,667"
..Asian,"12,539","11,886","11,438","11,156","10,816","10,664","10,535","10,385","10,237","10,122","10,068","10,067"
..NHPI,548,543,507,517,506,490,477,458,445,439,429,429
.NOT HISPANIC,"291,181","287,434","286,542","285,699","284,804","284,025","283,052","284,319","283,526","281,060","281,405","281,407"
..One Race,"286,727","283,279","282,490","281,705","280,884","280,183","279,276","280,635","279,928","277,521","277,886","277,888"
...White,"101,214","97,290","94,845","91,988","89,210","86,627","84,309","84,008","83,107","80,895","81,126","81,129"
...Black,"173,876","174,922","176,987","179,333","181,583","183,589","185,134","186,869","187,226","187,108","187,294","187,294"
...AIAN,843,794,777,758,763,755,734,747,717,703,703,703
...Asian,"10,580","10,064","9,685","9,439","9,147","9,020","8,925","8,840","8,721","8,657","8,605","8,604"
...NHPI,214,209,196,187,181,192,174,171,157,158,158,158
..Two or More Races,"4,454","4,155","4,052","3,994","3,920","3,842","3,776","3,684","3,598","3,539","3,519","3,519"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"104,292","100,130","97,599","94,667","91,833","89,180","86,805","86,416","85,419","83,139","83,360","83,363"
...Black,"176,971","177,820","179,809","182,127","184,291","186,250","187,732","189,410","189,709","189,557","189,728","189,728"
...AIAN,"2,309","2,206","2,189","2,179","2,196","2,189","2,171","2,206","2,188","2,208","2,193","2,193"
...Asian,"12,190","11,566","11,125","10,854","10,529","10,379","10,266","10,126","9,968","9,862","9,810","9,809"
...NHPI,443,432,413,411,401,393,384,371,361,354,345,345
.HISPANIC,"25,413","24,137","23,364","23,128","23,179","22,965","22,710","22,395","22,213","21,409","21,286","21,286"
..One Race,"24,800","23,551","22,814","22,596","22,656","22,457","22,219","21,912","21,720","20,918","20,795","20,795"
...White,"20,182","18,900","18,283","18,255","18,384","18,387","18,389","18,152","17,790","16,896","16,798","16,798"
...Black,"3,947","4,010","3,914","3,735","3,671","3,491","3,267","3,215","3,389","3,499","3,474","3,474"
...AIAN,380,356,340,338,340,332,331,325,322,309,309,309
...Asian,217,212,206,196,189,180,170,162,162,159,159,159
...NHPI,74,73,71,72,72,67,62,58,57,55,55,55
..Two or More Races,613,586,550,532,523,508,491,483,493,491,491,491
..Race alone or in combination:1,,,,,,,,,,,,
...White,"20,706","19,413","18,764","18,729","18,830","18,839","18,813","18,565","18,214","17,315","17,218","17,218"
...Black,"4,403","4,442","4,323","4,112","4,073","3,844","3,627","3,557","3,743","3,857","3,834","3,834"
...AIAN,572,546,508,509,496,496,492,499,479,475,474,474
...Asian,349,320,313,302,287,285,269,259,269,260,258,258
...NHPI,105,111,94,106,105,97,93,87,84,85,84,84
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for District of Columbia: April 1, 2000 to July 1, 2009 (SC-EST2009-03-11)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
