table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Florida: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..AIAN,"49,486","48,350","47,011","45,378","43,340","41,120","38,753","36,370","33,786","31,304","31,063","31,064"
..Asian,"208,028","203,011","196,724","189,167","178,722","167,225","156,859","148,125","139,418","131,900","130,366","130,364"
..NHPI,"9,635","9,318","9,027","8,616","8,071","7,465","6,952","6,584","6,190","5,779","5,704","5,704"
.Two or More Races,"134,941","130,563","125,793","120,575","113,932","107,370","100,830","95,079","89,253","83,562","82,613","82,612"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"7,394,844","7,359,040","7,314,576","7,247,014","7,137,675","6,983,335","6,829,813","6,715,120","6,592,309","6,476,419","6,449,784","6,449,543"
..Black,"1,508,139","1,487,745","1,462,493","1,434,103","1,393,294","1,349,466","1,309,263","1,276,081","1,242,624","1,208,772","1,203,534","1,203,529"
..AIAN,"88,107","86,586","84,673","82,276","79,114","75,676","72,099","68,703","65,027","61,510","60,875","60,876"
..Asian,"255,970","249,345","241,235","231,755","218,865","204,916","192,162","181,250","170,360","160,713","158,929","158,926"
..NHPI,"20,906","20,302","19,603","18,828","17,695","16,561","15,551","14,725","13,803","12,873","12,779","12,779"
.NOT HISPANIC,"7,086,419","7,081,818","7,069,774","7,043,034","6,973,547","6,858,287","6,736,659","6,651,139","6,560,580","6,474,891","6,457,735","6,457,606"
..One Race,"6,977,220","6,975,676","6,966,944","6,943,776","6,879,003","6,768,398","6,651,791","6,570,774","6,484,811","6,403,671","6,387,275","6,387,147"
...White,"5,393,349","5,411,665","5,427,535","5,432,248","5,408,418","5,342,477","5,269,320","5,224,820","5,175,642","5,130,480","5,119,913","5,119,791"
...Black,"1,350,902","1,336,107","1,317,775","1,297,503","1,267,097","1,234,126","1,201,714","1,174,558","1,147,131","1,119,241","1,115,071","1,115,067"
...AIAN,"27,844","27,654","27,367","26,898","26,320","25,576","24,662","23,880","23,045","22,287","22,161","22,161"
...Asian,"199,338","194,659","188,806","181,842","172,132","161,432","151,584","143,223","134,913","127,814","126,330","126,328"
...NHPI,"5,787","5,591","5,461","5,285","5,036","4,787","4,511","4,293","4,080","3,849","3,800","3,800"
..Two or More Races,"109,199","106,142","102,830","99,258","94,544","89,889","84,868","80,365","75,769","71,220","70,460","70,459"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,485,482","5,501,109","5,514,078","5,515,656","5,487,781","5,417,792","5,340,301","5,291,872","5,238,734","5,189,652","5,178,394","5,178,272"
...Black,"1,400,931","1,384,122","1,363,787","1,341,416","1,308,449","1,272,985","1,237,868","1,208,245","1,178,362","1,148,073","1,143,494","1,143,489"
...AIAN,"59,883","59,563","59,019","58,160","56,872","55,390","53,604","52,112","50,456","48,935","48,476","48,476"
...Asian,"241,198","235,243","227,931","219,464","207,766","195,107","183,211","172,975","162,770","153,797","152,150","152,147"
...NHPI,"14,823","14,435","14,070","13,643","13,000","12,396","11,742","11,183","10,565","9,923","9,874","9,874"
.HISPANIC,"2,037,507","1,981,829","1,918,604","1,842,355","1,751,594","1,657,226","1,574,715","1,503,437","1,428,528","1,356,418","1,340,227","1,340,109"
..One Race,"2,011,765","1,957,408","1,895,641","1,821,038","1,732,206","1,639,745","1,558,753","1,488,723","1,415,044","1,344,076","1,328,074","1,327,956"
...White,"1,886,210","1,835,968","1,779,860","1,712,215","1,632,497","1,549,856","1,475,205","1,410,072","1,341,534","1,275,726","1,260,497","1,260,378"
...Black,"91,375","88,665","84,653","79,687","73,064","65,874","61,741","58,968","56,154","53,317","52,735","52,735"
...AIAN,"21,642","20,696","19,644","18,480","17,020","15,544","14,091","12,490","10,741","9,017","8,902","8,903"
...Asian,"8,690","8,352","7,918","7,325","6,590","5,793","5,275","4,902","4,505","4,086","4,036","4,036"
...NHPI,"3,848","3,727","3,566","3,331","3,035","2,678","2,441","2,291","2,110","1,930","1,904","1,904"
..Two or More Races,"25,742","24,421","22,963","21,317","19,388","17,481","15,962","14,714","13,484","12,342","12,153","12,153"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,909,362","1,857,931","1,800,498","1,731,358","1,649,894","1,565,543","1,489,512","1,423,248","1,353,575","1,286,767","1,271,390","1,271,271"
...Black,"107,208","103,623","98,706","92,687","84,845","76,481","71,395","67,836","64,262","60,699","60,040","60,040"
...AIAN,"28,224","27,023","25,654","24,116","22,242","20,286","18,495","16,591","14,571","12,575","12,399","12,400"
...Asian,"14,772","14,102","13,304","12,291","11,099","9,809","8,951","8,275","7,590","6,916","6,779","6,779"
...NHPI,"6,083","5,867","5,533","5,185","4,695","4,165","3,809","3,542","3,238","2,950","2,905","2,905"
FEMALE,"9,414,043","9,360,231","9,289,510","9,203,116","9,058,727","8,859,746","8,669,809","8,525,733","8,364,761","8,215,809","8,184,877","8,184,663"
.One Race,"9,277,794","9,228,187","9,162,038","9,080,738","8,942,822","8,750,525","8,566,980","8,428,518","8,273,386","8,130,072","8,100,035","8,099,823"
..White,"7,446,041","7,420,556","7,385,566","7,337,732","7,250,904","7,116,305","6,984,877","6,888,650","6,779,400","6,679,854","6,656,659","6,656,450"
..Black,"1,541,050","1,524,294","1,502,079","1,478,634","1,441,331","1,399,521","1,361,654","1,331,504","1,298,305","1,266,083","1,261,271","1,261,268"
..AIAN,"44,237","43,381","42,115","40,902","39,125","37,235","35,208","33,208","30,984","28,542","28,336","28,337"
..Asian,"237,466","231,232","223,864","215,425","203,919","190,560","178,812","169,073","158,970","150,275","148,528","148,527"
..NHPI,"9,000","8,724","8,414","8,045","7,543","6,904","6,429","6,083","5,727","5,318","5,241","5,241"
.Two or More Races,"136,249","132,044","127,472","122,378","115,905","109,221","102,829","97,215","91,375","85,737","84,842","84,840"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"7,561,807","7,532,632","7,493,604","7,441,274","7,348,805","7,208,368","7,071,402","6,970,265","6,855,982","6,751,548","6,727,588","6,727,377"
..Black,"1,607,454","1,588,023","1,563,075","1,536,565","1,495,564","1,450,125","1,408,718","1,375,539","1,339,130","1,303,907","1,298,607","1,298,603"
..AIAN,"84,102","82,829","80,994","79,118","76,237","73,053","69,803","66,758","63,406","59,892","59,470","59,471"
..Asian,"286,291","278,472","269,264","258,886","244,929","229,001","214,780","202,883","190,521","179,644","177,583","177,582"
..NHPI,"20,215","19,555","18,918","18,147","17,100","15,909","14,920","14,115","13,253","12,350","12,218","12,217"
.NOT HISPANIC,"7,459,253","7,454,276","7,439,407","7,418,334","7,353,752","7,236,130","7,118,602","7,036,815","6,942,643","6,857,906","6,842,179","6,842,057"
..One Race,"7,347,702","7,345,712","7,334,103","7,316,636","7,256,719","7,144,016","7,031,432","6,954,106","6,864,606","6,784,381","6,769,384","6,769,264"
...White,"5,634,270","5,652,615","5,667,008","5,676,722","5,659,496","5,595,461","5,529,063","5,489,389","5,440,872","5,399,378","5,390,520","5,390,404"
...Black,"1,451,680","1,437,570","1,419,191","1,400,410","1,369,419","1,334,466","1,300,703","1,273,338","1,243,152","1,213,896","1,209,610","1,209,607"
...AIAN,"27,066","26,932","26,475","26,135","25,498","24,687","23,778","23,085","22,223","21,337","21,218","21,218"
...Asian,"229,070","223,146","216,146","208,222","197,369","184,752","173,504","164,122","154,395","146,063","144,377","144,376"
...NHPI,"5,616","5,449","5,283","5,147","4,937","4,650","4,384","4,172","3,964","3,707","3,659","3,659"
..Two or More Races,"111,551","108,564","105,304","101,698","97,033","92,114","87,170","82,709","78,037","73,525","72,795","72,793"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,727,821","5,743,567","5,755,101","5,761,686","5,740,419","5,672,171","5,601,532","5,558,004","5,505,496","5,460,135","5,450,661","5,450,543"
...Black,"1,502,972","1,486,989","1,466,700","1,445,803","1,412,262","1,374,727","1,338,359","1,308,650","1,275,989","1,244,411","1,239,708","1,239,704"
...AIAN,"60,593","60,261","59,510","58,815","57,489","55,825","54,004","52,546","50,833","49,153","48,860","48,860"
...Asian,"271,891","264,674","256,204","246,686","233,855","219,119","205,785","194,514","182,830","172,594","170,651","170,650"
...NHPI,"14,739","14,339","13,953","13,544","12,963","12,272","11,619","11,038","10,436","9,789","9,703","9,702"
.HISPANIC,"1,954,790","1,905,955","1,850,103","1,784,782","1,704,975","1,623,616","1,551,207","1,488,918","1,422,118","1,357,903","1,342,698","1,342,606"
..One Race,"1,930,092","1,882,475","1,827,935","1,764,102","1,686,103","1,606,509","1,535,548","1,474,412","1,408,780","1,345,691","1,330,651","1,330,559"
...White,"1,811,771","1,767,941","1,718,558","1,661,010","1,591,408","1,520,844","1,455,814","1,399,261","1,338,528","1,280,476","1,266,139","1,266,046"
...Black,"89,370","86,724","82,888","78,224","71,912","65,055","60,951","58,166","55,153","52,187","51,661","51,661"
...AIAN,"17,171","16,449","15,640","14,767","13,627","12,548","11,430","10,123","8,761","7,205","7,118","7,119"
...Asian,"8,396","8,086","7,718","7,203","6,550","5,808","5,308","4,951","4,575","4,212","4,151","4,151"
...NHPI,"3,384","3,275","3,131","2,898","2,606","2,254","2,045","1,911","1,763","1,611","1,582","1,582"
