table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kentucky: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Black,"179,253","175,213","173,285","169,451","167,260","164,356","159,550","158,352","156,484","153,559","152,983","152,969"
..AIAN,"14,760","14,321","14,250","13,775","13,695","13,351","12,902","12,775","12,630","12,278","12,253","12,252"
..Asian,"27,689","26,646","25,807","24,819","23,792","22,634","21,359","20,268","19,214","18,210","17,997","17,996"
..NHPI,"2,499","2,371","2,340","2,192","2,140","2,008","1,868","1,846","1,762","1,704","1,673","1,673"
.NOT HISPANIC,"2,053,187","2,040,443","2,031,096","2,013,995","2,000,163","1,985,955","1,969,466","1,960,594","1,952,288","1,943,219","1,940,109","1,939,859"
..One Race,"2,030,060","2,017,929","2,009,149","1,993,003","1,980,007","1,966,627","1,950,987","1,942,776","1,935,169","1,926,871","1,923,923","1,923,676"
...White,"1,838,925","1,831,349","1,824,430","1,812,139","1,801,352","1,791,108","1,780,750","1,774,033","1,768,604","1,763,553","1,761,187","1,760,953"
...Black,"163,327","159,896","158,659","155,750","154,321","152,302","148,258","147,643","146,330","144,084","143,673","143,661"
...AIAN,"4,963","4,725","4,752","4,566","4,603","4,490","4,313","4,284","4,287","4,132","4,114","4,114"
...Asian,"21,848","21,024","20,383","19,685","18,897","17,963","16,982","16,110","15,269","14,462","14,308","14,307"
...NHPI,997,935,925,863,834,764,684,706,679,640,641,641
..Two or More Races,"23,127","22,514","21,947","20,992","20,156","19,328","18,479","17,818","17,119","16,348","16,186","16,183"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,860,501","1,852,347","1,844,892","1,831,683","1,820,096","1,809,056","1,797,916","1,790,545","1,784,445","1,778,664","1,776,208","1,775,971"
...Black,"174,947","171,189","169,505","166,001","163,984","161,408","156,840","155,760","153,989","151,230","150,674","150,660"
...AIAN,"13,232","12,869","12,877","12,514","12,472","12,230","11,858","11,770","11,666","11,377","11,349","11,348"
...Asian,"26,742","25,723","24,950","24,036","23,033","21,921","20,735","19,710","18,708","17,728","17,512","17,511"
...NHPI,"2,037","1,950","1,905","1,804","1,739","1,642","1,530","1,530","1,460","1,404","1,370","1,370"
.HISPANIC,"64,219","60,537","57,519","53,519","50,898","47,354","43,954","41,316","38,758","35,851","35,517","35,509"
..One Race,"63,000","59,389","56,411","52,513","49,910","46,430","43,091","40,498","37,977","35,110","34,774","34,766"
...White,"57,362","54,079","51,416","47,932","45,554","42,485","39,490","37,084","34,715","32,073","31,751","31,743"
...Black,"3,722","3,470","3,255","2,986","2,806","2,520","2,301","2,218","2,124","1,987","1,975","1,975"
...AIAN,"1,003",950,890,822,782,716,669,636,604,551,551,551
...Asian,612,603,556,499,492,448,391,331,312,286,284,284
...NHPI,301,287,294,274,276,261,240,229,222,213,213,213
..Two or More Races,"1,219","1,148","1,108","1,006",988,924,863,818,781,741,743,743
..Race alone or in combination:1,,,,,,,,,,,,
...White,"58,444","55,109","52,414","48,835","46,432","43,319","40,261","37,814","35,415","32,729","32,413","32,405"
...Black,"4,306","4,024","3,780","3,450","3,276","2,948","2,710","2,592","2,495","2,329","2,309","2,309"
...AIAN,"1,528","1,452","1,373","1,261","1,223","1,121","1,044","1,005",964,901,904,904
...Asian,947,923,857,783,759,713,624,558,506,482,485,485
...NHPI,462,421,435,388,401,366,338,316,302,300,303,303
FEMALE,"2,196,707","2,186,951","2,167,663","2,151,860","2,131,232","2,114,661","2,105,207","2,089,420","2,078,145","2,069,833","2,066,662","2,066,401"
.One Race,"2,172,376","2,163,023","2,144,618","2,129,701","2,109,924","2,094,032","2,085,364","2,070,319","2,059,800","2,052,230","2,049,231","2,048,971"
..White,"1,969,571","1,963,472","1,948,839","1,937,224","1,920,869","1,908,435","1,902,540","1,890,063","1,882,303","1,877,277","1,874,962","1,874,718"
..Black,"172,386","170,139","167,421","165,102","162,791","160,517","158,766","157,150","155,453","153,846","153,357","153,346"
..AIAN,"5,627","5,458","5,349","5,192","4,998","4,913","4,725","4,616","4,482","4,302","4,277","4,275"
..Asian,"23,651","22,854","21,951","21,202","20,317","19,280","18,474","17,647","16,747","16,037","15,869","15,866"
..NHPI,"1,141","1,100","1,058",981,949,887,859,843,815,768,766,766
.Two or More Races,"24,331","23,928","23,045","22,159","21,308","20,629","19,843","19,101","18,345","17,603","17,431","17,430"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,992,271","1,985,777","1,970,313","1,957,855","1,940,678","1,927,602","1,920,959","1,907,765","1,899,283","1,893,545","1,891,110","1,890,865"
..Black,"184,393","181,870","178,556","175,688","172,842","170,118","167,831","165,746","163,557","161,495","160,885","160,874"
..AIAN,"14,917","14,724","14,480","14,147","13,802","13,617","13,334","13,083","12,825","12,495","12,425","12,422"
..Asian,"28,741","27,792","26,672","25,703","24,622","23,399","22,401","21,402","20,313","19,432","19,216","19,213"
..NHPI,"2,241","2,200","2,116","1,981","1,921","1,823","1,756","1,702","1,641","1,562","1,538","1,538"
.NOT HISPANIC,"2,145,510","2,138,631","2,122,642","2,110,054","2,092,567","2,079,153","2,072,434","2,059,579","2,050,781","2,045,169","2,042,228","2,041,971"
..One Race,"2,122,281","2,115,755","2,100,576","2,088,830","2,072,142","2,059,363","2,053,390","2,041,216","2,033,127","2,028,216","2,025,446","2,025,190"
...White,"1,924,162","1,920,616","1,908,892","1,900,134","1,886,568","1,876,915","1,873,471","1,863,663","1,858,151","1,855,587","1,853,492","1,853,252"
...Black,"169,109","167,084","164,578","162,482","160,381","158,362","156,786","155,286","153,709","152,228","151,748","151,737"
...AIAN,"4,905","4,771","4,706","4,594","4,466","4,435","4,280","4,196","4,098","3,957","3,932","3,930"
...Asian,"23,153","22,364","21,510","20,800","19,931","18,910","18,131","17,348","16,466","15,779","15,611","15,608"
...NHPI,952,920,890,820,796,741,722,723,703,665,663,663
..Two or More Races,"23,229","22,876","22,066","21,224","20,425","19,790","19,044","18,363","17,654","16,953","16,782","16,781"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,945,896","1,942,001","1,929,510","1,919,951","1,905,606","1,895,352","1,891,191","1,880,716","1,874,533","1,871,296","1,869,078","1,868,837"
...Black,"180,631","178,354","175,298","172,659","170,051","167,599","165,503","163,572","161,518","159,606","159,005","158,994"
...AIAN,"13,707","13,562","13,391","13,122","12,859","12,754","12,499","12,322","12,102","11,829","11,760","11,757"
...Asian,"27,896","26,995","25,924","25,023","23,975","22,783","21,840","20,880","19,840","18,984","18,768","18,765"
