table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..NHPI,"4,893","4,689","4,419","4,333","4,005","3,864","3,572","3,486","3,254","2,995","2,962","2,962"
.Two or More Races,"64,341","61,363","57,942","54,541","50,847","48,043","44,753","42,372","39,522","36,297","35,814","35,805"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,257,399","3,221,724","3,175,815","3,123,161","3,059,823","3,012,451","2,954,767","2,918,860","2,871,045","2,812,406","2,798,609","2,798,550"
..Black,"1,432,593","1,404,657","1,370,550","1,333,803","1,285,606","1,256,954","1,223,297","1,199,638","1,173,713","1,142,077","1,135,232","1,135,133"
..AIAN,"41,163","39,781","38,206","36,707","34,823","33,562","31,897","30,900","29,545","28,043","27,815","27,806"
..Asian,"164,602","158,657","151,860","144,391","135,780","128,013","120,998","114,631","107,632","100,292","98,959","98,957"
..NHPI,"9,191","8,795","8,293","8,013","7,455","7,128","6,585","6,387","5,946","5,471","5,403","5,401"
.NOT HISPANIC,"4,376,159","4,326,889","4,263,417","4,194,043","4,101,745","4,042,400","3,968,366","3,921,300","3,861,697","3,787,375","3,768,977","3,768,829"
..One Race,"4,317,893","4,271,198","4,210,782","4,144,413","4,055,417","3,998,532","3,927,454","3,882,493","3,825,411","3,753,949","3,735,983","3,735,844"
...White,"2,785,198","2,768,454","2,744,960","2,718,995","2,682,963","2,659,229","2,625,338","2,607,692","2,580,679","2,544,947","2,534,632","2,534,593"
...Black,"1,376,793","1,352,078","1,321,167","1,287,222","1,242,132","1,215,926","1,185,103","1,163,376","1,139,630","1,110,455","1,104,062","1,103,964"
...AIAN,"12,732","12,355","11,964","11,583","11,085","10,795","10,297","10,115","9,777","9,410","9,345","9,343"
...Asian,"140,410","135,654","130,202","124,105","116,947","110,309","104,634","99,212","93,346","87,300","86,127","86,127"
...NHPI,"2,760","2,657","2,489","2,508","2,290","2,273","2,082","2,098","1,979","1,837","1,817","1,817"
..Two or More Races,"58,266","55,691","52,635","49,630","46,328","43,868","40,912","38,807","36,286","33,426","32,994","32,985"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,834,632","2,815,612","2,789,468","2,760,841","2,721,954","2,696,042","2,659,601","2,640,081","2,610,866","2,572,676","2,561,942","2,561,896"
...Black,"1,406,359","1,380,078","1,347,355","1,311,642","1,264,696","1,237,003","1,204,515","1,181,528","1,156,338","1,125,561","1,118,925","1,118,827"
...AIAN,"31,600","30,761","29,740","28,777","27,505","26,776","25,621","25,057","24,176","23,168","23,011","23,002"
...Asian,"159,867","154,218","147,692","140,531","132,192","124,695","117,946","111,786","105,024","97,956","96,668","96,666"
...NHPI,"6,358","6,106","5,763","5,639","5,238","5,090","4,698","4,621","4,339","4,015","3,967","3,965"
.HISPANIC,"459,103","440,299","418,617","392,999","366,717","343,745","320,788","303,290","283,452","261,639","258,298","258,284"
..One Race,"453,028","434,627","413,310","388,088","362,198","339,570","316,947","299,725","280,216","258,768","255,478","255,464"
