00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US est98US.dat  10AUG2001
26   0  1118213  1038273  1198154 11.4 10.6 12.2   436156   385029   487284 16.8 14.9 18.8   299134   254076   344192 15.7 13.3 18.0  41963  40395  43531  120072   96518  143627 18.3 14.7 21.9 Michigan                                      MI est98US.dat  10AUG2001
27   0   423735   379238   468233  8.9  8.0  9.9   161858   131891   191826 12.6 10.3 14.9   102567    76726   128408 10.9  8.2 13.7  45311  43218  47403   50478   35747   65209 15.4 10.9 19.9 Minnesota                                     MN est98US.dat  10AUG2001
28   0   483335   451681   514989 17.6 16.4 18.7   184010   163118   204902 23.9 21.2 26.6   119031   100912   137150 21.3 18.1 24.5  28925  27252  30598   60390   50334   70447 29.3 24.4 34.2 Mississippi                                   MS est98US.dat  10AUG2001
29   0   633505   582436   684573 11.7 10.7 12.6   242037   209279   274796 16.8 14.5 19.1   157227   128138   186316 15.0 12.2 17.8  37186  35186  39187   75627   61011   90243 20.2 16.3 24.1 Missouri                                      MO est98US.dat  10AUG2001
30   0   138272   129185   147359 15.7 14.7 16.8    50077    44578    55576 21.9 19.5 24.3    33222    28269    38175 19.5 16.6 22.4  31271  29634  32907   15083   12713   17454 28.1 23.7 32.5 Montana                                       MT est98US.dat  10AUG2001
31   0   169986   153572   186401 10.3  9.3 11.3    62254    51856    72652 13.8 11.5 16.1    38527    29127    47927 11.7  8.9 14.6  37233  35497  38969   21219   16521   25917 17.9 13.9 21.9 Nebraska                                      NE est98US.dat  10AUG2001
32   0   188979   172839   205119 10.5  9.6 11.4    73130    62182    84078 15.0 12.8 17.2    46948    37682    56214 13.9 11.2 16.6  39867  38082  41653   23112   17499   28726 16.2 12.3 20.1 Nevada                                        NV est98US.dat  10AUG2001
33   0    89256    77249   101263  7.5  6.5  8.5    31791    24196    39386 10.6  8.1 13.1    20594    13827    27361  9.5  6.4 12.6  45401  43445  47357    8704    5427   11981 11.8  7.3 16.2 New Hampshire                                 NH est98US.dat  10AUG2001
34   0   717408   654342   780473  8.8  8.0  9.6   270538   229776   311300 13.2 11.2 15.2   196533   161299   231767 13.3 10.9 15.7  49615  47745  51485   62895   43711   82079 11.2  7.8 14.6 New Jersey                                    NJ est98US.dat  10AUG2001
35   0   330325   309777   350872 19.0 17.8 20.2   136557   122722   150393 27.1 24.4 29.9    87395    75145    99645 24.1 20.8 27.5  31445  29826  33063   45578   39222   51934 33.8 29.1 38.6 New Mexico                                    NM est98US.dat  10AUG2001
36   0  2794560  2652647  2936473 15.4 14.6 16.2  1057946   973211  1142681 23.3 21.4 25.2   733641   658531   808751 22.7 20.4 25.0  38290  36984  39596  290577  253790  327364 23.4 20.4 26.4 New York                                      NY est98US.dat  10AUG2001
37   0   978106   911428  1044784 13.0 12.1 13.8   382481   340863   424099 19.4 17.3 21.5   251167   214728   287606 18.2 15.5 20.8  35982  34505  37460  114611   95724  133497 20.8 17.4 24.3 North Carolina                                NC est98US.dat  10AUG2001
38   0    80381    73667    87095 12.9 11.8 13.9    28122    24121    32123 17.3 14.9 19.8    17896    14339    21453 14.9 11.9 17.8  32430  30629  34230    9041    7230   10851 22.6 18.1 27.2 North Dakota                                  ND est98US.dat  10AUG2001
39   0  1202277  1120530  1284024 10.7 10.0 11.5   474707   420602   528813 16.4 14.6 18.3   299740   252934   346546 14.4 12.2 16.6  38726  37324  40128  148687  123301  174073 19.8 16.4 23.1 Ohio                                          OH est98US.dat  10AUG2001
40   0   533108   499880   566336 16.1 15.1 17.1   204309   182137   226480 23.2 20.7 25.7   135895   116662   155128 21.5 18.5 24.6  32373  30608  34138   62390   51369   73412 26.1 21.5 30.8 Oklahoma                                      OK est98US.dat  10AUG2001
41   0   400952   367763   434142 12.1 11.1 13.1   141997   119946   164047 16.9 14.2 19.5    90992    70932   111052 14.9 11.6 18.2  38773  36988  40559   45821   36718   54924 20.4 16.4 24.5 Oregon                                        OR est98US.dat  10AUG2001
42   0  1277442  1189715  1365169 10.7 10.0 11.5   477943   422182   533704 16.5 14.6 18.5   326285   276195   376375 15.4 13.1 17.8  39116  37767  40464  127901  105436  150366 17.5 14.4 20.6 Pennsylvania                                  PA est98US.dat  10AUG2001
44   0   103831    94733   112930 10.6  9.7 11.6    40026    34162    45891 16.3 13.9 18.7    27799    22477    33121 15.6 12.6 18.6  39907  37997  41818   10607    8105   13108 16.8 12.9 20.8 Rhode Island                                  RI est98US.dat  10AUG2001
45   0   550127   512754   587500 14.3 13.3 15.2   209935   185672   234197 21.5 19.1 24.0   140826   119160   162492 20.2 17.1 23.4  33465  31677  35253   62134   51110   73158 23.8 19.5 28.0 South Carolina                                SC est98US.dat  10AUG2001
46   0    94379    86104   102654 13.0 11.9 14.1    35629    29862    41396 17.6 14.8 20.4    22406    17254    27558 15.0 11.5 18.4  33267  31587  34947   11829    9486   14172 23.1 18.5 27.6 South Dakota                                  SD est98US.dat  10AUG2001
47   0   715433   661403   769463 13.1 12.1 14.1   254847   222164   287529 18.5 16.1 20.9   154317   125938   182696 15.8 12.9 18.7  34188  32511  35865   91654   76135  107174 24.1 20.0 28.2 Tennessee                                     TN est98US.dat  10AUG2001
48   0  3102571  2943891  3261252 15.6 14.8 16.4  1298486  1193514  1403458 22.4 20.6 24.2   832173   742889   921457 20.4 18.2 22.6  35449  34215  36684  433068  379049  487088 25.7 22.5 29.0 Texas                                         TX est98US.dat  10AUG2001
49   0   213244   190363   236125 10.0  8.9 11.0    92016    75098   108934 12.7 10.3 15.0    54173    39710    68636 10.7  7.9 13.6  41380  39366  43393   33705   25209   42200 15.4 11.5 19.3 Utah                                          UT est98US.dat  10AUG2001
50   0    56547    50820    62274  9.6  8.6 10.6    17913    14275    21551 12.6 10.0 15.1    10826     7542    14110 10.3  7.2 13.5  37947  36096  39799    5260    3765    6754 16.1 11.5 20.7 Vermont                                       VT est98US.dat  10AUG2001
51   0   696205   632952   759459 10.2  9.3 11.2   239939   197756   282121 14.2 11.7 16.7   160749   122976   198522 13.3 10.2 16.4  42622  40776  44467   68030   50135   85925 14.7 10.8 18.6 Virginia                                      VA est98US.dat  10AUG2001
53   0   569830   516169   623490  9.9  9.0 10.9   206558   171280   241836 13.7 11.4 16.1   139650   108337   170963 12.7  9.8 15.5  44307  42240  46375   57131   41699   72562 14.7 10.7 18.7 Washington                                    WA est98US.dat  10AUG2001
54   0   303649   283890   323409 16.8 15.7 17.9    99572    89225   109919 24.2 21.7 26.7    66287    57045    75529 21.7 18.7 24.7  28460  26738  30181   30760   25881   35639 29.6 24.9 34.3 West Virginia                                 WV est98US.dat  10AUG2001
55   0   462809   413006   512611  8.9  7.9  9.8   188461   154689   222233 13.6 11.1 16.0   119815    89961   149669 11.8  8.9 14.7  42169  40286  44052   56054   41080   71028 16.0 11.7 20.2 Wisconsin                                     WI est98US.dat  10AUG2001
56   0    54286    49480    59092 11.4 10.4 12.4    19757    16668    22846 15.4 13.0 17.8    11664     8875    14453 12.6  9.6 15.6  35868  34118  37617    6686    5351    8021 21.9 17.5 26.3 Wyoming                                       WY est98US.dat  10AUG2001
