table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..One Race,"627,136","626,841","625,506","623,959","619,778","616,338","612,319","607,567","601,547","594,600","592,439","592,439"
...White,"603,849","604,140","603,465","602,676","599,426","597,191","594,088","590,460","585,659","580,156","578,129","578,129"
...Black,"8,701","8,364","8,048","7,652","7,149","6,629","6,304","5,855","5,382","4,856","4,831","4,831"
...AIAN,"1,650","1,640","1,651","1,632","1,598","1,559","1,539","1,508","1,497","1,474","1,467","1,467"
...Asian,"12,719","12,482","12,141","11,801","11,419","10,776","10,213","9,574","8,846","7,965","7,863","7,863"
...NHPI,217,215,201,198,186,183,175,170,163,149,149,149
..Two or More Races,"6,701","6,526","6,311","6,160","5,887","5,731","5,581","5,319","5,033","4,798","4,749","4,749"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"610,272","610,389","609,511","608,572","605,053","602,673","599,426","595,544","590,462","584,731","582,665","582,665"
...Black,"10,976","10,531","10,116","9,643","9,000","8,412","8,003","7,423","6,846","6,227","6,176","6,176"
...AIAN,"4,374","4,338","4,309","4,263","4,187","4,118","4,075","3,971","3,892","3,808","3,791","3,791"
...Asian,"14,866","14,580","14,151","13,759","13,261","12,556","11,950","11,216","10,377","9,411","9,289","9,289"
...NHPI,467,454,435,428,400,393,382,367,353,331,321,321
.HISPANIC,"19,111","18,398","17,529","16,626","15,650","14,790","13,912","12,955","11,797","10,628","10,499","10,499"
..One Race,"18,669","17,966","17,120","16,236","15,278","14,431","13,570","12,632","11,495","10,353","10,228","10,228"
...White,"17,076","16,429","15,647","14,857","13,974","13,184","12,362","11,490","10,416","9,354","9,238","9,238"
...Black,"1,043","1,009",974,941,912,882,837,794,754,701,694,694
...AIAN,364,342,322,275,244,221,228,208,191,167,165,165
...Asian,139,140,132,119,104,101,100,97,92,89,89,89
...NHPI,47,46,45,44,44,43,43,43,42,42,42,42
..Two or More Races,442,432,409,390,372,359,342,323,302,275,271,271
..Race alone or in combination:1,,,,,,,,,,,,
...White,"17,468","16,807","16,002","15,204","14,309","13,500","12,658","11,771","10,676","9,596","9,478","9,478"
...Black,"1,334","1,295","1,233","1,198","1,159","1,111","1,070","1,001",946,873,866,866
...AIAN,500,482,453,388,349,342,338,310,287,268,265,265
...Asian,232,223,217,195,184,169,162,165,153,141,136,136
...NHPI,76,80,69,64,71,66,58,67,62,60,60,60
FEMALE,"671,627","670,107","667,997","665,149","660,100","655,907","650,059","645,322","638,502","630,420","628,104","628,099"
.One Race,"664,361","662,996","661,132","658,498","653,692","649,730","644,140","639,620","633,056","625,273","623,019","623,014"
..White,"640,810","640,076","639,041","637,228","633,384","630,354","625,846","622,409","617,077","610,728","608,604","608,599"
..Black,"8,370","8,055","7,678","7,341","6,828","6,408","5,885","5,390","4,986","4,432","4,418","4,418"
..AIAN,"1,834","1,821","1,779","1,738","1,708","1,709","1,648","1,599","1,499","1,443","1,436","1,436"
..Asian,"13,073","12,776","12,372","11,936","11,526","11,015","10,524","9,981","9,263","8,454","8,345","8,345"
..NHPI,274,268,262,255,246,244,237,241,231,216,216,216
.Two or More Races,"7,266","7,111","6,865","6,651","6,408","6,177","5,919","5,702","5,446","5,147","5,085","5,085"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"647,801","646,914","645,651","643,616","639,545","636,295","631,533","627,880","622,310","615,664","613,481","613,476"
..Black,"10,827","10,421","9,933","9,489","8,861","8,345","7,706","7,103","6,608","5,929","5,886","5,886"
..AIAN,"4,697","4,678","4,583","4,515","4,435","4,383","4,262","4,190","4,009","3,883","3,868","3,868"
..Asian,"15,480","15,105","14,606","14,104","13,584","12,990","12,398","11,750","10,946","10,011","9,872","9,872"
..NHPI,561,548,537,519,501,490,467,463,439,411,410,410
.NOT HISPANIC,"653,871","653,007","651,596","649,572","645,352","642,031","637,045","633,092","627,314","620,319","618,114","618,109"
..One Race,"647,042","646,323","645,142","643,315","639,322","636,211","631,461","627,711","622,169","615,453","613,310","613,305"
...White,"624,929","624,799","624,392","623,306","620,228","617,984","614,252","611,532","607,157","601,799","599,786","599,781"
...Black,"7,369","7,087","6,743","6,440","5,956","5,580","5,110","4,658","4,305","3,811","3,797","3,797"
...AIAN,"1,553","1,547","1,522","1,515","1,495","1,508","1,455","1,415","1,329","1,287","1,280","1,280"
...Asian,"12,957","12,661","12,261","11,835","11,432","10,929","10,440","9,898","9,180","8,373","8,264","8,264"
...NHPI,234,229,224,219,211,210,204,208,198,183,183,183
..Two or More Races,"6,829","6,684","6,454","6,257","6,030","5,820","5,584","5,381","5,145","4,866","4,804","4,804"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"631,517","631,243","630,618","629,332","626,041","623,592","619,629","616,702","612,110","606,477","604,405","604,400"
...Black,"9,559","9,202","8,751","8,355","7,773","7,304","6,736","6,183","5,743","5,142","5,098","5,098"
...AIAN,"4,265","4,253","4,180","4,149","4,088","4,048","3,955","3,895","3,730","3,626","3,608","3,608"
...Asian,"15,283","14,912","14,419","13,930","13,414","12,838","12,250","11,612","10,808","9,879","9,740","9,740"
...NHPI,492,485,470,457,439,431,412,409,389,361,359,359
.HISPANIC,"17,756","17,100","16,401","15,577","14,748","13,876","13,014","12,230","11,188","10,101","9,990","9,990"
..One Race,"17,319","16,673","15,990","15,183","14,370","13,519","12,679","11,909","10,887","9,820","9,709","9,709"
...White,"15,881","15,277","14,649","13,922","13,156","12,370","11,594","10,877","9,920","8,929","8,818","8,818"
...Black,"1,001",968,935,901,872,828,775,732,681,621,621,621
...AIAN,281,274,257,223,213,201,193,184,170,156,156,156
...Asian,116,115,111,101,94,86,84,83,83,81,81,81
...NHPI,40,39,38,36,35,34,33,33,33,33,33,33
..Two or More Races,437,427,411,394,378,357,335,321,301,281,281,281
..Race alone or in combination:1,,,,,,,,,,,,
...White,"16,284","15,671","15,033","14,284","13,504","12,703","11,904","11,178","10,200","9,187","9,076","9,076"
...Black,"1,268","1,219","1,182","1,134","1,088","1,041",970,920,865,787,788,788
...AIAN,432,425,403,366,347,335,307,295,279,257,260,260
...Asian,197,193,187,174,170,152,148,138,138,132,132,132
...NHPI,69,63,67,62,62,59,55,54,50,50,51,51
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2009 (SC-EST2009-03-33)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
