table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Asian,"3,439","3,152","2,976","2,912","2,730","2,615","2,483","2,301","2,193","2,070","2,054","2,054"
...NHPI,191,181,178,177,181,176,163,146,133,124,116,116
..Two or More Races,"5,640","5,425","5,246","5,074","4,927","4,725","4,569","4,419","4,250","4,095","4,060","4,060"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"351,264","348,356","345,793","342,836","339,916","338,172","335,879","334,461","333,894","333,370","333,064","333,069"
...Black,"6,966","6,441","6,189","5,838","5,459","5,188","4,866","4,592","4,297","4,023","3,976","3,976"
...AIAN,"36,000","35,550","35,163","34,797","34,451","34,194","33,728","33,377","33,080","32,937","32,857","32,857"
...Asian,"4,689","4,331","4,099","3,991","3,757","3,593","3,398","3,177","3,020","2,842","2,809","2,809"
...NHPI,417,388,372,371,361,354,332,312,292,275,263,263
.HISPANIC,"12,485","11,808","11,193","10,626","9,905","9,146","8,318","7,493","6,725","5,869","5,811","5,811"
..One Race,"12,132","11,465","10,866","10,311","9,606","8,862","8,048","7,232","6,476","5,628","5,571","5,571"
...White,"10,364","9,669","9,072","8,618","8,056","7,450","6,782","6,108","5,463","4,762","4,706","4,706"
...Black,381,341,310,286,262,235,204,171,139,110,110,110
...AIAN,"1,261","1,338","1,376","1,305","1,194","1,095",989,885,811,694,693,693
...Asian,48,46,43,41,41,39,38,37,37,37,37,37
...NHPI,78,71,65,61,53,43,35,31,26,25,25,25
..Two or More Races,353,343,327,315,299,284,270,261,249,241,240,240
..Race alone or in combination:1,,,,,,,,,,,,
