table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..White,"2,536,865","2,524,327","2,505,169","2,483,883","2,461,533","2,441,906","2,422,839","2,409,403","2,394,385","2,379,381","2,375,947","2,374,956"
..Black,"342,049","338,762","335,354","331,976","327,754","323,896","320,463","317,457","313,885","310,193","309,028","308,546"
..AIAN,"34,975","34,544","34,093","33,416","32,861","32,192","31,573","31,049","30,451","29,844","29,841","29,813"
..Asian,"53,347","51,798","50,239","48,464","46,604","44,584","42,709","41,052","39,243","37,596","37,049","37,042"
..NHPI,"4,987","4,830","4,698","4,475","4,305","4,098","3,971","3,839","3,683","3,559","3,380","3,378"
.NOT HISPANIC,"2,818,624","2,806,285","2,787,949","2,767,646","2,745,528","2,725,897","2,706,781","2,693,831","2,678,626","2,663,530","2,659,130","2,657,668"
..One Race,"2,777,477","2,766,258","2,749,048","2,730,011","2,709,069","2,690,802","2,672,739","2,660,850","2,646,838","2,632,915","2,628,816","2,627,375"
...White,"2,400,211","2,392,629","2,379,144","2,364,155","2,348,088","2,334,409","2,320,726","2,312,470","2,302,806","2,293,231","2,290,404","2,289,455"
...Black,"318,822","316,585","314,215","311,923","308,761","306,006","303,513","301,408","298,735","295,931","295,043","294,567"
...AIAN,"13,651","13,523","13,428","13,166","13,015","12,858","12,578","12,438","12,258","12,032","11,988","11,974"
...Asian,"42,508","41,301","40,100","38,725","37,275","35,697","34,164","32,844","31,426","30,170","29,846","29,844"
...NHPI,"2,285","2,220","2,161","2,042","1,930","1,832","1,758","1,690","1,613","1,551","1,535","1,535"
..Two or More Races,"41,147","40,027","38,901","37,635","36,459","35,095","34,042","32,981","31,788","30,615","30,314","30,293"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,437,819","2,429,178","2,414,629","2,398,436","2,381,247","2,366,285","2,351,617","2,342,334","2,331,554","2,320,858","2,317,976","2,317,008"
