table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for California: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Black,"1,207,955","1,198,899","1,192,852","1,190,866","1,190,525","1,188,716","1,184,567","1,182,182","1,177,945","1,170,160","1,167,444","1,167,444"
..AIAN,"227,283","222,444","218,544","216,613","215,549","213,946","212,236","210,352","208,451","205,935","204,635","204,634"
..Asian,"2,252,726","2,211,407","2,167,193","2,127,477","2,087,783","2,046,277","2,005,895","1,961,704","1,914,259","1,853,626","1,837,712","1,837,712"
..NHPI,"79,988","78,862","77,634","76,663","75,873","75,051","73,975","72,884","71,446","69,842","69,274","69,274"
.Two or More Races,"476,193","462,692","450,747","440,196","430,737","420,654","410,540","400,055","389,829","378,653","375,303","375,304"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"14,668,898","14,526,538","14,396,407","14,307,099","14,249,220","14,160,188","14,044,792","13,913,719","13,771,586","13,587,390","13,538,599","13,538,602"
..Black,"1,347,069","1,332,447","1,321,441","1,315,197","1,310,895","1,305,220","1,297,197","1,290,867","1,282,977","1,271,189","1,267,597","1,267,598"
..AIAN,"368,484","361,884","356,540","353,481","351,642","348,914","346,051","342,917","339,832","335,858","334,099","334,098"
..Asian,"2,499,132","2,450,512","2,399,441","2,353,788","2,308,410","2,260,938","2,214,700","2,164,283","2,110,654","2,042,853","2,025,798","2,025,798"
..NHPI,"140,956","138,151","135,461","133,028","130,964","128,647","126,228","123,612","120,335","116,628","116,046","116,046"
.NOT HISPANIC,"11,468,692","11,431,031","11,399,694","11,398,756","11,424,070","11,430,623","11,420,257","11,402,123","11,368,281","11,281,363","11,259,858","11,259,861"
..One Race,"11,090,077","11,061,886","11,038,934","11,045,508","11,077,478","11,091,150","11,087,970","11,077,271","11,050,763","10,972,081","10,953,054","10,953,056"
...White,"7,650,771","7,666,247","7,688,763","7,734,312","7,803,250","7,857,188","7,895,273","7,927,547","7,949,278","7,935,809","7,934,917","7,934,920"
...Black,"1,088,910","1,086,317","1,085,186","1,086,484","1,089,114","1,090,580","1,089,835","1,091,006","1,090,506","1,086,657","1,084,655","1,084,655"
...AIAN,"95,756","94,775","94,036","93,536","93,468","92,921","92,508","92,185","91,828","91,050","90,765","90,764"
...Asian,"2,192,511","2,153,022","2,110,201","2,071,230","2,032,277","1,991,705","1,952,384","1,909,315","1,862,992","1,803,587","1,788,163","1,788,163"
...NHPI,"62,129","61,525","60,748","59,946","59,369","58,756","57,970","57,218","56,159","54,978","54,554","54,554"
..Two or More Races,"378,615","369,145","360,760","353,248","346,592","339,473","332,287","324,852","317,518","309,282","306,804","306,805"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"7,972,763","7,979,674","7,994,609","8,033,443","8,096,347","8,143,878","8,175,436","8,201,056","8,216,464","8,195,971","8,192,417","8,192,421"
...Black,"1,200,573","1,193,624","1,188,708","1,186,704","1,186,242","1,184,763","1,181,042","1,179,192","1,175,894","1,168,880","1,166,307","1,166,308"
...AIAN,"193,570","192,254","191,231","190,580","190,677","189,955","189,353","188,901","188,379","187,174","186,711","186,710"
...Asian,"2,400,160","2,355,239","2,307,303","2,263,804","2,220,627","2,175,522","2,131,700","2,083,807","2,032,638","1,967,595","1,951,180","1,951,180"
...NHPI,"111,193","109,623","107,963","106,265","104,948","103,366","101,744","100,001","97,642","95,013","94,593","94,593"
.HISPANIC,"7,036,510","6,874,020","6,718,617","6,584,445","6,458,326","6,315,900","6,162,564","5,998,829","5,834,107","5,662,604","5,615,032","5,615,031"
..One Race,"6,938,932","6,780,473","6,628,630","6,497,497","6,374,181","6,234,719","6,084,311","5,923,626","5,761,796","5,593,233","5,546,533","5,546,532"
...White,"6,610,286","6,464,500","6,322,578","6,197,074","6,078,679","5,944,691","5,800,335","5,646,228","5,491,180","5,329,942","5,285,605","5,285,604"
...Black,"119,045","112,582","107,666","104,382","101,411","98,136","94,732","91,176","87,439","83,503","82,789","82,789"
...AIAN,"131,527","127,669","124,508","123,077","122,081","121,025","119,728","118,167","116,623","114,885","113,870","113,870"
...Asian,"60,215","58,385","56,992","56,247","55,506","54,572","53,511","52,389","51,267","50,039","49,549","49,549"
...NHPI,"17,859","17,337","16,886","16,717","16,504","16,295","16,005","15,666","15,287","14,864","14,720","14,720"
..Two or More Races,"97,578","93,547","89,987","86,948","84,145","81,181","78,253","75,203","72,311","69,371","68,499","68,499"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,696,135","6,546,864","6,401,798","6,273,656","6,152,873","6,016,310","5,869,356","5,712,663","5,555,122","5,391,419","5,346,182","5,346,181"
...Black,"146,496","138,823","132,733","128,493","124,653","120,457","116,155","111,675","107,083","102,309","101,290","101,290"
...AIAN,"174,914","169,630","165,309","162,901","160,965","158,959","156,698","154,016","151,453","148,684","147,388","147,388"
...Asian,"98,972","95,273","92,138","89,984","87,783","85,416","83,000","80,476","78,016","75,258","74,618","74,618"
...NHPI,"29,763","28,528","27,498","26,763","26,016","25,281","24,484","23,611","22,693","21,615","21,453","21,453"
FEMALE,"18,456,462","18,275,320","18,107,811","17,996,007","17,912,859","17,811,896","17,668,286","17,475,242","17,283,235","17,050,604","16,996,758","16,996,756"
.One Race,"17,966,188","17,798,153","17,642,437","17,540,293","17,466,006","17,374,383","17,241,052","17,059,004","16,877,243","16,655,379","16,604,478","16,604,476"
..White,"13,983,571","13,876,339","13,778,918","13,722,124","13,693,154","13,648,786","13,565,888","13,442,810","13,324,342","13,175,725","13,144,769","13,144,766"
..Black,"1,245,740","1,236,510","1,231,311","1,232,586","1,233,520","1,234,937","1,232,098","1,227,340","1,222,192","1,215,120","1,213,693","1,213,694"
..AIAN,"220,141","215,600","211,656","209,997","208,929","207,482","205,765","203,640","201,777","199,563","198,536","198,536"
..Asian,"2,437,266","2,391,426","2,343,472","2,299,281","2,255,024","2,208,684","2,163,829","2,112,980","2,058,190","1,995,765","1,978,819","1,978,819"
..NHPI,"79,470","78,278","77,080","76,305","75,379","74,494","73,472","72,234","70,742","69,206","68,661","68,661"
.Two or More Races,"490,274","477,167","465,374","455,714","446,853","437,513","427,234","416,238","405,992","395,225","392,280","392,280"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"14,400,812","14,281,970","14,174,084","14,108,666","14,071,857","14,019,236","13,927,173","13,794,404","13,667,060","13,509,417","13,475,706","13,475,703"
..Black,"1,391,069","1,376,590","1,366,658","1,364,056","1,361,399","1,359,355","1,352,747","1,343,992","1,335,389","1,324,725","1,322,311","1,322,312"
..AIAN,"371,480","365,234","359,715","357,133","355,450","353,099","350,107","346,395","343,392","339,568","338,444","338,444"
..Asian,"2,687,069","2,633,814","2,579,183","2,529,257","2,479,547","2,427,529","2,376,593","2,319,333","2,258,094","2,188,817","2,170,594","2,170,594"
..NHPI,"143,017","140,113","137,349","135,224","132,851","130,514","128,060","125,163","121,856","118,136","117,231","117,231"
.NOT HISPANIC,"11,811,597","11,780,361","11,756,039","11,765,384","11,796,183","11,821,366","11,816,503","11,775,500","11,736,056","11,658,372","11,645,232","11,645,231"
..One Race,"11,420,805","11,398,747","11,382,689","11,398,743","11,435,665","11,467,324","11,469,825","11,436,758","11,404,628","11,334,831","11,323,895","11,323,894"
...White,"7,761,860","7,788,543","7,820,955","7,877,099","7,954,595","8,028,223","8,075,453","8,094,805","8,119,553","8,116,459","8,123,432","8,123,430"
...Black,"1,123,430","1,120,411","1,120,142","1,124,543","1,128,402","1,132,921","1,133,382","1,132,253","1,130,662","1,127,275","1,126,445","1,126,446"
...AIAN,"98,411","97,526","96,680","96,233","96,102","95,719","95,157","94,469","93,985","93,153","92,954","92,954"
...Asian,"2,374,746","2,330,643","2,284,070","2,240,630","2,197,083","2,151,667","2,107,835","2,058,179","2,004,550","1,943,280","1,926,812","1,926,812"
...NHPI,"62,358","61,624","60,842","60,238","59,483","58,794","57,998","57,052","55,878","54,664","54,252","54,252"
..Two or More Races,"390,792","381,614","373,350","366,641","360,518","354,042","346,678","338,742","331,428","323,541","321,337","321,337"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"8,092,192","8,110,644","8,135,677","8,185,738","8,257,761","8,325,569","8,366,178","8,378,508","8,396,944","8,387,188","8,392,130","8,392,128"
...Black,"1,240,677","1,233,553","1,229,669","1,231,147","1,232,352","1,234,203","1,231,736","1,227,569","1,223,342","1,217,106","1,215,553","1,215,554"
...AIAN,"205,467","204,251","203,050","202,644","202,725","202,413","201,556","200,338","199,736","198,345","198,252","198,252"
...Asian,"2,584,683","2,535,104","2,483,469","2,435,754","2,388,120","2,338,443","2,289,908","2,235,245","2,176,557","2,109,890","2,092,347","2,092,347"
...NHPI,"113,267","111,564","109,834","108,443","106,807","105,263","103,573","101,524","99,078","96,386","95,675","95,675"
.HISPANIC,"6,644,865","6,494,959","6,351,772","6,230,623","6,116,676","5,990,530","5,851,783","5,699,742","5,547,179","5,392,232","5,351,526","5,351,525"
..One Race,"6,545,383","6,399,406","6,259,748","6,141,550","6,030,341","5,907,059","5,771,227","5,622,246","5,472,615","5,320,548","5,280,583","5,280,582"
...White,"6,221,711","6,087,796","5,957,963","5,845,025","5,738,559","5,620,563","5,490,435","5,348,005","5,204,789","5,059,266","5,021,337","5,021,336"
...Black,"122,310","116,099","111,169","108,043","105,118","102,016","98,716","95,087","91,530","87,845","87,248","87,248"
...AIAN,"121,730","118,074","114,976","113,764","112,827","111,763","110,608","109,171","107,792","106,410","105,582","105,582"
...Asian,"62,520","60,783","59,402","58,651","57,941","57,017","55,994","54,801","53,640","52,485","52,007","52,007"
...NHPI,"17,112","16,654","16,238","16,067","15,896","15,700","15,474","15,182","14,864","14,542","14,409","14,409"
..Two or More Races,"99,482","95,553","92,024","89,073","86,335","83,471","80,556","77,496","74,564","71,684","70,943","70,943"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,308,620","6,171,326","6,038,407","5,922,928","5,814,096","5,693,667","5,560,995","5,415,896","5,270,116","5,122,229","5,083,576","5,083,575"
...Black,"150,392","143,037","136,989","132,909","129,047","125,152","121,011","116,423","112,047","107,619","106,758","106,758"
...AIAN,"166,013","160,983","156,665","154,489","152,725","150,686","148,551","146,057","143,656","141,223","140,192","140,192"
...Asian,"102,386","98,710","95,714","93,503","91,427","89,086","86,685","84,088","81,537","78,927","78,247","78,247"
...NHPI,"29,750","28,549","27,515","26,781","26,044","25,251","24,487","23,639","22,778","21,750","21,556","21,556"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for California: April 1, 2000 to July 1, 2009 (SC-EST2009-03-06)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
