table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..One Race,"439,763","441,600","443,814","447,971","451,447","456,087","457,200","456,885","455,326","454,129","453,436","453,438"
...White,"396,482","398,696","401,234","405,302","409,214","414,037","416,033","416,700","416,299","416,107","415,612","415,614"
...Black,"27,061","26,891","26,749","26,660","26,211","26,073","25,388","24,789","24,067","23,431","23,353","23,353"
...AIAN,"2,177","2,192","2,205","2,277","2,258","2,264","2,254","2,225","2,195","2,177","2,168","2,168"
...Asian,"13,749","13,536","13,348","13,454","13,485","13,437","13,256","12,912","12,511","12,174","12,063","12,063"
...NHPI,294,285,278,278,279,276,269,259,254,240,240,240
..Two or More Races,"6,977","6,825","6,663","6,549","6,425","6,359","6,136","5,962","5,686","5,475","5,432","5,432"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"402,351","404,420","406,807","410,758","414,543","419,295","421,092","421,588","420,945","420,557","420,009","420,011"
...Black,"30,835","30,567","30,328","30,118","29,597","29,380","28,564","27,838","26,944","26,184","26,118","26,118"
...AIAN,"4,512","4,519","4,507","4,588","4,593","4,614","4,572","4,542","4,457","4,398","4,418","4,418"
...Asian,"15,794","15,535","15,300","15,385","15,357","15,293","15,034","14,642","14,153","13,744","13,566","13,566"
...NHPI,746,743,721,722,713,715,687,674,641,615,607,607
.HISPANIC,"64,750","62,603","60,666","59,023","57,097","55,357","53,297","50,615","47,889","45,201","44,765","44,765"
..One Race,"63,212","61,133","59,253","57,644","55,768","54,077","52,070","49,441","46,781","44,158","43,727","43,727"
...White,"54,004","52,247","50,568","49,024","47,272","45,695","43,811","41,390","38,906","36,456","36,083","36,083"
...Black,"7,122","6,897","6,786","6,810","6,764","6,741","6,715","6,615","6,534","6,447","6,382","6,382"
...AIAN,"1,172","1,126","1,081","1,024",984,943,884,818,761,701,705,705
...Asian,433,409,388,376,356,333,316,292,269,253,257,257
...NHPI,481,454,430,410,392,365,344,326,311,301,300,300
..Two or More Races,"1,538","1,470","1,413","1,379","1,329","1,280","1,227","1,174","1,108","1,043","1,038","1,038"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"55,351","53,536","51,807","50,222","48,434","46,819","44,884","42,415","39,875","37,370","36,990","36,990"
...Black,"8,356","8,063","7,920","7,908","7,826","7,763","7,690","7,551","7,419","7,280","7,212","7,212"
...AIAN,"1,478","1,420","1,371","1,301","1,273","1,210","1,144","1,063","1,002",927,930,930
...Asian,601,573,540,537,497,464,455,424,388,363,363,363
...NHPI,600,570,526,516,489,462,432,405,385,371,373,373
FEMALE,"541,719","542,474","543,866","546,653","550,020","553,611","554,871","552,572","549,150","545,931","544,682","544,684"
.One Race,"532,588","533,536","535,101","538,013","541,632","545,334","546,791","544,742","541,579","538,651","537,476","537,478"
..White,"479,801","481,061","483,062","486,331","489,937","494,050","496,000","495,069","493,239","491,532","490,629","490,631"
..Black,"33,434","33,250","33,077","32,843","32,849","32,684","32,474","31,879","31,137","30,335","30,196","30,196"
..AIAN,"3,452","3,437","3,405","3,397","3,401","3,325","3,277","3,193","3,094","3,046","3,037","3,037"
..Asian,"15,184","15,085","14,862","14,752","14,758","14,601","14,377","13,964","13,488","13,139","13,015","13,015"
..NHPI,717,703,695,690,687,674,663,637,621,599,599,599
.Two or More Races,"9,131","8,938","8,765","8,640","8,388","8,277","8,080","7,830","7,571","7,280","7,206","7,206"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"487,490","488,576","490,403","493,537","496,933","500,925","502,704","501,519","499,475","497,493","496,514","496,516"
