table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..NHPI,"3,755","3,578","3,342","3,234","3,061","3,018","2,850","2,816","2,776","2,657","2,625","2,625"
.Two or More Races,"58,914","56,616","53,208","49,924","46,742","44,274","41,562","39,526","37,180","34,795","34,299","34,305"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,473,751","3,429,355","3,359,382","3,293,405","3,217,228","3,169,708","3,124,440","3,097,338","3,058,934","3,015,098","3,001,056","3,001,814"
..Black,"982,694","966,331","944,088","925,141","904,843","891,517","877,862","870,365","857,892","845,460","840,521","840,673"
..AIAN,"78,769","77,396","75,474","73,798","71,954","70,868","69,355","68,367","67,237","65,952","65,496","65,499"
..Asian,"111,092","106,550","100,632","94,812","89,047","84,520","80,049","76,073","72,044","67,749","66,816","66,894"
..NHPI,"7,409","7,078","6,625","6,326","5,951","5,769","5,439","5,234","5,065","4,786","4,702","4,703"
.NOT HISPANIC,"4,192,103","4,146,408","4,074,124","4,007,726","3,928,321","3,881,699","3,836,670","3,812,202","3,774,641","3,731,940","3,715,117","3,716,073"
..One Race,"4,139,487","4,095,620","4,026,198","3,962,638","3,885,992","3,841,496","3,798,801","3,776,129","3,740,622","3,699,988","3,683,608","3,684,559"
...White,"3,061,452","3,035,418","2,990,377","2,948,346","2,894,838","2,865,758","2,838,694","2,825,720","2,804,455","2,778,377","2,767,421","2,768,151"
...Black,"932,515","918,938","900,006","883,785","866,096","854,688","843,262","837,240","826,563","815,956","811,568","811,712"
...AIAN,"51,405","50,905","50,317","49,739","49,064","48,784","48,260","47,897","47,576","47,207","46,918","46,920"
...Asian,"91,526","87,885","83,194","78,536","73,907","70,212","66,692","63,389","60,178","56,697","55,974","56,049"
...NHPI,"2,589","2,474","2,304","2,232","2,087","2,054","1,893","1,883","1,850","1,751","1,727","1,727"
