"","State","Year","MeanIncome","UnemploymentPercent","PovertyPercent","BlackArea","FemaleArea","PctVoteBush04","PctVoteKerry04","CrimeRate04","PropertyTax02","LocalTax02","Citi6006","Inst6006","Month"
"349","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"January"
"349.6","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"July"
"349.5","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"June"
"349.2","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"March"
"349.4","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"May"
"349.10","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"November"
"349.9","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"October"
"349.8","Oklahoma",2010,39618.7357142857,7.79357142857143,0.108404148077326,0.070225559,0.50759023,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066000000001,44.3653999999999,"September"
"350.3","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"April"
"350.7","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"August"
"350.11","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"December"
"350.1","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"February"
"350","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"January"
"350.6","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"July"
"350.5","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"June"
"350.2","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"March"
"350.4","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"May"
"350.10","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"November"
"350.9","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"October"
"350.8","Oklahoma",2011,42662.9433198381,6.5923076923077,0.096718273287722,0.040451881,0.50919384,67.4277922077923,32.5722077922076,2830.76285714284,395.26116883117,621.432857142858,29.0065999999999,44.3654,"September"
"351.3","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"April"
"351.7","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"August"
"351.11","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"December"
"351.1","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"February"
"351","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"January"
"351.6","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"July"
"351.5","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"June"
"351.2","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"March"
"351.4","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"May"
"351.10","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"November"
"351.9","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"October"
"351.8","Oklahoma",2012,41309.4108527132,7.22214839424136,0.10415367760251,0.095456786,0.51038915,67.4277922077909,32.5722077922074,2830.76285714284,395.261168831165,621.432857142867,29.0066000000004,44.3654,"September"
"352.3","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"April"
"352.7","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"August"
"352.11","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"December"
"352.1","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"February"
"352","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"January"
"352.6","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"July"
"352.5","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"June"
"352.2","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"March"
"352.4","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"May"
"352.10","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"November"
"352.9","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"October"
"352.8","Oklahoma",2013,NA,NA,NA,NA,NA,67.4277922077925,32.5722077922075,2830.76285714284,395.261168831172,621.432857142857,29.0066000000002,44.3653999999999,"September"
"353.3","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"April"
"353.7","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"August"
"353.11","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"December"
"353.1","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"February"
"353","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"January"
"353.6","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"July"
"353.5","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"June"
"353.2","Oklahoma",2014,NA,NA,NA,NA,NA,67.4277922077921,32.5722077922078,2830.76285714285,395.261168831168,621.432857142858,29.0066,44.3653999999999,"March"
