st1,income,unemploy,poverty,black_area,female_area,pctbush04mean,pctkerry04mean,crimerate04mean,proptaxpercap02mean,loctaxpercap02mean,citi6006,inst6006,Year
AK,61887.73684210526,5.760526315789476,.0809199412010218,.019178441,.23203647,,,,1804.137777777776,2421.960000000001,28.24030000000002,13.16669999999999,2006
AK,64969,7.1,.0935175195336342,.0064459974,.18774924,,,,1804.137777777777,2421.96,28.2403,13.1667,2007
AK,74396,5.3,.0703258439898491,.039960083,.21518244,,,,1804.137777777777,2421.96,28.2403,13.1667,2008
AK,72210,6.599999999999999,.0737628191709518,.069115296,.49237177,,,,1804.137777777777,2421.96,28.2403,13.1667,2009
AK,69267.5,6.812499999999998,.0580980069935322,.058671214,.49716744,,,,1804.137777777778,2421.96,28.24029999999999,13.16669999999999,2010
AK,70524,6.800000000000002,.0582192055881023,.059775345,.49949971,,,,1804.137777777777,2421.96,28.24030000000001,13.16669999999999,2011
AK,70485.03875968992,6.800387596899195,.0582154474921467,.05974111,.49942738,,,,1804.137777777783,2421.960000000001,28.24030000000015,13.16670000000008,2012
AK,,,,,,,,,1804.137777777777,2421.96,28.2403,13.1667,2014
AL,38631.61396011396,3.658547008547,.1658454275453872,.13540141,.26245239,61.16567164179217,38.23567164179153,3276.425074626864,201.1068656716405,465.6231343283609,38.49460000000071,42.625,2006
AL,40216.91891891892,3.663963963963968,.1714070403092616,.17223303,.26282147,61.16567164179105,38.23567164179111,3276.425074626866,201.1068656716416,465.623134328358,38.4946,42.625,2007
AL,41059.98701298701,4.842857142857143,.1640803501396984,.08619678,.24672928,61.16567164179105,38.23567164179109,3276.425074626866,201.1068656716416,465.6231343283581,38.4946,42.625,2008
AL,43297.24087591241,9.491605839416069,.1586077633130289,.28249401,.51950908,61.16567164179109,38.23567164179091,3276.425074626842,201.106865671643,465.623134328358,38.4946,42.625,2009
AL,40514.80555555555,9.334953703703723,.0968478021763817,.32363987,.52305031,61.16567164179174,38.23567164179087,3276.42507462686,201.1068656716421,465.6231343283631,38.49460000000003,42.625,2010
AL,38859.13383208645,9.632502078137954,.1009724580946805,.25188586,.51809675,61.16567164179246,38.23567164179196,3276.425074626792,201.1068656716394,465.6231343283574,38.4946000000001,42.625,2011
AL,41077.54342605564,9.440804482689146,.095546186468304,.22693054,.51670796,61.16567164178448,38.2356716417869,3276.425074626488,201.1068656716811,465.6231343283881,38.49459999999517,42.625,2012
AL,,,,,,61.16567164179274,38.23567164179008,3276.425074627043,201.1068656716577,465.6231343283387,38.49460000000287,42.625,2013
AL,,,,,,61.16567164179178,38.23567164179094,3276.425074626862,201.1068656716419,465.6231343283634,38.49460000000009,42.625,2014
AR,36812.14739884393,5.705202312138715,.1748531767829305,.093691833,.2518031,53.32626666666684,45.4905333333335,3076.752567567544,159.7289333333324,350.5552000000017,49.17879999999984,43.75,2006
AR,35881.71428571428,5.920408163265301,.1988779075798534,.10310256,.26311362,53.32626666666675,45.49053333333337,3076.752567567571,159.728933333333,350.5552000000006,49.1787999999999,43.75,2007
AR,39642.01666666667,5.481666666666666,.177843892822663,.10620821,.26643327,53.32626666666661,45.4905333333333,3076.75256756757,159.7289333333332,350.5552,49.17880000000002,43.75,2008
AR,33799.28947368421,8.131578947368419,.2075300228438879,.20124306,.50918788,53.32626666666669,45.49053333333335,3076.752567567568,159.7289333333331,350.5552000000002,49.17879999999997,43.75,2009
AR,40212.88444444445,7.592444444444426,.0984078704317411,.20450352,.51762557,53.3262666666668,45.49053333333345,3076.752567567557,159.7289333333326,350.5552000000013,49.17879999999982,43.75,2010
AR,37870.85822306238,8.039130434782592,.1057598326066491,.14569323,.51250666,53.32626666666687,45.49053333333352,3076.752567567573,159.7289333333323,350.5552000000019,49.17880000000041,43.75,2011
AR,38546.21343445287,7.92708559046589,.1029642116468105,.10602537,.51022762,53.32626666666567,45.49053333333276,3076.752567567537,159.7289333333322,350.5552000000022,49.17880000000088,43.75,2012
AR,,,,,,53.32626666666679,45.49053333333343,3076.752567567563,159.7289333333327,350.5552000000011,49.17879999999984,43.75,2013
AR,,,,,,53.32626666666669,45.49053333333335,3076.752567567567,159.7289333333332,350.5552,49.17879999999998,43.75,2014
AZ,45768.82408660352,5.321380243572393,.1482915200383802,.018429177,.20748761,55.16800000000007,44.05333333333329,4042.328000000051,602.9373333333231,868.3246666666729,46.36760000000042,52.875,2006
AZ,52386.28571428572,3.501242236024843,.1344498879976154,.018984899,.20310791,55.16799999999984,44.05333333333329,4042.327999999989,602.9373333333348,868.3246666666663,46.36759999999983,52.875,2007
AZ,46392.02953586498,6.381012658227831,.1508376922159758,.012545739,.20342147,55.16799999999978,44.05333333333329,4042.327999999986,602.9373333333349,868.324666666662,46.36759999999975,52.875,2008
AZ,44318.46590909091,9.028409090909081,.181459716944532,.035102937,.50626081,55.16799999999998,44.05333333333329,4042.327999999997,602.9373333333345,868.3246666666672,46.36760000000003,52.875,2009
AZ,46888.47878787879,11.28121212121212,.0975514934370012,.041578274,.50665355,55.16799999999983,44.05333333333329,4042.327999999989,602.9373333333348,868.324666666666,46.36759999999983,52.875,2010
AZ,47851.84334763949,10.53980686695291,.091279272517677,.045444705,.50814283,55.16799999999961,44.05333333333402,4042.328000000085,602.9373333333195,868.3246666666747,46.36759999999988,52.875,2011
AZ,46556.82504388531,10.53042715038007,.0920196892709987,.040719327,.50836486,55.16800000000307,44.0533333333339,4042.327999999854,602.9373333333097,868.324666666673,46.36759999999834,52.875,2012
