"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"44","Alabama",2010,"July",89,317826.95,34,3381.02,51,37672.43,0,0,0,0,0,0,0,0,"Alabama",2010,"July",16.5,0,0
"43","Alabama",2010,"June",191,227524.11,59,59951.15,100,45256.92,0,0,0,0,0,0,0,0,"Alabama",2010,"June",13.1714285714286,0,0
"40","Alabama",2010,"March",417,418768.75,80,12544.68,59,52732.76,2,8.46,0,0,85,230218.85,0,0,"Alabama",2010,"March",14.3030303030303,0,0
"42","Alabama",2010,"May",97,252420.81,5,428.69,82,94181.62,0,0,0,0,0,0,0,0,"Alabama",2010,"May",7.43333333333333,0,0
"48","Alabama",2010,"November",766,95399.51,152,16287.27,92,68310.36,500,4655,0,0,0,0,2,626.91,"Alabama",2010,"November",11,0,0
"47","Alabama",2010,"October",137,61462.87,75,4933.15,9,2076.97,0,0,0,0,0,0,1,500,"Alabama",2010,"October",26.1704545454545,0,0
"46","Alabama",2010,"September",180,405669.48,4,2654.28,88,239493.45,0,0,27,21420.62,5,192.4,0,0,"Alabama",2010,"September",18.0714285714286,0,0
"53","Alabama",2011,"April",270,476867.99,180,29504.59,48,156577.1,4,318.44,3,15728.52,0,0,0,0,"Alabama",2011,"April",23.5684210526316,0,0
"57","Alabama",2011,"August",1256,776631.44,141,63479.4,309,433918.68,760,7527,3,2389.65,0,0,0,0,"Alabama",2011,"August",10.4950495049505,0,0
"61","Alabama",2011,"December",1141,988524.73,303,29105.74,390,287396.51,138,2629.74,0,0,0,0,0,0,"Alabama",2011,"December",11.6455696202532,0,0
"51","Alabama",2011,"February",264,137083.9,142,19708.4,54,25095.25,6,32.46,20,2980,4,940.66,0,0,"Alabama",2011,"February",3.44444444444444,0,0
"50","Alabama",2011,"January",211,134532.82,63,4207.25,70,57741.28,4,1119.02,0,0,0,0,0,0,"Alabama",2011,"January",17.8285714285714,0,0
"56","Alabama",2011,"July",512,2213771.51,62,600190.65,162,755401.39,11,401.05,1,271.49,9,6833.97,0,0,"Alabama",2011,"July",17.1232876712329,0,0
"55","Alabama",2011,"June",455,666955.29,37,15111.64,109,426004.11,200,1862,0,0,0,0,0,0,"Alabama",2011,"June",13.5263157894737,0,0
"52","Alabama",2011,"March",299,300468.4,167,51170.72,60,25855.28,50,465.5,2,8168.9,9,2070,0,0,"Alabama",2011,"March",12.9736842105263,0,0
"54","Alabama",2011,"May",376,335764.11,93,37735.8,38,159331.31,0,0,10,1395.82,0,0,0,0,"Alabama",2011,"May",18.2162162162162,0,0
"60","Alabama",2011,"November",391,1095461.18,200,13506.7,108,517058.72,0,0,1,5659,0,0,0,0,"Alabama",2011,"November",16.4174757281553,0,0
"59","Alabama",2011,"October",980,959950.14,541,234775.64,191,160896.07,100,3287.2,19,292.6,0,0,2,365.26,"Alabama",2011,"October",19.4322580645161,0,0
"58","Alabama",2011,"September",567,895288.63,79,16463.76,264,252568.04,119,1107.09,1,303.78,2,57.36,0,0,"Alabama",2011,"September",13.7202797202797,0,0
"65","Alabama",2012,"April",8094,8999711.04,367,16540.78,539,2201952.31,24,682.08,89,151806.25,374,49173.92,536,218430.63,"Alabama",2012,"April",16.4929178470255,0,0
"69","Alabama",2012,"August",11771,5341529.39,672,28200.25,259,267985.03,431,21798.4,65,139179.77,265,64811.65,1016,1053789.23,"Alabama",2012,"August",12.1108518086348,0,0
"73","Alabama",2012,"December",4390,4046961.21,980,304935.64,145,1490152.42,361,36440.49,41,93690.49,316,22381.71,60,29234.19,"Alabama",2012,"December",12.8629707112971,0,0
"63","Alabama",2012,"February",7343,5434394.3,663,31348.05,264,596822.95,25,1576.5,30,228175.47,783,58492.92,431,492393.87,"Alabama",2012,"February",16.1411411411411,0,0
"62","Alabama",2012,"January",7711,5674278.15,226,19696.25,305,1149676.93,555,9083.75,8,38508.88,92,713570.32,281,421256.26,"Alabama",2012,"January",18.1229357798165,0,0
"68","Alabama",2012,"July",23214,13434208.09,578,87540.58,483,530753.48,412,5850.5,165,218929.31,462,1049300.26,1555,1865446.15,"Alabama",2012,"July",16.4647535870243,0,0
"67","Alabama",2012,"June",9861,7137111.28,266,16586.21,421,1009890.8,282,2944.81,59,132637.81,146,91715.3,583,344262.18,"Alabama",2012,"June",14.306170886076,0,0
"64","Alabama",2012,"March",11600,6967570.63,311,71893.69,349,864770.89,872,10735.74,88,229957.74,744,136925.09,672,708781.66,"Alabama",2012,"March",17.1989690721649,0,0
"66","Alabama",2012,"May",11383,15585868.05,1728,466278.34,844,862701.08,577,5784.57,78,238368.43,558,148584.56,1149,546746.54,"Alabama",2012,"May",14.1107644305772,0,0
"72","Alabama",2012,"November",2305,2454688.9,176,3512.03,437,636048.79,30,279.3,102,132899.01,55,10597.15,209,137594.65,"Alabama",2012,"November",15.7673611111111,0,0
"71","Alabama",2012,"October",920,1469321.31,104,35065.81,170,239661.8,77,716.87,100,411440.86,39,2915.18,32,159990.53,"Alabama",2012,"October",22.3006993006993,0,0
"70","Alabama",2012,"September",1126,594641.79,247,9395.31,89,94961.54,0,0,2,0,150,7362,11,613.4,"Alabama",2012,"September",9.73407202216067,0,0
"77","Alabama",2013,"April",4701,3444035.99,156,175988.8,115,488368.35,784,7251.64,13,100588.3,68,61437.21,211,1491,"Alabama",2013,"April",18.7927272727273,0,0
"81","Alabama",2013,"August",2276,3891093.25,30,666619.76,114,277411.43,43,892.54,18,6542.63,30,1623.9,107,21667.2,"Alabama",2013,"August",15.7933579335793,0,0
"85","Alabama",2013,"December",2817,3467112.74,164,8237.78,203,538682.47,578,5580.44,26,10711.13,40,57727.05,61,10395.93,"Alabama",2013,"December",13.9074733096085,0,0
"75","Alabama",2013,"February",2779,1656306.18,218,80331.51,144,439493.82,528,56942.7,19,109894.56,9,62.01,1163,104760.64,"Alabama",2013,"February",10.1117824773414,0,0
"74","Alabama",2013,"January",5174,2652297.69,1548,148043.94,260,364425.12,561,5149.79,26,136843.11,28,40512.22,252,135499.32,"Alabama",2013,"January",17.2233429394813,0,0
"80","Alabama",2013,"July",2779,3631684.84,41,1053.29,38,13274.3,298,3189.3,44,200890.17,27,4960.12,177,57456.63,"Alabama",2013,"July",15.7941176470588,0,0
"79","Alabama",2013,"June",11131,4605634.82,188,102897.36,83,291959.56,1625,7508.75,40,64223.29,100,47939.84,441,12501.3,"Alabama",2013,"June",16.0345911949686,0,0
"76","Alabama",2013,"March",83,505563.03,15,385.35,1,6392,0,0,6,142028,0,0,0,0,"Alabama",2013,"March",17.6190476190476,0,0
"78","Alabama",2013,"May",8993,7599478.36,433,643650.07,379,175524.3,190,1592.51,49,20634.22,79,45361.59,844,113035.85,"Alabama",2013,"May",17.4560747663551,0,0
