"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"350","California",2013,"February",19430,2386472.03,713,420954.26,468,299556.98,1883,10658.88,56,61107.53,793,38912.06,588,28159.97,"California",2013,"February",16.5136518771331,0,0
"349","California",2013,"January",14053,2217186.99,360,18827.48,532,399206.81,510,4962,2,837.87,720,34494.43,3689,193495.18,"California",2013,"January",16.9258160237389,0,0
"355","California",2013,"July",9899,1263434.07,273,21788.35,162,399357.99,52,3070.62,86,36534.72,511,11251.43,369,56680.47,"California",2013,"July",15.9009900990099,0,0
"354","California",2013,"June",19139,1591057.18,99,29344.4,124,75924.01,1743,19319.9,28,72639.94,427,14377.37,1235,244824.02,"California",2013,"June",14.877990430622,0,0
"351","California",2013,"March",24781,1795584.21,246,15437.6,102,120350.62,294,1590.54,13,18787.34,154,10702.54,381,78545.81,"California",2013,"March",13.8698060941828,0,0
"353","California",2013,"May",12929,2534983.2,290,35694.25,128,120673.75,439,3911.1,14,95769.87,1197,238507.8,1443,162891.12,"California",2013,"May",15.0688336520076,0,0
"359","California",2013,"November",13582,4623724.57,190,62655.76,617,1882380.95,0,0,41,4663.68,2869,127656.27,1439,84822.18,"California",2013,"November",13.8317757009346,0,0
"358","California",2013,"October",96023,1112985.41,245,38905.54,347,464471.05,86,649.54,41,4909.67,493,17154.08,563,72310.43,"California",2013,"October",16.6524390243902,0,0
"357","California",2013,"September",8972,11430893.75,273,8089777.57,681,1344312.3,255,3850,110,67219.06,831,49934.05,979,100670.69,"California",2013,"September",13.3341232227488,0,0
"364","California",2014,"April",10065,1586567.1,257,4225.26,333,129840.15,245,2923.65,11,1376.28,100,31730.81,1438,103431.14,"California",2014,"April",11.5052631578947,0,0
"362","California",2014,"February",23323,9658252.39,258,5895754.15,948,609934.67,0,0,183,326763.22,982,40590.87,1939,108875.1,"California",2014,"February",15.8733333333333,0,0
"361","California",2014,"January",7564,2399539.77,225,47149.68,447,645984.11,318,948.8,14,50825.8,534,22280.47,914,232343,"California",2014,"January",16.6434540389972,0,0
"363","California",2014,"March",76912,4356922.25,335,34878.37,2050,1692791.74,191,4077.73,131,171249.88,141,12942.16,1234,175780.11,"California",2014,"March",16.3922651933702,0,0
"3558","Colorado",2005,"December",1286,1222224.19,1278,1208388.5,8,13835.69,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"367","Colorado",2006,"August",1,138,1,138,0,0,0,0,0,0,0,0,0,0,"Colorado",2006,"August",1,0,0
"366","Colorado",2006,"July",343,145419.65,343,145419.65,0,0,0,0,0,0,0,0,0,0,"Colorado",2006,"July",29.7405247813411,0,0
"365","Colorado",2006,"June",113,57584,113,57584,0,0,0,0,0,0,0,0,0,0,"Colorado",2006,"June",23.8672566371681,0,0
"369","Colorado",2006,"November",237,78437.06,237,78437.06,0,0,0,0,0,0,0,0,0,0,"Colorado",2006,"November",13.3586497890295,0,0
"368","Colorado",2006,"October",347,155464,347,155464,0,0,0,0,0,0,0,0,0,0,"Colorado",2006,"October",24.4121037463977,0,0
"372","Colorado",2007,"August",16,2569,16,2569,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"August",28,0,0
"375","Colorado",2007,"December",3,1136,3,1136,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"December",26,0,0
"370","Colorado",2007,"February",97,14526,97,14526,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"February",21.9690721649485,0,0
"371","Colorado",2007,"March",26,3588,26,3588,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"March",27,0,0
"374","Colorado",2007,"October",4,2832,4,2832,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"October",24,0,0
"373","Colorado",2007,"September",50,15925,50,15925,0,0,0,0,0,0,0,0,0,0,"Colorado",2007,"September",7,0,0
"376","Colorado",2008,"April",15,4878.71,15,4878.71,0,0,0,0,0,0,0,0,0,0,"Colorado",2008,"April",9.53333333333333,0,0
"378","Colorado",2008,"August",18,2845,18,2845,0,0,0,0,0,0,0,0,0,0,"Colorado",2008,"August",17.0555555555556,0,0
"380","Colorado",2008,"December",15,2070,15,2070,0,0,0,0,0,0,0,0,0,0,"Colorado",2008,"December",5,0,0
"377","Colorado",2008,"July",38,4908.84,38,4908.84,0,0,0,0,0,0,0,0,0,0,"Colorado",2008,"July",30.3947368421053,0,0
"379","Colorado",2008,"October",13,763.23,13,763.23,0,0,0,0,0,0,0,0,0,0,"Colorado",2008,"October",15.4615384615385,0,0
"387","Colorado",2009,"August",4,1200,0,0,4,1200,0,0,0,0,0,0,0,0,"Colorado",2009,"August",11,0,0
"391","Colorado",2009,"December",15,4527.3,0,0,0,0,0,0,0,0,0,0,0,0,"Colorado",2009,"December",7,0,0
"382","Colorado",2009,"February",12,2625.67,8,653.55,4,1972.12,0,0,0,0,0,0,0,0,"Colorado",2009,"February",23.4,0,0
"381","Colorado",2009,"January",8,1850.2,1,138,7,1712.2,0,0,0,0,0,0,0,0,"Colorado",2009,"January",16.6666666666667,0,0
"386","Colorado",2009,"July",146,64341.36,10,2039.2,132,50542.16,0,0,0,0,4,11760,0,0,"Colorado",2009,"July",25.5,0,0
"385","Colorado",2009,"June",5,66614,0,0,4,1544,0,0,0,0,0,0,0,0,"Colorado",2009,"June",11,0,0
"383","Colorado",2009,"March",35,11704,0,0,35,11704,0,0,0,0,0,0,0,0,"Colorado",2009,"March",19,0,0
"384","Colorado",2009,"May",22,7058.64,1,8.64,21,7050,0,0,0,0,0,0,0,0,"Colorado",2009,"May",8,0,0
"390","Colorado",2009,"November",5,1297.33,1,90.05,0,0,0,0,0,0,0,0,0,0,"Colorado",2009,"November",16,0,0
"389","Colorado",2009,"October",51,1043.81,0,0,0,0,0,0,0,0,0,0,0,0,"Colorado",2009,"October",15,0,0
"388","Colorado",2009,"September",151,330138.35,40,68043.08,65,226240,0,0,0,0,1,256.11,15,2415,"Colorado",2009,"September",6.13888888888889,0,0
"394","Colorado",2010,"April",51,11489.1,0,0,36,11489.1,0,0,0,0,0,0,0,0,"Colorado",2010,"April",15.3913043478261,0,0
"398","Colorado",2010,"August",181,67656.99,115,13511.55,8,53264,0,0,0,0,0,0,0,0,"Colorado",2010,"August",2.99180327868852,0,0
"402","Colorado",2010,"December",3,360,3,360,0,0,0,0,0,0,0,0,0,0,"Colorado",2010,"December",16,0,0
"392","Colorado",2010,"February",10,4255.21,1,71.21,9,4184,0,0,0,0,0,0,0,0,"Colorado",2010,"February",19.3333333333333,0,0
"397","Colorado",2010,"July",3,1905.89,0,0,0,0,0,0,0,0,0,0,0,0,"Colorado",2010,"July",22,0,0
"396","Colorado",2010,"June",23,77052.52,12,704.52,10,44956,0,0,0,0,0,0,0,0,"Colorado",2010,"June",12.6111111111111,0,0
"393","Colorado",2010,"March",14,154752.38,6,463.44,5,4628.94,0,0,0,0,0,0,0,0,"Colorado",2010,"March",22.125,0,0
"395","Colorado",2010,"May",5,1640,0,0,5,1640,0,0,0,0,0,0,0,0,"Colorado",2010,"May",9.5,0,0
"401","Colorado",2010,"November",23,91880.02,13,90913.52,10,966.5,0,0,0,0,0,0,0,0,"Colorado",2010,"November",5.28571428571429,0,0
"400","Colorado",2010,"October",15,68073.9,0,0,11,1100,0,0,0,0,0,0,0,0,"Colorado",2010,"October",22.75,0,0
"399","Colorado",2010,"September",5,2085.82,2,1059.82,3,1026,0,0,0,0,0,0,0,0,"Colorado",2010,"September",7.5,0,0
"406","Colorado",2011,"April",69,61915.84,3,797.13,33,17986.78,0,0,0,0,0,0,0,0,"Colorado",2011,"April",12.1764705882353,0,0
"410","Colorado",2011,"August",55,80934.94,34,700.32,1,328,0,0,0,0,0,0,0,0,"Colorado",2011,"August",18.0769230769231,0,0
"414","Colorado",2011,"December",198,109251.48,80,21140.84,38,23107.77,67,623.77,0,0,0,0,0,0,"Colorado",2011,"December",19,0,0
"404","Colorado",2011,"February",50,236028.99,36,210598.1,11,23525,0,0,0,0,0,0,0,0,"Colorado",2011,"February",14.1304347826087,0,0
"403","Colorado",2011,"January",210,47143.11,155,4497.48,21,13536.68,0,0,0,0,0,0,0,0,"Colorado",2011,"January",24.0789473684211,0,0
"409","Colorado",2011,"July",33,144943.45,13,68.88,5,141938,0,0,0,0,0,0,0,0,"Colorado",2011,"July",12.6666666666667,0,0
"408","Colorado",2011,"June",21,6125.77,8,996,10,4452,0,0,0,0,0,0,0,0,"Colorado",2011,"June",18.4705882352941,0,0
"405","Colorado",2011,"March",103,425916.6,36,289701.3,21,42686,40,372.4,0,0,0,0,0,0,"Colorado",2011,"March",15.1666666666667,0,0
"407","Colorado",2011,"May",30,8264.99,4,1062.84,10,5648,0,0,0,0,0,0,0,0,"Colorado",2011,"May",10.6666666666667,0,0
"413","Colorado",2011,"November",138,890748.92,19,761552.67,36,19814.52,8,74.48,0,0,0,0,0,0,"Colorado",2011,"November",18.3611111111111,0,0
"412","Colorado",2011,"October",62,139442.68,5,423.14,15,11277.6,22,204.82,0,0,0,0,0,0,"Colorado",2011,"October",17.7058823529412,0,0
"411","Colorado",2011,"September",35,30097.99,3,17.37,15,4130,0,0,0,0,0,0,0,0,"Colorado",2011,"September",11.2857142857143,0,0
"418","Colorado",2012,"April",2210,512554.56,160,18879.91,74,30342.06,122,921,1,719,91,4879.05,86,2132.48,"Colorado",2012,"April",19.1889763779528,0,0
"422","Colorado",2012,"August",1379,446195.36,2,862.18,49,92162.56,66,61093.23,0,0,14,842.94,492,43467,"Colorado",2012,"August",10.4105960264901,0,0
"426","Colorado",2012,"December",1007,101352.83,53,4014.53,15,3292.1,50,410.6,15,27052,45,1362.04,20,9566.98,"Colorado",2012,"December",14.1,0,0
"416","Colorado",2012,"February",2030,876126.26,10,182648.84,115,339894,90,1250.63,2,5000.02,111,6590.03,191,65283.7,"Colorado",2012,"February",13.6369863013699,0,0
"415","Colorado",2012,"January",5929,690604.23,25,1675.16,6,1968,1628,18585.87,1,20947,35,2210.95,209,77998.5,"Colorado",2012,"January",19.6483253588517,0,0
"421","Colorado",2012,"July",1871,519459.92,59,4279.51,50,63667.66,26,241.76,0,0,201,23434.54,37,7199.4,"Colorado",2012,"July",14.53,0,0
"420","Colorado",2012,"June",662,304826.4,2,9808,28,21338.87,0,0,2,2400,74,4117.4,6,63427.72,"Colorado",2012,"June",10.6891891891892,0,0
"417","Colorado",2012,"March",1466,626556.04,56,42793.01,47,49685.79,30,444.6,1,58235,47,2627.04,11,3752.22,"Colorado",2012,"March",14.1939393939394,0,0
"419","Colorado",2012,"May",2685,735448.49,100,11510.61,21,90803.15,0,0,7,6370.09,114,7834.66,1,6585.59,"Colorado",2012,"May",15.2294372294372,0,0
"425","Colorado",2012,"November",159,219880.98,6,756,50,167884.92,0,0,3,0,6,553.5,11,2060.1,"Colorado",2012,"November",16.3382352941176,0,0
"424","Colorado",2012,"October",52,96640.29,1,90209,1,0,0,0,0,0,30,1652.7,0,0,"Colorado",2012,"October",22.4444444444444,0,0
"423","Colorado",2012,"September",1,25000,0,0,0,0,0,0,0,0,0,0,0,0,"Colorado",2012,"September",5,0,0
"430","Colorado",2013,"April",1545,379280.84,90,15404.83,125,100386.8,58,1140.63,6,19091.63,29,3069.25,230,40231.26,"Colorado",2013,"April",18.3834586466165,0,0
"434","Colorado",2013,"August",1325,1095379.3,17,14482.18,92,37402.12,117,1071.62,14,131316.82,76,3630,136,22681.76,"Colorado",2013,"August",13.9585253456221,0,0
"438","Colorado",2013,"December",1567,512947.05,67,22685.82,61,123495.47,130,2164.2,2,0,222,10207.14,64,26487.78,"Colorado",2013,"December",17.9657142857143,0,0
"428","Colorado",2013,"February",920,191939.22,29,2713.85,28,12944,86,2356.56,2,10303.85,24,14067.82,78,11289.77,"Colorado",2013,"February",16.9663865546218,0,0
"427","Colorado",2013,"January",1644,568668.1,255,10374.19,148,119229.94,115,861.8,33,45864.47,111,4419,302,58463.07,"Colorado",2013,"January",9.40476190476191,0,0
"433","Colorado",2013,"July",1232,1421635.07,308,9454.7,9,28111.54,200,1426.4,1,0,28,1639.48,168,200162.02,"Colorado",2013,"July",20.3333333333333,0,0
"432","Colorado",2013,"June",955,345630.85,10,1308,19,88779.47,185,1724.94,0,0,20,769.6,195,74766.05,"Colorado",2013,"June",16.2328767123288,0,0
"429","Colorado",2013,"March",675,320324.34,15,1873.65,79,77432.5,50,555,6,80659.88,120,6877.44,89,19735.98,"Colorado",2013,"March",16.3142857142857,0,0
"431","Colorado",2013,"May",985,1166231.61,184,33906.86,45,46271.72,255,2391.95,12,45893.15,25,1091.9,108,545493.63,"Colorado",2013,"May",15.5977011494253,0,0
"437","Colorado",2013,"November",1837,1419012.68,250,832117.82,68,201835.11,50,1582.5,4,2430.41,131,9205.71,405,137645.42,"Colorado",2013,"November",18.340206185567,0,0
"436","Colorado",2013,"October",1677,1154320.14,1,658000,49,13366,2,74,14,0,115,7017.01,337,37670.31,"Colorado",2013,"October",17.7272727272727,0,0
"435","Colorado",2013,"September",1450,925564.68,8,661832.65,20,12899.67,180,3420.66,5,4413,80,3165.34,376,80812.29,"Colorado",2013,"September",17.9280575539568,0,0
"442","Colorado",2014,"April",636,437257.81,14,3173.04,6,46188.77,0,0,2,0,13,0,0,0,"Colorado",2014,"April",14.3839285714286,0,0
"440","Colorado",2014,"February",1028,2760043.05,15,2219875.8,15,37980,20,222,3,0,66,3828.87,5,112766.65,"Colorado",2014,"February",16.4649122807018,0,0
"439","Colorado",2014,"January",1293,356295.11,14,4275.64,4,22790,360,3592.8,0,0,155,6631.03,4,3074.84,"Colorado",2014,"January",19.76,0,0
"441","Colorado",2014,"March",1543,692210.28,88,1608.25,53,81349,273,2758.14,2,0,108,3155.56,353,39775.54,"Colorado",2014,"March",16.0454545454545,0,0
"3559","Connecticut",2005,"December",142,629558,130,401978,12,227580,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"443","Connecticut",2006,"April",115,55580,115,55580,0,0,0,0,0,0,0,0,0,0,"Connecticut",2006,"April",24.6608695652174,0,0
"444","Connecticut",2006,"September",3,324,3,324,0,0,0,0,0,0,0,0,0,0,"Connecticut",2006,"September",15,0,0
"447","Connecticut",2007,"April",1,150000,1,150000,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"April",30,0,0
"449","Connecticut",2007,"August",14,5542,14,5542,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"August",6.57142857142857,0,0
"451","Connecticut",2007,"December",13,4682,13,4682,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"December",17.5384615384615,0,0
"446","Connecticut",2007,"February",120,42077.97,120,42077.97,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"February",7.03333333333333,0,0
"445","Connecticut",2007,"January",9,4491,9,4491,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"January",23,0,0
"448","Connecticut",2007,"May",3,414,3,414,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"May",15,0,0
"450","Connecticut",2007,"September",2,276,2,276,0,0,0,0,0,0,0,0,0,0,"Connecticut",2007,"September",25,0,0
"453","Connecticut",2008,"April",18,2484,18,2484,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"April",21,0,0
"452","Connecticut",2008,"February",183,61335.91,183,61335.91,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"February",27.3497267759563,0,0
"456","Connecticut",2008,"July",13,4321,13,4321,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"July",14.2307692307692,0,0
"455","Connecticut",2008,"June",13,5765,13,5765,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"June",25.7692307692308,0,0
"454","Connecticut",2008,"May",8,3992,8,3992,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"May",23,0,0
"458","Connecticut",2008,"October",21,2898,21,2898,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"October",24.3809523809524,0,0
"457","Connecticut",2008,"September",4,432,4,432,0,0,0,0,0,0,0,0,0,0,"Connecticut",2008,"September",30,0,0
"460","Connecticut",2009,"April",20,2400,20,2400,0,0,0,0,0,0,0,0,0,0,"Connecticut",2009,"April",1,0,0
"462","Connecticut",2009,"December",50,465.5,0,0,0,0,50,465.5,0,0,0,0,0,0,"Connecticut",2009,"December",4,0,0
"459","Connecticut",2009,"January",5,2495,5,2495,0,0,0,0,0,0,0,0,0,0,"Connecticut",2009,"January",13,0,0
"461","Connecticut",2009,"July",1,65070,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2009,"July",20,0,0
"463","Connecticut",2010,"April",5,925116.76,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2010,"April",26,0,0
"465","Connecticut",2010,"August",21,2520,21,2520,0,0,0,0,0,0,0,0,0,0,"Connecticut",2010,"August",2,0,0
"466","Connecticut",2010,"December",24,2916,24,2916,0,0,0,0,0,0,0,0,0,0,"Connecticut",2010,"December",15,0,0
"464","Connecticut",2010,"May",8,1104,8,1104,0,0,0,0,0,0,0,0,0,0,"Connecticut",2010,"May",25,0,0
"467","Connecticut",2011,"April",8,960,8,960,0,0,0,0,0,0,0,0,0,0,"Connecticut",2011,"April",16,0,0
"471","Connecticut",2011,"December",1,47989,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2011,"December",6,0,0
"469","Connecticut",2011,"July",1,15000,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2011,"July",13,0,0
"468","Connecticut",2011,"May",1,84166,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2011,"May",16,0,0
"470","Connecticut",2011,"September",1,39441,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2011,"September",29,0,0
"475","Connecticut",2012,"April",290,285468.75,131,64647,12,126535.74,0,0,0,0,0,0,0,0,"Connecticut",2012,"April",20.1192052980132,0,0
"479","Connecticut",2012,"August",258,146547.11,21,7639.14,7,2324,12,50.76,0,0,0,0,4,406.56,"Connecticut",2012,"August",7.70454545454545,0,0
"481","Connecticut",2012,"December",1,25000,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2012,"December",7,0,0
"473","Connecticut",2012,"February",2,56943,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2012,"February",6,0,0
"472","Connecticut",2012,"January",3,2e+05,1,150000,0,0,0,0,0,0,0,0,0,0,"Connecticut",2012,"January",18,0,0
"478","Connecticut",2012,"July",1444,200815.3,8,2334.09,91,52854,0,0,0,0,17,1060.29,808,8466.08,"Connecticut",2012,"July",14.2740740740741,0,0
"477","Connecticut",2012,"June",301,223828.9,41,8840.38,4,1350.15,0,0,1,500,1,619.9,14,13806.8,"Connecticut",2012,"June",18.265306122449,0,0
"474","Connecticut",2012,"March",3,132559,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2012,"March",18.6666666666667,0,0
"476","Connecticut",2012,"May",29,80632.72,2,363.72,25,8200,0,0,0,0,0,0,0,0,"Connecticut",2012,"May",22.875,0,0
"480","Connecticut",2012,"October",1,25000,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2012,"October",17,0,0
"484","Connecticut",2013,"April",79,93389.6,13,1612,5,65530,0,0,0,0,0,0,0,0,"Connecticut",2013,"April",16.3888888888889,0,0
"491","Connecticut",2013,"December",100,61635.9,1,68.35,0,0,0,0,0,0,1,990,1,30023.12,"Connecticut",2013,"December",13.875,0,0
"482","Connecticut",2013,"February",28,159639,25,11580,0,0,0,0,0,0,0,0,0,0,"Connecticut",2013,"February",7.30769230769231,0,0
"487","Connecticut",2013,"July",12,129452.7,0,0,0,0,0,0,0,0,0,0,0,0,"Connecticut",2013,"July",23.3333333333333,0,0
"486","Connecticut",2013,"June",57,11276.76,20,1924.6,0,0,30,279.3,0,0,0,0,0,0,"Connecticut",2013,"June",18,0,0
"483","Connecticut",2013,"March",43,131343.11,0,0,20,10599.6,0,0,0,0,11,446.82,0,0,"Connecticut",2013,"March",17.3333333333333,0,0
"485","Connecticut",2013,"May",41,23113.56,15,435.12,0,0,0,0,4,21291,0,0,2,352.04,"Connecticut",2013,"May",17,0,0
"490","Connecticut",2013,"November",56,58001.4,4,273.4,0,0,0,0,0,0,0,0,50,785,"Connecticut",2013,"November",18.25,0,0
"489","Connecticut",2013,"October",5,28.95,5,28.95,0,0,0,0,0,0,0,0,0,0,"Connecticut",2013,"October",16,0,0
"488","Connecticut",2013,"September",4,1394104,2,1316000,0,0,0,0,0,0,0,0,0,0,"Connecticut",2013,"September",18.25,0,0
"495","Connecticut",2014,"April",541,221766.67,50,2117.5,2,557.08,0,0,0,0,0,0,297,11481.77,"Connecticut",2014,"April",7.13636363636364,0,0
"493","Connecticut",2014,"February",124,2938174.6,4,2932000,0,0,0,0,0,0,50,2193,0,0,"Connecticut",2014,"February",17.8571428571429,0,0
"492","Connecticut",2014,"January",554,44843.04,5,350.52,61,5218.66,0,0,0,0,70,3931.05,9,817.38,"Connecticut",2014,"January",18.6363636363636,0,0
"494","Connecticut",2014,"March",389,246528.13,110,31584.4,101,74325.6,20,222,0,0,1,0,54,4748.14,"Connecticut",2014,"March",16.9705882352941,0,0
"3560","Delaware",2005,"December",80,50351.71,76,33151.71,4,17200,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"498","Delaware",2006,"April",1,58.71,1,58.71,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"April",24,0,0
"501","Delaware",2006,"December",5,690,5,690,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"December",8,0,0
"496","Delaware",2006,"January",1,58.71,1,58.71,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"January",13,0,0
"499","Delaware",2006,"June",35,17465,35,17465,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"June",19,0,0
"497","Delaware",2006,"March",12,5988,12,5988,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"March",13,0,0
"500","Delaware",2006,"September",16,7984,16,7984,0,0,0,0,0,0,0,0,0,0,"Delaware",2006,"September",20,0,0
"503","Delaware",2007,"August",2,998,2,998,0,0,0,0,0,0,0,0,0,0,"Delaware",2007,"August",22,0,0
"502","Delaware",2007,"January",2,998,2,998,0,0,0,0,0,0,0,0,0,0,"Delaware",2007,"January",25,0,0
"504","Delaware",2008,"April",7,2172.13,7,2172.13,0,0,0,0,0,0,0,0,0,0,"Delaware",2008,"April",6,0,0
"506","Delaware",2008,"August",3,176.13,3,176.13,0,0,0,0,0,0,0,0,0,0,"Delaware",2008,"August",14,0,0
"505","Delaware",2008,"May",1,120,1,120,0,0,0,0,0,0,0,0,0,0,"Delaware",2008,"May",29,0,0
"507","Delaware",2009,"March",2,276,2,276,0,0,0,0,0,0,0,0,0,0,"Delaware",2009,"March",31,0,0
"508","Delaware",2009,"May",14,4872,0,0,14,4872,0,0,0,0,0,0,0,0,"Delaware",2009,"May",13,0,0
"509","Delaware",2009,"November",8,469.68,8,469.68,0,0,0,0,0,0,0,0,0,0,"Delaware",2009,"November",26,0,0
"512","Delaware",2010,"August",51,6246,51,6246,0,0,0,0,0,0,0,0,0,0,"Delaware",2010,"August",2.09803921568627,0,0
"511","Delaware",2010,"July",2,117.42,2,117.42,0,0,0,0,0,0,0,0,0,0,"Delaware",2010,"July",16,0,0
"510","Delaware",2010,"June",4,234.84,4,234.84,0,0,0,0,0,0,0,0,0,0,"Delaware",2010,"June",11,0,0
"513","Delaware",2010,"October",10,1200,10,1200,0,0,0,0,0,0,0,0,0,0,"Delaware",2010,"October",28,0,0
"515","Delaware",2011,"April",3,25240,2,240,0,0,0,0,0,0,0,0,0,0,"Delaware",2011,"April",20.3333333333333,0,0
"519","Delaware",2011,"August",29,1137185.8,14,5352.4,10,1091588.82,0,0,0,0,0,0,0,0,"Delaware",2011,"August",15.8333333333333,0,0
"523","Delaware",2011,"December",24,118988.6,0,0,13,2500,0,0,0,0,0,0,5,29742.5,"Delaware",2011,"December",14.6,0,0
"514","Delaware",2011,"February",3,75000,0,0,0,0,0,0,0,0,0,0,0,0,"Delaware",2011,"February",11,0,0
"518","Delaware",2011,"July",7,29338.92,0,0,5,1640,0,0,0,0,0,0,0,0,"Delaware",2011,"July",15.2857142857143,0,0
"517","Delaware",2011,"June",14,1752,14,1752,0,0,0,0,0,0,0,0,0,0,"Delaware",2011,"June",22,0,0
"516","Delaware",2011,"May",19,4360,9,1080,10,3280,0,0,0,0,0,0,0,0,"Delaware",2011,"May",11.3684210526316,0,0
"522","Delaware",2011,"November",73,34018.44,25,6345.75,19,7440.86,0,0,0,0,0,0,0,0,"Delaware",2011,"November",9.14634146341463,0,0
"521","Delaware",2011,"October",48,85452.76,7,3493,28,8584.6,0,0,0,0,0,0,0,0,"Delaware",2011,"October",12.6666666666667,0,0
"520","Delaware",2011,"September",49,93681.04,3,303,0,0,0,0,0,0,0,0,0,0,"Delaware",2011,"September",17.5,0,0
"527","Delaware",2012,"April",1971,799777.63,37,6823.39,55,46432.51,0,0,8,34642,53,530,87,64477.23,"Delaware",2012,"April",15.8433734939759,0,0
"531","Delaware",2012,"August",1008,668868.87,7,377.52,35,30904.84,108,1198.8,16,57871.95,108,11472.15,26,408.21,"Delaware",2012,"August",8.8421052631579,0,0
"535","Delaware",2012,"December",209,329597.83,0,0,10,0,0,0,0,0,0,0,20,4474.4,"Delaware",2012,"December",18.0666666666667,0,0
"525","Delaware",2012,"February",2354,1226724.46,29,5477.43,14,19671.59,194,2063.9,37,91078.4,130,14590.04,186,32094.54,"Delaware",2012,"February",16.5680751173709,0,0
"524","Delaware",2012,"January",3639,852385.3,12,933.32,42,78309.84,0,0,3,46174.2,93,7887.77,97,18026.79,"Delaware",2012,"January",17.7246963562753,0,0
"530","Delaware",2012,"July",3988,1239474.31,135,24498.82,80,83982.18,108,1198.8,29,55507.04,129,13281.65,42,1099.93,"Delaware",2012,"July",15.46875,0,0
"529","Delaware",2012,"June",1225,829093.65,53,2567.38,17,15846.1,77,717.27,16,7208,43,21989.72,4,291.12,"Delaware",2012,"June",14.7631578947368,0,0
"526","Delaware",2012,"March",982,841880.65,12,308.28,39,64480.1,116,2475.36,5,9176.9,25,510,111,183313.01,"Delaware",2012,"March",16.515,0,0
"528","Delaware",2012,"May",657,537019.98,51,265,36,9319.68,10,111,4,27895.56,69,2965.2,15,29350.68,"Delaware",2012,"May",17.4583333333333,0,0
"534","Delaware",2012,"November",874,291064.52,0,0,14,4827.43,0,0,1,93.29,0,0,111,13280.88,"Delaware",2012,"November",21.3164556962025,0,0
"533","Delaware",2012,"October",167,43486.51,0,0,11,33978.28,0,0,0,0,102,2189.13,0,0,"Delaware",2012,"October",22.6666666666667,0,0
"532","Delaware",2012,"September",1,11565,0,0,0,0,0,0,1,11565,0,0,0,0,"Delaware",2012,"September",5,0,0
"539","Delaware",2013,"April",840,583476.31,13,3306.54,52,451129.96,0,0,1,1000,1,178.87,2,47.48,"Delaware",2013,"April",12.304347826087,0,0
"543","Delaware",2013,"August",466,109274.97,0,0,32,0,20,77.6,1,0,6,1172.46,15,1452.9,"Delaware",2013,"August",16.4246575342466,0,0
"547","Delaware",2013,"December",918,57633.39,0,0,14,4592,200,6330,7,661.47,0,0,0,0,"Delaware",2013,"December",15.3095238095238,0,0
"537","Delaware",2013,"February",1296,408963.75,4,625.05,85,23321.86,182,1694.42,9,24098,35,8320.05,324,1767.64,"Delaware",2013,"February",16.3154362416107,0,0
