"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"53","Alabama","2010","January",41,691.79,10,331,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","January",23
"54","Alabama","2010","February",10,347.85,1,331,0,0,9,16.85,0,0,0,0,0,0,"Alabama","2010","February",26
"55","Alabama","2010","March",110,14857.86,30,498.34,4,14312,0,0,0,0,0,0,0,0,"Alabama","2010","March",12
"56","Alabama","2010","April",78,77099.59,20,331,0,0,26,4.28,0,0,0,0,0,0,"Alabama","2010","April",14.8
"57","Alabama","2010","May",14,57995,7,331,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","May",13.6666666666667
"58","Alabama","2010","June",15,1615.61,4,662,1,359,0,0,0,0,0,0,0,0,"Alabama","2010","June",18.75
"59","Alabama","2010","August",110,502196.35,97,5220.35,1,4410,0,0,0,0,0,0,0,0,"Alabama","2010","August",6.94
"60","Alabama","2010","September",1,248.75,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","September",8
"61","Alabama","2010","October",74,45934.44,73,4873.44,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","October",28
"62","Alabama","2010","November",15,375.87,6,331,0,0,9,44.87,0,0,0,0,0,0,"Alabama","2010","November",24
"63","Alabama","2010","December",37,14770.86,29,14471,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","December",28.2
"64","Alabama","2011","January",11,25334.2,7,331,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","January",29.6
"65","Alabama","2011","February",114,65793,113,15896,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","February",1.5045045045045
"66","Alabama","2011","March",95,283071,89,31689,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","March",11.6703296703297
"67","Alabama","2011","April",168,189977.8,165,41696.8,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","April",24.8928571428571
"68","Alabama","2011","May",25,126877.82,22,60.82,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","May",14.5
"69","Alabama","2011","June",34,134355,31,1564,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","June",12.6666666666667
"70","Alabama","2011","July",41,815642.99,20,549996,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","July",21.0909090909091
"71","Alabama","2011","August",130,384225.76,111,5267.65,0,0,10,12.11,0,0,0,0,0,0,"Alabama","2011","August",5.38297872340426
"72","Alabama","2011","September",108,725810.95,60,1961.95,4,12891,0,0,0,0,0,0,0,0,"Alabama","2011","September",16.9615384615385
"73","Alabama","2011","October",196,779689.78,161,218356.94,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","October",23.4931506849315
"74","Alabama","2011","November",66,594445.94,48,9849.94,4,345,0,0,0,0,0,0,0,0,"Alabama","2011","November",16.0727272727273
"75","Alabama","2011","December",214,842188.1,195,3996.1,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","December",9.03846153846154
"76","Alabama","2012","January",202,389447.97,182,14558.97,10,51500,0,0,0,0,0,0,0,0,"Alabama","2012","January",17.8709677419355
"77","Alabama","2012","February",131,1538942.89,44,1793.68,8,23691,0,0,0,0,0,0,0,0,"Alabama","2012","February",16.2407407407407
"78","Alabama","2012","March",792,2202369.28,147,12825.81,33,140787,553,193.76,0,0,0,0,0,0,"Alabama","2012","March",15.5467625899281
"79","Alabama","2012","April",341,2728698.93,254,98134.57,37,219564,0,0,0,0,0,0,0,0,"Alabama","2012","April",19.3562231759657
"80","Alabama","2012","May",200,2095855.78,72,8675.16,11,60647.83,0,0,0,0,0,0,0,0,"Alabama","2012","May",16.2555555555556
"81","Alabama","2012","June",161,1375386.77,62,27873,46,140919.11,0,0,0,0,0,0,0,0,"Alabama","2012","June",15.5416666666667
