State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
DC,FBI FLY TEAM,8465-01-393-6515,"MAT,SLEEPING,SELF-INFLATING",8,Each,$47.09,A,1,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-600-7962,HYDRATION SYSTEM,30,Each,$39.35,A,1,"Feb 5, 2015 12:00:00 AM"
DC,FBI FLY TEAM,3740-01-518-7310,"BEDNET,POP-UP      ",17,Each,$105.60,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-524-7263,WAIST PACK         ,3,Each,$15.47,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,4240-01-547-6218,"GOGGLES,INDUSTRIAL",30,Each,$55.21,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8465-00-530-3692,"BAG,BARRACKS",30,Each,$10.86,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8460-DS-LUG-GAGE,LUGGAGE,1,Each,$0.00,A,,"Apr 1, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8460-DS-LUG-GAGE,LUGGAGE,3,Each,$0.00,A,,"Apr 1, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8460-DS-LUG-GAGE,LUGGAGE,1,Each,$0.00,A,,"Apr 1, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8460-DS-LUG-GAGE,LUGGAGE,1,Each,$0.00,A,,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8460-DS-LUG-GAGE,LUGGAGE,4,Each,$0.00,A,,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-525-3095,"FACESHIELD,INDUSTRIAL",2,Each,$111.06,A,,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,6625-01-139-2512,MULTIMETER,1,Each,$312.02,A,1,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,5340-01-024-6500,PADLOCK,100,Each,$3.66,A,1,"Nov 28, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-524-5250,ASSAULT PACK       ,5,Each,$77.34,A,1,"Feb 5, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-524-5250,ASSAULT PACK       ,6,Each,$77.34,A,1,"Feb 5, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8145-01-562-3621,"SHIPPING AND STORAGE CONTAINER SET,ELECTRIC-ELECTRONIC EQUIPMENT",1,Each,$900.76,A,1,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8145-01-562-3621,"SHIPPING AND STORAGE CONTAINER SET,ELECTRIC-ELECTRONIC EQUIPMENT",1,Each,$900.76,A,1,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8465-00-261-6909,"BAG,CLOTHING",9,Each,$18.71,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-416-8517,BIVY COVER         ,14,Each,$152.31,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,8115-DS-CAS-E003,CASE,1,Each,$0.00,A,,"Jul 16, 2015 12:00:00 AM"
DC,FBI FLY TEAM,8465-01-416-8517,BIVY COVER         ,21,Each,$152.31,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,7110-01-568-0399,"BOARD,MARKER",1,Each,$500.28,A,1,"Nov 13, 2014 12:00:00 AM"
DC,FBI FLY TEAM,7021-DS-HAN-DHE0,HANDHELD DEVICE,5,Each,$0.00,A,,"Nov 28, 2014 12:00:00 AM"
