"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"16354","Nevada","2001","September",1591816,1119210,70.3,1057566,66.4,61644,5.5
"16355","New Hampshire","2001","September",968822,698000,72,671150,69.3,26850,3.8
"16356","New Jersey","2001","September",6499980,4304860,66.2,4105149,63.2,199711,4.6
"16357","New Mexico","2001","September",1356389,859449,63.4,816956,60.2,42493,4.9
"16358","New York","2001","September",14664496,9157226,62.4,8671104,59.1,486122,5.3
"16361","North Dakota","2001","September",484522,340020,70.2,329847,68.1,10173,3
"16362","Ohio","2001","September",8677675,5822119,67.1,5550111,64,272008,4.7
"16363","Oklahoma","2001","September",2596992,1679819,64.7,1611515,62.1,68304,4.1
"16364","Oregon","2001","September",2688495,1826166,67.9,1698159,63.2,128007,7
"16365","Pennsylvania","2001","September",9524726,6185588,64.9,5868692,61.6,316896,5.1
"16366","Rhode Island","2001","September",821326,543822,66.2,517847,63.1,25975,4.8
"16367","South Carolina","2001","September",3072157,1942836,63.2,1832988,59.7,109848,5.7
"16368","South Dakota","2001","September",567478,413855,72.9,400302,70.5,13553,3.3
"16369","Tennessee","2001","September",4410746,2864111,64.9,2721679,61.7,142432,5
"16370","Texas","2001","September",15558281,10562256,67.9,9990298,64.2,571958,5.4
"16371","Utah","2001","September",1628218,1167439,71.7,1112852,68.3,54587,4.7
"16372","Vermont","2001","September",479777,338250,70.5,326580,68.1,11670,3.5
"16373","Virginia","2001","September",5396149,3674572,68.1,3537527,65.6,137045,3.7
"16374","Washington","2001","September",4549549,3033228,66.7,2831807,62.2,201421,6.6
"16375","West Virginia","2001","September",1426700,806875,56.6,767457,53.8,39418,4.9
"16376","Wisconsin","2001","September",4137216,3011922,72.8,2868332,69.3,143590,4.8
"16377","Wyoming","2001","September",375705,269671,71.8,259340,69,10331,3.8
"16378","Alabama","2001","October",3396655,2110469,62.1,1991135,58.6,119334,5.7
"16379","Alaska","2001","October",445888,322510,72.3,301459,67.6,21051,6.5
"16380","Arizona","2001","October",3986221,2617014,65.7,2474088,62.1,142926,5.5
"16381","Arkansas","2001","October",2044106,1254322,61.4,1188842,58.2,65480,5.2
"16382","California","2001","October",25644032,17172662,67,16131123,62.9,1041539,6.1
"16384","Colorado","2001","October",3367175,2413936,71.7,2300081,68.3,113855,4.7
"16385","Connecticut","2001","October",2617761,1757820,67.1,1699605,64.9,58215,3.3
"16386","Delaware","2001","October",607285,421395,69.4,406685,67,14710,3.5
"16387","District of Columbia","2001","October",461697,310154,67.2,289825,62.8,20329,6.6
"16388","Florida","2001","October",12809888,8046618,62.8,7579285,59.2,467333,5.8
"16389","Georgia","2001","October",6265646,4268412,68.1,4072893,65,195519,4.6
"16390","Hawaii","2001","October",909486,610043,67.1,580057,63.8,29986,4.9
"16391","Idaho","2001","October",975049,682836,70,646387,66.3,36449,5.3
"16392","Illinois","2001","October",9428484,6429861,68.2,6059378,64.3,370483,5.8
"16393","Indiana","2001","October",4639299,3147326,67.8,2991693,64.5,155633,4.9
"16394","Iowa","2001","October",2242738,1620962,72.3,1563206,69.7,57756,3.6
"16395","Kansas","2001","October",2018770,1390582,68.9,1328098,65.8,62484,4.5
"16396","Kentucky","2001","October",3113301,1952927,62.7,1840901,59.1,112026,5.7
"16397","Louisiana","2001","October",3300144,2017885,61.1,1897301,57.5,120584,6
"16398","Maine","2001","October",1008157,674119,66.9,646538,64.1,27581,4.1
"16399","Maryland","2001","October",4067332,2850576,70.1,2722613,66.9,127963,4.5
"16400","Massachusetts","2001","October",4985426,3393714,68.1,3247764,65.1,145950,4.3
"16401","Michigan","2001","October",7590159,5082765,67,4785274,63,297491,5.9
"16402","Minnesota","2001","October",3794796,2848133,75.1,2731563,72,116570,4.1
"16403","Mississippi","2001","October",2106910,1286093,61,1207023,57.3,79070,6.1
"16404","Missouri","2001","October",4284972,2987976,69.7,2839572,66.3,148404,5
"16405","Montana","2001","October",695276,465063,66.9,444302,63.9,20761,4.5
"16406","Nebraska","2001","October",1293543,951705,73.6,920156,71.1,31549,3.3
"16407","Nevada","2001","October",1596483,1121080,70.2,1056400,66.2,64680,5.8
"16408","New Hampshire","2001","October",970145,698193,72,670398,69.1,27795,4
"16409","New Jersey","2001","October",6504669,4315927,66.4,4105093,63.1,210834,4.9
"16410","New Mexico","2001","October",1358259,860563,63.4,817211,60.2,43352,5
"16411","New York","2001","October",14673722,9171289,62.5,8660007,59,511282,5.6
"16414","North Dakota","2001","October",484603,339682,70.1,329192,67.9,10490,3.1
"16415","Ohio","2001","October",8682072,5830468,67.2,5543421,63.8,287047,4.9
"16416","Oklahoma","2001","October",2598867,1682764,64.7,1611310,62,71454,4.2
"16417","Oregon","2001","October",2692299,1828158,67.9,1693838,62.9,134320,7.3
"16418","Pennsylvania","2001","October",9529554,6191355,65,5865979,61.6,325376,5.3
"16419","Rhode Island","2001","October",822183,544002,66.2,517871,63,26131,4.8
"16420","South Carolina","2001","October",3075310,1941360,63.1,1829297,59.5,112063,5.8
"16421","South Dakota","2001","October",567929,414104,72.9,400375,70.5,13729,3.3
"16422","Tennessee","2001","October",4414767,2871591,65,2720814,61.6,150777,5.3
"16423","Texas","2001","October",15583700,10583414,67.9,9987733,64.1,595681,5.6
"16424","Utah","2001","October",1631320,1169452,71.7,1112685,68.2,56767,4.9
"16425","Vermont","2001","October",480215,338700,70.5,326758,68,11942,3.5
"16426","Virginia","2001","October",5403027,3677477,68.1,3532963,65.4,144514,3.9
"16427","Washington","2001","October",4555657,3036193,66.6,2827614,62.1,208579,6.9
"16428","West Virginia","2001","October",1427049,806205,56.5,766009,53.7,40196,5
"16429","Wisconsin","2001","October",4141269,3012109,72.7,2863511,69.1,148598,4.9
"16430","Wyoming","2001","October",376150,269456,71.6,259181,68.9,10275,3.8
"16431","Alabama","2001","November",3397377,2109801,62.1,1986341,58.5,123460,5.9
"16432","Alaska","2001","November",446603,322688,72.3,301399,67.5,21289,6.6
"16433","Arizona","2001","November",3995539,2626581,65.7,2478010,62,148571,5.7
"16434","Arkansas","2001","November",2045037,1255035,61.4,1188136,58.1,66899,5.3
"16435","California","2001","November",25672349,17187735,67,16113484,62.8,1074251,6.3
"16437","Colorado","2001","November",3371794,2420501,71.8,2299152,68.2,121349,5
"16438","Connecticut","2001","November",2619402,1757304,67.1,1698984,64.9,58320,3.3
"16439","Delaware","2001","November",607953,421325,69.3,406116,66.8,15209,3.6
"16440","District of Columbia","2001","November",461695,309359,67,289044,62.6,20315,6.6
"16441","Florida","2001","November",12831933,8056051,62.8,7576796,59,479255,5.9
"16442","Georgia","2001","November",6275466,4275141,68.1,4070571,64.9,204570,4.8
"16443","Hawaii","2001","November",910197,609254,66.9,578152,63.5,31102,5.1
"16444","Idaho","2001","November",976561,682986,69.9,645706,66.1,37280,5.5
"16445","Illinois","2001","November",9432664,6422816,68.1,6038718,64,384098,6
"16446","Indiana","2001","November",4641180,3151684,67.9,2989238,64.4,162446,5.2
"16447","Iowa","2001","November",2243111,1623904,72.4,1564110,69.7,59794,3.7
"16448","Kansas","2001","November",2019873,1392717,69,1328137,65.8,64580,4.6
"16449","Kentucky","2001","November",3115007,1952083,62.7,1837836,59,114247,5.9
"16450","Louisiana","2001","November",3301094,2014850,61,1891468,57.3,123382,6.1
"16451","Maine","2001","November",1009049,673548,66.8,645826,64,27722,4.1
"16452","Maryland","2001","November",4071927,2856028,70.1,2725099,66.9,130929,4.6
"16453","Massachusetts","2001","November",4987817,3398555,68.1,3246162,65.1,152393,4.5
"16454","Michigan","2001","November",7593576,5071836,66.8,4762296,62.7,309540,6.1
"16455","Minnesota","2001","November",3798068,2851442,75.1,2730086,71.9,121356,4.3
"16456","Mississippi","2001","November",2107407,1285709,61,1203721,57.1,81988,6.4
"16457","Missouri","2001","November",4287890,2986638,69.7,2833538,66.1,153100,5.1
"16458","Montana","2001","November",695802,465237,66.9,444470,63.9,20767,4.5
"16459","Nebraska","2001","November",1294148,951739,73.5,919387,71,32352,3.4
"16460","Nevada","2001","November",1600992,1122572,70.1,1055351,65.9,67221,6
"16461","New Hampshire","2001","November",971333,698517,71.9,669859,69,28658,4.1
"16462","New Jersey","2001","November",6508396,4326369,66.5,4104599,63.1,221770,5.1
"16463","New Mexico","2001","November",1359996,862020,63.4,817715,60.1,44305,5.1
"16464","New York","2001","November",14680571,9185908,62.6,8652003,58.9,533905,5.8
"16467","North Dakota","2001","November",484590,339588,70.1,328698,67.8,10890,3.2
"16468","Ohio","2001","November",8684968,5837945,67.2,5536326,63.7,301619,5.2
"16469","Oklahoma","2001","November",2600322,1685277,64.8,1611386,62,73891,4.4
"16470","Oregon","2001","November",2695721,1830016,67.9,1690037,62.7,139979,7.6
"16471","Pennsylvania","2001","November",9532737,6197784,65,5864285,61.5,333499,5.4
"16472","Rhode Island","2001","November",822844,544307,66.1,518072,63,26235,4.8
"16473","South Carolina","2001","November",3077957,1939228,63,1825758,59.3,113470,5.9
"16474","South Dakota","2001","November",568300,414357,72.9,400464,70.5,13893,3.4
"16475","Tennessee","2001","November",4418100,2879298,65.2,2720624,61.6,158674,5.5
"16476","Texas","2001","November",15607012,10604258,67.9,9986980,64,617278,5.8
"16477","Utah","2001","November",1634134,1172042,71.7,1112881,68.1,59161,5
"16478","Vermont","2001","November",480606,339196,70.6,326957,68,12239,3.6
"16479","Virginia","2001","November",5409044,3680820,68,3530471,65.3,150349,4.1
"16480","Washington","2001","November",4561056,3040634,66.7,2824937,61.9,215697,7.1
"16481","West Virginia","2001","November",1427176,805598,56.4,764252,53.5,41346,5.1
"16482","Wisconsin","2001","November",4144622,3012330,72.7,2858379,69,153951,5.1
"16483","Wyoming","2001","November",376559,269230,71.5,258971,68.8,10259,3.8
"16484","Alabama","2001","December",3398108,2108342,62,1982070,58.3,126272,6
"16485","Alaska","2001","December",447347,323022,72.2,301401,67.4,21621,6.7
"16486","Arizona","2001","December",4004764,2635839,65.8,2482404,62,153435,5.8
"16487","Arkansas","2001","December",2046024,1256591,61.4,1188226,58.1,68365,5.4
"16488","California","2001","December",25700341,17202138,66.9,16101337,62.7,1100801,6.4
"16490","Colorado","2001","December",3376403,2426055,71.9,2298535,68.1,127520,5.3
"16491","Connecticut","2001","December",2621052,1757727,67.1,1698756,64.8,58971,3.4
"16492","Delaware","2001","December",608616,421133,69.2,405381,66.6,15752,3.7
"16493","District of Columbia","2001","December",461680,308703,66.9,288409,62.5,20294,6.6
"16494","Florida","2001","December",12853859,8063623,62.7,7577994,59,485629,6
"16495","Georgia","2001","December",6285374,4281288,68.1,4069822,64.8,211466,4.9
"16496","Hawaii","2001","December",910871,607980,66.7,576533,63.3,31447,5.2
"16497","Idaho","2001","December",978096,683007,69.8,644896,65.9,38111,5.6
"16498","Illinois","2001","December",9436821,6415386,68,6019349,63.8,396037,6.2
"16499","Indiana","2001","December",4643062,3154518,67.9,2987165,64.3,167353,5.3
"16500","Iowa","2001","December",2243507,1626940,72.5,1565302,69.8,61638,3.8
"16501","Kansas","2001","December",2020944,1395201,69,1328526,65.7,66675,4.8
"16502","Kentucky","2001","December",3116719,1950657,62.6,1835688,58.9,114969,5.9
"16503","Louisiana","2001","December",3302065,2011005,60.9,1886096,57.1,124909,6.2
"16504","Maine","2001","December",1009929,672941,66.6,645135,63.9,27806,4.1
"16505","Maryland","2001","December",4076605,2861001,70.2,2728453,66.9,132548,4.6
"16506","Massachusetts","2001","December",4990241,3404854,68.2,3246155,65.1,158699,4.7
"16507","Michigan","2001","December",7597070,5060930,66.6,4743027,62.4,317903,6.3
"16508","Minnesota","2001","December",3801321,2854587,75.1,2728631,71.8,125956,4.4
"16509","Mississippi","2001","December",2107926,1285619,61,1201200,57,84419,6.6
"16510","Missouri","2001","December",4290818,2986765,69.6,2829855,66,156910,5.3
"16511","Montana","2001","December",696333,465503,66.9,444683,63.9,20820,4.5
"16512","Nebraska","2001","December",1294719,951796,73.5,918638,71,33158,3.5
"16513","Nevada","2001","December",1605494,1123827,70,1055059,65.7,68768,6.1
"16514","New Hampshire","2001","December",972527,698983,71.9,669541,68.8,29442,4.2
"16515","New Jersey","2001","December",6512103,4335518,66.6,4103831,63,231687,5.3
"16516","New Mexico","2001","December",1361746,863786,63.4,818511,60.1,45275,5.2
"16517","New York","2001","December",14687494,9202357,62.7,8649767,58.9,552590,6
"16520","North Dakota","2001","December",484593,339689,70.1,328352,67.8,11337,3.3
"16521","Ohio","2001","December",8687916,5844453,67.3,5529586,63.6,314867,5.4
"16522","Oklahoma","2001","December",2601753,1687610,64.9,1611838,62,75772,4.5
"16523","Oregon","2001","December",2699120,1831481,67.9,1687455,62.5,144026,7.9
"16524","Pennsylvania","2001","December",9535917,6205179,65.1,5864421,61.5,340758,5.5
"16525","Rhode Island","2001","December",823528,544806,66.2,518486,63,26320,4.8
"16526","South Carolina","2001","December",3080635,1937316,62.9,1823163,59.2,114153,5.9
"16527","South Dakota","2001","December",568672,414641,72.9,400618,70.4,14023,3.4
"16528","Tennessee","2001","December",4421453,2886522,65.3,2721896,61.6,164626,5.7
"16529","Texas","2001","December",15630107,10625030,68,9989543,63.9,635487,6
"16530","Utah","2001","December",1636921,1175070,71.8,1113426,68,61644,5.2
"16531","Vermont","2001","December",480956,339774,70.6,327246,68,12528,3.7
"16532","Virginia","2001","December",5415147,3685590,68.1,3531242,65.2,154348,4.2
"16533","Washington","2001","December",4566506,3046386,66.7,2824360,61.8,222026,7.3
"16534","West Virginia","2001","December",1427291,805080,56.4,762313,53.4,42767,5.3
"16535","Wisconsin","2001","December",4147972,3012753,72.6,2853954,68.8,158799,5.3
"16536","Wyoming","2001","December",376925,269066,71.4,258743,68.6,10323,3.8
"16537","Alabama","2002","January",3399005,2106354,62,1978768,58.2,127586,6.1
"16538","Alaska","2002","January",448136,323503,72.2,301485,67.3,22018,6.8
"16539","Arizona","2002","January",4014110,2644945,65.9,2487440,62,157505,6
"16540","Arkansas","2002","January",2047083,1259153,61.5,1189503,58.1,69650,5.5
"16541","California","2002","January",25729038,17216942,66.9,16096293,62.6,1120649,6.5
"16543","Colorado","2002","January",3381106,2430570,71.9,2298625,68,131945,5.4
"16544","Connecticut","2002","January",2622807,1759445,67.1,1699039,64.8,60406,3.4
"16545","Delaware","2002","January",609322,420804,69.1,404500,66.4,16304,3.9
"16546","District of Columbia","2002","January",461733,308272,66.8,288010,62.4,20262,6.6
"16547","Florida","2002","January",12876040,8070320,62.7,7584197,58.9,486123,6
"16548","Georgia","2002","January",6295616,4287666,68.1,4071536,64.7,216130,5
"16549","Hawaii","2002","January",911557,606358,66.5,575428,63.1,30930,5.1
"16550","Idaho","2002","January",979698,683021,69.7,644246,65.8,38775,5.7
"16551","Illinois","2002","January",9441311,6407677,67.9,6002063,63.6,405614,6.3
"16552","Indiana","2002","January",4645046,3156316,68,2986045,64.3,170271,5.4
"16553","Iowa","2002","January",2243962,1630273,72.7,1567145,69.8,63128,3.9
"16554","Kansas","2002","January",2022069,1397903,69.1,1329423,65.7,68480,4.9
"16555","Kentucky","2002","January",3118507,1948847,62.5,1834420,58.8,114427,5.9
"16556","Louisiana","2002","January",3303232,2007195,60.8,1881870,57,125325,6.2
"16557","Maine","2002","January",1010842,672509,66.5,644616,63.8,27893,4.1
"16558","Maryland","2002","January",4081417,2865371,70.2,2732315,66.9,133056,4.6
"16559","Massachusetts","2002","January",4992707,3412535,68.4,3247950,65.1,164585,4.8
"16560","Michigan","2002","January",7600764,5050722,66.5,4728420,62.2,322302,6.4
"16561","Minnesota","2002","January",3804678,2856970,75.1,2727229,71.7,129741,4.5
"16562","Mississippi","2002","January",2108546,1285729,61,1199540,56.9,86189,6.7
"16563","Missouri","2002","January",4293808,2988483,69.6,2828604,65.9,159879,5.3
"16564","Montana","2002","January",696879,465756,66.8,444856,63.8,20900,4.5
"16565","Nebraska","2002","January",1295374,951938,73.5,918049,70.9,33889,3.6
"16566","Nevada","2002","January",1609988,1124947,69.9,1055808,65.6,69139,6.1
"16567","New Hampshire","2002","January",973706,699533,71.8,669380,68.7,30153,4.3
"16568","New Jersey","2002","January",6515894,4342903,66.7,4102883,63,240020,5.5
"16569","New Mexico","2002","January",1363473,865767,63.5,819548,60.1,46219,5.3
"16570","New York","2002","January",14694911,9220616,62.7,8653976,58.9,566640,6.1
"16573","North Dakota","2002","January",484594,339911,70.1,328119,67.7,11792,3.5
"16574","Ohio","2002","January",8691057,5849861,67.3,5523784,63.6,326077,5.6
"16575","Oklahoma","2002","January",2603219,1689665,64.9,1612569,61.9,77096,4.6
"16576","Oregon","2002","January",2702531,1832283,67.8,1686447,62.4,145836,8
"16577","Pennsylvania","2002","January",9539280,6213168,65.1,5866591,61.5,346577,5.6
"16578","Rhode Island","2002","January",824219,545503,66.2,519095,63,26408,4.8
"16579","South Carolina","2002","January",3083424,1936592,62.8,1822260,59.1,114332,5.9
"16580","South Dakota","2002","January",569009,414957,72.9,400877,70.5,14080,3.4
"16581","Tennessee","2002","January",4424888,2892669,65.4,2725153,61.6,167516,5.8
"16582","Texas","2002","January",15653763,10645941,68,9995783,63.9,650158,6.1
"16583","Utah","2002","January",1639828,1178040,71.8,1114056,67.9,63984,5.4
"16584","Vermont","2002","January",481315,340463,70.7,327679,68.1,12784,3.8
"16585","Virginia","2002","January",5421363,3692185,68.1,3535447,65.2,156738,4.2
"16586","Washington","2002","January",4571991,3052905,66.8,2826013,61.8,226892,7.4
"16587","West Virginia","2002","January",1427374,804661,56.4,760342,53.3,44319,5.5
"16588","Wisconsin","2002","January",4151392,3013497,72.6,2851084,68.7,162413,5.4
"16589","Wyoming","2002","January",377308,268987,71.3,258522,68.5,10465,3.9
"16590","Alabama","2002","February",3399402,2104169,61.9,1976574,58.1,127595,6.1
"16591","Alaska","2002","February",448798,324061,72.2,301608,67.2,22453,6.9
"16592","Arizona","2002","February",4022929,2653748,66,2492983,62,160765,6.1
"16593","Arkansas","2002","February",2047798,1262449,61.6,1191915,58.2,70534,5.6
"16594","California","2002","February",25755035,17231189,66.9,16096918,62.5,1134271,6.6
"16596","Colorado","2002","February",3385487,2434088,71.9,2299494,67.9,134594,5.5
"16597","Connecticut","2002","February",2624141,1762347,67.2,1699718,64.8,62629,3.6
"16598","Delaware","2002","February",609922,420320,68.9,403518,66.2,16802,4
"16599","District of Columbia","2002","February",461673,308051,66.7,287855,62.4,20196,6.6
"16600","Florida","2002","February",12896372,8076773,62.6,7594728,58.9,482045,6
"16601","Georgia","2002","February",6305144,4294492,68.1,4075865,64.6,218627,5.1
"16602","Hawaii","2002","February",912110,604604,66.3,574871,63,29733,4.9
"16603","Idaho","2002","February",981094,683135,69.6,643992,65.6,39143,5.7
"16604","Illinois","2002","February",9444668,6399336,67.8,5986376,63.4,412960,6.5
"16605","Indiana","2002","February",4646491,3157823,68,2986475,64.3,171348,5.4
"16606","Iowa","2002","February",2244055,1633848,72.8,1569648,69.9,64200,3.9
"16607","Kansas","2002","February",2022953,1400708,69.2,1330855,65.8,69853,5
"16608","Kentucky","2002","February",3119948,1946676,62.4,1833744,58.8,112932,5.8
"16609","Louisiana","2002","February",3303952,2004193,60.7,1879117,56.9,125076,6.2
"16610","Maine","2002","February",1011593,672464,66.5,644409,63.7,28055,4.2
"16611","Maryland","2002","February",4085716,2868766,70.2,2736009,67,132757,4.6
"16612","Massachusetts","2002","February",4994638,3420794,68.5,3251009,65.1,169785,5
"16613","Michigan","2002","February",7603498,5041668,66.3,4717976,62.1,323692,6.4
"16614","Minnesota","2002","February",3807582,2858327,75.1,2726099,71.6,132228,4.6
"16615","Mississippi","2002","February",2108953,1285841,61,1198642,56.8,87199,6.8
"16616","Missouri","2002","February",4296276,2991045,69.6,2828883,65.8,162162,5.4
"16617","Montana","2002","February",697360,465973,66.8,444993,63.8,20980,4.5
"16618","Nebraska","2002","February",1295829,952190,73.5,917721,70.8,34469,3.6
"16619","Nevada","2002","February",1614350,1125967,69.7,1057451,65.5,68516,6.1
"16620","New Hampshire","2002","February",974835,700109,71.8,669363,68.7,30746,4.4
"16621","New Jersey","2002","February",6518981,4347825,66.7,4101431,62.9,246394,5.7
"16622","New Mexico","2002","February",1365077,867863,63.6,820746,60.1,47117,5.4
"16623","New York","2002","February",14700518,9239218,62.8,8663270,58.9,575948,6.2
"16626","North Dakota","2002","February",484542,340179,70.2,327970,67.7,12209,3.6
"16627","Ohio","2002","February",8693156,5853788,67.3,5519002,63.5,334786,5.7
"16628","Oklahoma","2002","February",2604437,1690998,64.9,1613213,61.9,77785,4.6
"16629","Oregon","2002","February",2705630,1832397,67.7,1687000,62.4,145397,7.9
"16630","Pennsylvania","2002","February",9541334,6220619,65.2,5870055,61.5,350564,5.6
"16631","Rhode Island","2002","February",824817,546299,66.2,519790,63,26509,4.9
"16632","South Carolina","2002","February",3085853,1937379,62.8,1823236,59.1,114143,5.9
"16633","South Dakota","2002","February",569314,415306,72.9,401290,70.5,14016,3.4
"16634","Tennessee","2002","February",4427865,2897314,65.4,2730309,61.7,167005,5.8
"16635","Texas","2002","February",15675829,10666758,68,10005005,63.8,661753,6.2
"16636","Utah","2002","February",1642558,1180479,71.9,1114506,67.9,65973,5.6
"16637","Vermont","2002","February",481654,341228,70.8,328232,68.1,12996,3.8
"16638","Virginia","2002","February",5427008,3700034,68.2,3542109,65.3,157925,4.3
"16639","Washington","2002","February",4577007,3059588,66.8,2829589,61.8,229999,7.5
"16640","West Virginia","2002","February",1427372,804226,56.3,758418,53.1,45808,5.7
"16641","Wisconsin","2002","February",4154323,3014405,72.6,2850053,68.6,164352,5.5
"16642","Wyoming","2002","February",377686,268977,71.2,258333,68.4,10644,4
"16643","Alabama","2002","March",3399942,2102203,61.8,1975402,58.1,126801,6
"16644","Alaska","2002","March",449530,324592,72.2,301702,67.1,22890,7.1
"16645","Arizona","2002","March",4031755,2662098,66,2498775,62,163323,6.1
"16646","Arkansas","2002","March",2048658,1265869,61.8,1194968,58.3,70901,5.6
"16647","California","2002","March",25780233,17243240,66.9,16100121,62.5,1143119,6.6
"16649","Colorado","2002","March",3389916,2436795,71.9,2301063,67.9,135732,5.6
"16650","Connecticut","2002","March",2625538,1765979,67.3,1700513,64.8,65466,3.7
"16651","Delaware","2002","March",610535,419674,68.7,402503,65.9,17171,4.1
"16652","District of Columbia","2002","March",461692,307922,66.7,287837,62.3,20085,6.5
"16653","Florida","2002","March",12916606,8083376,62.6,7607637,58.9,475739,5.9
"16654","Georgia","2002","March",6314817,4301812,68.1,4082291,64.6,219521,5.1
"16655","Hawaii","2002","March",912658,602967,66.1,574717,63,28250,4.7
"16656","Idaho","2002","March",982583,683358,69.5,644205,65.6,39153,5.7
"16657","Illinois","2002","March",9448199,6389584,67.6,5971168,63.2,418416,6.5
"16658","Indiana","2002","March",4648125,3160009,68,2988931,64.3,171078,5.4
"16659","Iowa","2002","March",2244254,1637341,73,1572428,70.1,64913,4
"16660","Kansas","2002","March",2023880,1403544,69.3,1332772,65.9,70772,5
"16661","Kentucky","2002","March",3121497,1944299,62.3,1833319,58.7,110980,5.7
"16662","Louisiana","2002","March",3304766,2002497,60.6,1877690,56.8,124807,6.2
"16663","Maine","2002","March",1012390,672883,66.5,644573,63.7,28310,4.2
"16664","Maryland","2002","March",4090119,2870933,70.2,2739011,67,131922,4.6
"16665","Massachusetts","2002","March",4996735,3428455,68.6,3254288,65.1,174167,5.1
"16666","Michigan","2002","March",7606496,5033655,66.2,4710332,61.9,323323,6.4
"16667","Minnesota","2002","March",3810635,2858817,75,2725534,71.5,133283,4.7
"16668","Mississippi","2002","March",2109384,1285792,61,1198244,56.8,87548,6.8
"16669","Missouri","2002","March",4298928,2993489,69.6,2829554,65.8,163935,5.5
"16670","Montana","2002","March",697821,466158,66.8,445155,63.8,21003,4.5
"16671","Nebraska","2002","March",1296333,952520,73.5,917673,70.8,34847,3.7
"16672","Nevada","2002","March",1618698,1126920,69.6,1059602,65.5,67318,6
"16673","New Hampshire","2002","March",975961,700662,71.8,669501,68.6,31161,4.4
"16674","New Jersey","2002","March",6522054,4349920,66.7,4099267,62.9,250653,5.8
"16675","New Mexico","2002","March",1366596,869976,63.7,822032,60.2,47944,5.5
"16676","New York","2002","March",14706242,9256351,62.9,8675595,59,580756,6.3
"16679","North Dakota","2002","March",484488,340445,70.3,327903,67.7,12542,3.7
"16680","Ohio","2002","March",8695571,5855831,67.3,5515110,63.4,340721,5.8
"16681","Oklahoma","2002","March",2605665,1691319,64.9,1613423,61.9,77896,4.6
"16682","Oregon","2002","March",2708829,1832049,67.6,1688851,62.3,143198,7.8
"16683","Pennsylvania","2002","March",9543727,6226290,65.2,5873695,61.5,352595,5.7
"16684","Rhode Island","2002","March",825430,547088,66.3,520455,63.1,26633,4.9
"16685","South Carolina","2002","March",3088373,1939323,62.8,1825629,59.1,113694,5.9
"16686","South Dakota","2002","March",569620,415702,73,401880,70.6,13822,3.3
"16687","Tennessee","2002","March",4430974,2900264,65.5,2736723,61.8,163541,5.6
"16688","Texas","2002","March",15697510,10687265,68.1,10016192,63.8,671073,6.3
"16689","Utah","2002","March",1645359,1182091,71.8,1114602,67.7,67489,5.7
"16690","Vermont","2002","March",481999,341999,71,328820,68.2,13179,3.9
"16691","Virginia","2002","March",5432738,3708296,68.3,3549778,65.3,158518,4.3
"16692","Washington","2002","March",4582078,3065909,66.9,2834501,61.9,231408,7.5
"16693","West Virginia","2002","March",1427372,803633,56.3,756616,53,47017,5.9
"16694","Wisconsin","2002","March",4157408,3015213,72.5,2850452,68.6,164761,5.5
"16695","Wyoming","2002","March",378036,268993,71.2,258195,68.3,10798,4
"16696","Alabama","2002","April",3400511,2101054,61.8,1975302,58.1,125752,6
"16697","Alaska","2002","April",450277,325055,72.2,301750,67,23305,7.2
"16698","Arizona","2002","April",4040671,2670162,66.1,2505062,62,165100,6.2
"16699","Arkansas","2002","April",2049502,1269070,61.9,1198282,58.5,70788,5.6
"16700","California","2002","April",25806595,17253772,66.9,16105630,62.4,1148142,6.7
"16702","Colorado","2002","April",3394409,2439424,71.9,2303494,67.9,135930,5.6
"16703","Connecticut","2002","April",2627024,1769940,67.4,1701266,64.8,68674,3.9
"16704","Delaware","2002","April",611183,418895,68.5,401548,65.7,17347,4.1
"16705","District of Columbia","2002","April",461675,307722,66.7,287808,62.3,19914,6.5
"16706","Florida","2002","April",12937202,8092446,62.6,7623268,58.9,469178,5.8
"16707","Georgia","2002","April",6324507,4309939,68.1,4090763,64.7,219176,5.1
"16708","Hawaii","2002","April",913296,601673,65.9,574741,62.9,26932,4.5
"16709","Idaho","2002","April",984072,683617,69.5,644784,65.5,38833,5.7
"16710","Illinois","2002","April",9451880,6378624,67.5,5957077,63,421547,6.6
"16711","Indiana","2002","April",4649772,3163777,68,2993918,64.4,169859,5.4
"16712","Iowa","2002","April",2244508,1640448,73.1,1575105,70.2,65343,4
"16713","Kansas","2002","April",2024833,1406481,69.5,1335207,65.9,71274,5.1
"16714","Kentucky","2002","April",3123099,1942384,62.2,1833120,58.7,109264,5.6
"16715","Louisiana","2002","April",3305599,2002352,60.6,1877638,56.8,124714,6.2
"16716","Maine","2002","April",1013225,673686,66.5,645052,63.7,28634,4.3
"16717","Maryland","2002","April",4094526,2871987,70.1,2741332,67,130655,4.5
"16718","Massachusetts","2002","April",4998907,3434978,68.7,3257193,65.2,177785,5.2
"16719","Michigan","2002","April",7609548,5027001,66.1,4705274,61.8,321727,6.4
"16720","Minnesota","2002","April",3813741,2858883,75,2725851,71.5,133032,4.7
"16721","Mississippi","2002","April",2109787,1285665,60.9,1198387,56.8,87278,6.8
"16722","Missouri","2002","April",4301583,2995625,69.6,2830607,65.8,165018,5.5
"16723","Montana","2002","April",698307,466311,66.8,445398,63.8,20913,4.5
